UID,composite_ID,test,congruence,theta,se,TSVR_hours,TSVR_sq,TSVR_log
A019,A019_2,2,common,-0.4068439,0.2040954520165139,28.69,823.1161000000001,3.3908102887756684
A019,A019_2,2,congruent,-0.68648744,0.2036301722131973,28.69,823.1161000000001,3.3908102887756684
A019,A019_2,2,incongruent,-0.85330933,0.2502669460427529,28.69,823.1161000000001,3.3908102887756684
A019,A019_3,3,common,-0.9254674,0.2040954520165139,83.68,7002.342400000001,4.4388794462666645
A019,A019_3,3,congruent,-0.79551905,0.2036301722131973,83.68,7002.342400000001,4.4388794462666645
A019,A019_3,3,incongruent,-0.1843586,0.2502669460427529,83.68,7002.342400000001,4.4388794462666645
A019,A019_4,4,common,-0.49666315,0.2040954520165139,154.76,23950.6576,5.048316361063944
A019,A019_4,4,congruent,-0.9767209,0.2036301722131973,154.76,23950.6576,5.048316361063944
A019,A019_4,4,incongruent,-0.31137958,0.2502669460427529,154.76,23950.6576,5.048316361063944
A020,A020_1,1,common,0.48066902,0.2040954520165139,1.0,1.0,0.6931471805599453
A020,A020_1,1,congruent,0.5570759,0.2036301722131973,1.0,1.0,0.6931471805599453
A020,A020_1,1,incongruent,-0.21592262,0.2502669460427529,1.0,1.0,0.6931471805599453
A020,A020_2,2,common,0.4446814,0.2040954520165139,26.85,720.9225000000001,3.326832966373293
A020,A020_2,2,congruent,-0.41487893,0.2036301722131973,26.85,720.9225000000001,3.326832966373293
A020,A020_2,2,incongruent,0.015018624,0.2502669460427529,26.85,720.9225000000001,3.326832966373293
A020,A020_3,3,common,0.2821358,0.2040954520165139,78.25,6123.0625,4.37260741275739
A020,A020_3,3,congruent,-1.7223451,0.2036301722131973,78.25,6123.0625,4.37260741275739
A020,A020_3,3,incongruent,-1.1768678,0.2502669460427529,78.25,6123.0625,4.37260741275739
A020,A020_4,4,common,-1.9767965,0.2040954520165139,145.78,21251.8084,4.9889348671169165
A020,A020_4,4,congruent,-2.046927,0.2036301722131973,145.78,21251.8084,4.9889348671169165
A020,A020_4,4,incongruent,-1.6566517,0.2502669460427529,145.78,21251.8084,4.9889348671169165
A021,A021_1,1,common,0.78434795,0.2040954520165139,1.0,1.0,0.6931471805599453
A021,A021_1,1,congruent,1.9359678,0.2036301722131973,1.0,1.0,0.6931471805599453
A021,A021_1,1,incongruent,1.2731314,0.2502669460427529,1.0,1.0,0.6931471805599453
