composite_ID,theta_common,theta_congruent,theta_incongruent,se_common,se_congruent,se_incongruent
A022_3,0.29236212,1.4403747,0.69888675,0.20409545201651397,0.20363017221319737,0.25026694604275296
A022_4,0.48732495,0.61441493,0.38897958,0.20409545201651397,0.20363017221319737,0.25026694604275296
A023_1,0.60447335,-0.6329472,0.55612123,0.20409545201651397,0.20363017221319737,0.25026694604275296
A023_2,-0.04841172,0.00037100315,0.13834298,0.20409545201651397,0.20363017221319737,0.25026694604275296
A023_3,0.3662185,0.2505726,0.17064363,0.20409545201651397,0.20363017221319737,0.25026694604275296
A023_4,0.71496123,0.4658452,-0.75402296,0.20409545201651397,0.20363017221319737,0.25026694604275296
A024_1,0.5069578,0.46433234,-0.12641415,0.20409545201651397,0.20363017221319737,0.25026694604275296
A024_2,0.21727693,0.3702603,0.44131547,0.20409545201651397,0.20363017221319737,0.25026694604275296
A024_3,0.19321215,0.47114214,-0.84163266,0.20409545201651397,0.20363017221319737,0.25026694604275296
A024_4,-0.9185011,-1.0808294,-1.2303108,0.20409545201651397,0.20363017221319737,0.25026694604275296
A025_1,1.3585589,0.9314269,0.8425641,0.20409545201651397,0.20363017221319737,0.25026694604275296
A025_2,1.4686452,1.4680771,1.3631858,0.20409545201651397,0.20363017221319737,0.25026694604275296
A025_3,-0.56886774,0.64839166,-0.731837,0.20409545201651397,0.20363017221319737,0.25026694604275296
A025_4,-0.28352395,-0.519992,-1.083449,0.20409545201651397,0.20363017221319737,0.25026694604275296
A026_1,0.3307771,1.052326,0.91934425,0.20409545201651397,0.20363017221319737,0.25026694604275296
A026_2,-0.49671382,1.1417555,0.35216007,0.20409545201651397,0.20363017221319737,0.25026694604275296
A026_3,0.38183588,0.5711818,0.71996987,0.20409545201651397,0.20363017221319737,0.25026694604275296
A026_4,-0.31976095,0.031037604,-1.0002902,0.20409545201651397,0.20363017221319737,0.25026694604275296
A027_1,0.11659646,-0.21582684,0.78085047,0.20409545201651397,0.20363017221319737,0.25026694604275296
A027_2,0.4943781,1.2876928,0.63387907,0.20409545201651397,0.20363017221319737,0.25026694604275296
A027_3,-0.19422647,-1.4970652,-0.69031215,0.20409545201651397,0.20363017221319737,0.25026694604275296
A027_4,-0.37611485,-0.18628831,-0.34647793,0.20409545201651397,0.20363017221319737,0.25026694604275296
A028_1,1.2873914,1.7882669,2.1591334,0.20409545201651397,0.20363017221319737,0.25026694604275296
A028_2,0.16587129,-1.1513634,0.23352933,0.20409545201651397,0.20363017221319737,0.25026694604275296
A028_3,-0.10012718,0.62668526,0.5119805,0.20409545201651397,0.20363017221319737,0.25026694604275296
A028_4,-0.75935185,-0.28837475,-0.785788,0.20409545201651397,0.20363017221319737,0.25026694604275296
A029_1,2.7173743,1.8895662,2.340582,0.20409545201651397,0.20363017221319737,0.25026694604275296
A029_2,0.20266943,-0.9637135,0.6493841,0.20409545201651397,0.20363017221319737,0.25026694604275296
A029_3,0.35291594,1.2196074,1.1358299,0.20409545201651397,0.20363017221319737,0.25026694604275296
A029_4,0.7469417,0.7223623,-0.27889782,0.20409545201651397,0.20363017221319737,0.25026694604275296
A030_1,0.07879622,-0.45244423,0.6100887,0.20409545201651397,0.20363017221319737,0.25026694604275296
A030_2,0.2289257,0.9587927,0.6447358,0.20409545201651397,0.20363017221319737,0.25026694604275296
A030_3,0.53011525,0.40888423,0.1497277,0.20409545201651397,0.20363017221319737,0.25026694604275296
A030_4,0.3295019,0.6107539,0.6535932,0.20409545201651397,0.20363017221319737,0.25026694604275296
A031_1,1.0476081,0.5389861,2.1952276,0.20409545201651397,0.20363017221319737,0.25026694604275296
A031_2,0.46964058,-0.12187095,-0.5567076,0.20409545201651397,0.20363017221319737,0.25026694604275296
A031_3,0.5167464,-0.65075713,-0.7007083,0.20409545201651397,0.20363017221319737,0.25026694604275296
A031_4,-0.9721931,-0.7019325,-0.809546,0.20409545201651397,0.20363017221319737,0.25026694604275296
A032_1,0.84929293,-0.32032472,0.74906033,0.20409545201651397,0.20363017221319737,0.25026694604275296
