composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours,Age
A024_T1,A024,T1,-0.5055459,0.033312414,1.0,29.0
A024_T2,A024,T2,-0.64316475,0.033312414,29.57,29.0
A024_T3,A024,T3,-0.6282593,0.033312414,91.47,29.0
A024_T4,A024,T4,-0.67857015,0.033312414,145.65,29.0
A025_T1,A025,T1,-0.18618394,0.033312414,1.0,26.0
A025_T2,A025,T2,-0.5896764,0.033312414,23.33,26.0
A025_T3,A025,T3,-1.284663,0.033312414,72.94,26.0
A025_T4,A025,T4,-1.0751715,0.033312414,137.74,26.0
A026_T1,A026,T1,-0.36186954,0.033312414,1.0,29.0
A026_T2,A026,T2,-0.53927004,0.033312414,26.48,29.0
A026_T3,A026,T3,-0.5248772,0.033312414,75.46,29.0
A026_T4,A026,T4,-0.3616829,0.033312414,147.65,29.0
A027_T1,A027,T1,-0.21083377,0.033312414,1.0,28.0
A027_T2,A027,T2,-0.37666333,0.033312414,28.26,28.0
A027_T3,A027,T3,-0.97083545,0.033312414,74.58,28.0
A027_T4,A027,T4,-1.0949106,0.033312414,145.92,28.0
A028_T1,A028,T1,0.11992493,0.033312414,1.0,26.0
A028_T2,A028,T2,-0.30235586,0.033312414,22.82,26.0
A028_T3,A028,T3,-0.49256283,0.033312414,72.26,26.0
A028_T4,A028,T4,-0.8265561,0.033312414,138.91,26.0
A029_T1,A029,T1,0.15784328,0.033312414,1.0,25.0
A029_T2,A029,T2,-0.3178071,0.033312414,28.43,25.0
A029_T3,A029,T3,-0.24579473,0.033312414,93.26,25.0
A029_T4,A029,T4,-0.6789598,0.033312414,143.14,25.0
A030_T1,A030,T1,-0.5649794,0.033312414,1.0,31.0
A030_T2,A030,T2,-0.32012805,0.033312414,32.95,31.0
A030_T3,A030,T3,-0.6057995,0.033312414,71.93,31.0
A030_T4,A030,T4,-0.7230972,0.033312414,150.46,31.0
A031_T1,A031,T1,0.26328957,0.033312414,1.0,32.0
A031_T2,A031,T2,-0.29601982,0.033312414,32.41,32.0
A031_T3,A031,T3,-0.7246792,0.033312414,71.56,32.0
A031_T4,A031,T4,-1.3181441,0.033312414,143.85,32.0
A032_T1,A032,T1,-0.3430531,0.033312414,1.0,33.0
A032_T2,A032,T2,-0.47822228,0.033312414,57.18,33.0
A032_T3,A032,T3,-0.64968324,0.033312414,80.16,33.0
A032_T4,A032,T4,-0.81169164,0.033312414,144.51,33.0
A033_T1,A033,T1,-0.31503958,0.033312414,1.0,32.0
A033_T2,A033,T2,-0.66543496,0.033312414,29.16,32.0
A033_T3,A033,T3,-0.22533582,0.033312414,72.6,32.0
A033_T4,A033,T4,-0.6513037,0.033312414,168.33,32.0
A034_T1,A034,T1,0.070721015,0.033312414,1.0,33.0
A034_T2,A034,T2,0.107155256,0.033312414,26.08,33.0
A034_T3,A034,T3,-0.19132395,0.033312414,74.28,33.0
A034_T4,A034,T4,-0.76067644,0.033312414,145.38,33.0
A035_T1,A035,T1,-0.42354158,0.033312414,1.0,34.0
A035_T2,A035,T2,-0.41725877,0.033312414,44.76,34.0
A035_T3,A035,T3,-0.8161883,0.033312414,79.98,34.0
A035_T4,A035,T4,-0.99934804,0.033312414,152.47,34.0
A036_T1,A036,T1,-1.2653807,0.033312414,1.0,30.0
A036_T2,A036,T2,-1.0273318,0.033312414,21.63,30.0
A036_T3,A036,T3,-1.4433892,0.033312414,71.47,30.0
A036_T4,A036,T4,-1.5601645,0.033312414,143.85,30.0
A037_T1,A037,T1,-0.08707868,0.033312414,1.0,31.0
A037_T2,A037,T2,-0.18395871,0.033312414,23.7,31.0
A037_T3,A037,T3,-0.68357,0.033312414,72.08,31.0
A037_T4,A037,T4,-0.79580086,0.033312414,143.66,31.0
A038_T1,A038,T1,-0.2467488,0.033312414,1.0,32.0
A038_T2,A038,T2,-0.44835788,0.033312414,71.85,32.0
A038_T3,A038,T3,-0.4034849,0.033312414,72.86,32.0
A038_T4,A038,T4,-0.23959932,0.033312414,152.89,32.0
A039_T1,A039,T1,0.1412702,0.033312414,1.0,31.0
A039_T2,A039,T2,0.119720794,0.033312414,28.65,31.0
A039_T3,A039,T3,-0.14256553,0.033312414,98.84,31.0
A039_T4,A039,T4,-0.52121466,0.033312414,246.24,31.0
A040_T1,A040,T1,-0.598243,0.033312414,1.0,38.0
A040_T2,A040,T2,-0.44592965,0.033312414,26.26,38.0
A040_T3,A040,T3,-0.73125327,0.033312414,71.28,38.0
A040_T4,A040,T4,-0.4674195,0.033312414,143.53,38.0
A041_T1,A041,T1,0.011227685,0.033312414,1.0,35.0
A041_T2,A041,T2,-0.3039493,0.033312414,31.78,35.0
A041_T3,A041,T3,-0.28749505,0.033312414,75.74,35.0
A041_T4,A041,T4,-0.5819944,0.033312414,141.84,35.0
A042_T1,A042,T1,-0.79731315,0.033312414,1.0,38.0
A042_T2,A042,T2,-1.1420015,0.033312414,28.93,38.0
A042_T3,A042,T3,-0.847396,0.033312414,72.17,38.0
A042_T4,A042,T4,-0.7720472,0.033312414,146.02,38.0
A043_T1,A043,T1,0.3001954,0.033312414,1.0,38.0
A043_T2,A043,T2,0.1664338,0.033312414,25.62,38.0
A043_T3,A043,T3,-0.17432076,0.033312414,64.94,38.0
A043_T4,A043,T4,-0.558808,0.033312414,149.33,38.0
A044_T1,A044,T1,-1.06982,0.033312414,1.0,38.0
A044_T2,A044,T2,-0.96534085,0.033312414,47.66,38.0
A044_T3,A044,T3,-1.1876827,0.033312414,91.63,38.0
A044_T4,A044,T4,-1.5655587,0.033312414,155.27,38.0
A045_T1,A045,T1,-0.8722971,0.033312414,1.0,37.0
A045_T2,A045,T2,-0.6572311,0.033312414,24.66,37.0
A045_T3,A045,T3,-1.0510488,0.033312414,72.23,37.0
A045_T4,A045,T4,-0.6715156,0.033312414,151.52,37.0
A046_T1,A046,T1,-0.6608937,0.033312414,1.0,38.0
A046_T2,A046,T2,-1.000125,0.033312414,24.32,38.0
A046_T3,A046,T3,-1.4650033,0.033312414,73.05,38.0
A046_T4,A046,T4,-1.5674849,0.033312414,147.94,38.0
A047_T1,A047,T1,-0.57797015,0.033312414,1.0,36.0
A047_T2,A047,T2,-0.80200624,0.033312414,23.46,36.0
A047_T3,A047,T3,-1.3837919,0.033312414,76.85,36.0
A047_T4,A047,T4,-1.6884255,0.033312414,144.22,36.0
A048_T1,A048,T1,-0.29754767,0.033312414,1.0,38.0
A048_T2,A048,T2,-0.4682938,0.033312414,23.91,38.0
A048_T3,A048,T3,-0.55355513,0.033312414,81.15,38.0
A048_T4,A048,T4,-0.6172761,0.033312414,146.3,38.0
A049_T1,A049,T1,0.015095141,0.033312414,1.0,35.0
A049_T2,A049,T2,-0.5101858,0.033312414,27.12,35.0
A049_T3,A049,T3,-0.24321106,0.033312414,111.38,35.0
A049_T4,A049,T4,-0.5534761,0.033312414,168.86,35.0
A050_T1,A050,T1,-0.332139,0.033312414,1.0,41.0
A050_T2,A050,T2,-0.4592812,0.033312414,24.73,41.0
A050_T3,A050,T3,-0.8918068,0.033312414,93.39,41.0
A050_T4,A050,T4,-0.8248155,0.033312414,148.69,41.0
A051_T1,A051,T1,-0.13511,0.033312414,1.0,41.0
A051_T2,A051,T2,-0.09387231,0.033312414,17.16,41.0
A051_T3,A051,T3,-0.7147496,0.033312414,65.63,41.0
A051_T4,A051,T4,-0.6880791,0.033312414,146.99,41.0
A052_T1,A052,T1,-0.40401456,0.033312414,1.0,43.0
A052_T2,A052,T2,-0.69656724,0.033312414,31.76,43.0
A052_T3,A052,T3,-1.0056021,0.033312414,80.98,43.0
A052_T4,A052,T4,-0.76403254,0.033312414,153.27,43.0
A053_T1,A053,T1,-0.17432423,0.033312414,1.0,44.0
A053_T2,A053,T2,-1.1278566,0.033312414,32.71,44.0
A053_T3,A053,T3,-1.4379783,0.033312414,78.28,44.0
A053_T4,A053,T4,-1.3163345,0.033312414,148.9,44.0
A054_T1,A054,T1,0.04235199,0.033312414,1.0,43.0
A054_T2,A054,T2,-0.22945482,0.033312414,16.9,43.0
A054_T3,A054,T3,-0.26918104,0.033312414,72.83,43.0
A054_T4,A054,T4,-0.102685206,0.033312414,136.83,43.0
A055_T1,A055,T1,-0.21229054,0.033312414,1.0,44.0
A055_T2,A055,T2,-0.93653405,0.033312414,23.24,44.0
A055_T3,A055,T3,-0.8401974,0.033312414,74.48,44.0
A055_T4,A055,T4,-1.260757,0.033312414,149.21,44.0
A056_T1,A056,T1,-0.77102643,0.033312414,1.0,42.0
A056_T2,A056,T2,-0.93695015,0.033312414,33.61,42.0
A056_T3,A056,T3,-0.7083756,0.033312414,71.46,42.0
A056_T4,A056,T4,-0.79573447,0.033312414,147.84,42.0
A057_T1,A057,T1,-0.47107366,0.033312414,1.0,40.0
A057_T2,A057,T2,-0.55252665,0.033312414,24.78,40.0
A057_T3,A057,T3,-0.6045535,0.033312414,73.83,40.0
A057_T4,A057,T4,-0.5674088,0.033312414,145.06,40.0
A058_T1,A058,T1,-0.16339521,0.033312414,1.0,42.0
A058_T2,A058,T2,-0.3716868,0.033312414,22.96,42.0
A058_T3,A058,T3,-1.0395465,0.033312414,66.28,42.0
A058_T4,A058,T4,-0.97823644,0.033312414,143.48,42.0
A059_T1,A059,T1,-0.5023268,0.033312414,1.0,43.0
A059_T2,A059,T2,-0.47173324,0.033312414,30.4,43.0
A059_T3,A059,T3,-0.9825946,0.033312414,79.78,43.0
A059_T4,A059,T4,-0.5769608,0.033312414,151.93,43.0
A060_T1,A060,T1,-0.50129473,0.033312414,1.0,48.0
A060_T2,A060,T2,-0.3035681,0.033312414,24.87,48.0
A060_T3,A060,T3,-0.39956075,0.033312414,94.68,48.0
A060_T4,A060,T4,-0.35726425,0.033312414,143.91,48.0
A061_T1,A061,T1,0.49123833,0.033312414,1.0,47.0
A061_T2,A061,T2,0.10699007,0.033312414,35.16,47.0
A061_T3,A061,T3,-0.22055449,0.033312414,82.55,47.0
A061_T4,A061,T4,-0.2480352,0.033312414,146.56,47.0
A062_T1,A062,T1,-0.19396584,0.033312414,1.0,48.0
A062_T2,A062,T2,-0.42571765,0.033312414,44.69,48.0
A062_T3,A062,T3,-1.2115375,0.033312414,92.72,48.0
A062_T4,A062,T4,-0.6887581,0.033312414,149.18,48.0
A063_T1,A063,T1,-1.2219437,0.033312414,1.0,45.0
A063_T2,A063,T2,-1.9641893,0.033312414,21.98,45.0
A063_T3,A063,T3,-1.1443956,0.033312414,69.99,45.0
A063_T4,A063,T4,-1.078894,0.033312414,141.09,45.0
A064_T1,A064,T1,-0.14825012,0.033312414,1.0,47.0
A064_T2,A064,T2,-0.4947842,0.033312414,37.65,47.0
A064_T3,A064,T3,-0.52582866,0.033312414,82.99,47.0
A064_T4,A064,T4,-0.7778792,0.033312414,156.21,47.0
A065_T1,A065,T1,-0.79110265,0.033312414,1.0,47.0
A065_T2,A065,T2,-1.2535007,0.033312414,32.31,47.0
A065_T3,A065,T3,-0.29050693,0.033312414,106.41,47.0
A065_T4,A065,T4,-0.641902,0.033312414,187.43,47.0
A066_T1,A066,T1,-0.6773158,0.033312414,1.0,47.0
A066_T2,A066,T2,-0.52447873,0.033312414,23.35,47.0
A066_T3,A066,T3,-0.7255086,0.033312414,73.79,47.0
A066_T4,A066,T4,-1.3507166,0.033312414,164.93,47.0
A067_T1,A067,T1,-0.489106,0.033312414,1.0,48.0
A067_T2,A067,T2,-1.0970984,0.033312414,29.91,48.0
A067_T3,A067,T3,-0.9555565,0.033312414,73.19,48.0
A067_T4,A067,T4,-0.61965704,0.033312414,144.19,48.0
A068_T1,A068,T1,0.16652554,0.033312414,1.0,49.0
A068_T2,A068,T2,-0.106564544,0.033312414,30.49,49.0
A068_T3,A068,T3,-0.30650812,0.033312414,82.98,49.0
A068_T4,A068,T4,-0.4836062,0.033312414,155.59,49.0
A069_T1,A069,T1,-0.73993486,0.033312414,1.0,46.0
A069_T2,A069,T2,-0.8647377,0.033312414,24.96,46.0
A069_T3,A069,T3,-0.7490341,0.033312414,79.75,46.0
A069_T4,A069,T4,-1.0363842,0.033312414,140.22,46.0
A070_T1,A070,T1,-0.49851632,0.033312414,1.0,52.0
A070_T2,A070,T2,-0.4727255,0.033312414,24.25,52.0
A070_T3,A070,T3,-0.9917136,0.033312414,81.92,52.0
A070_T4,A070,T4,-0.9997019,0.033312414,149.2,52.0
A071_T1,A071,T1,-0.06756443,0.033312414,1.0,50.0
A071_T2,A071,T2,-1.0183284,0.033312414,30.92,50.0
A071_T3,A071,T3,-1.3937839,0.033312414,79.96,50.0
A071_T4,A071,T4,-0.66643244,0.033312414,153.27,50.0
A072_T1,A072,T1,-0.08344198,0.033312414,1.0,50.0
A072_T2,A072,T2,-0.053039327,0.033312414,33.76,50.0
A072_T3,A072,T3,-0.7992932,0.033312414,83.54,50.0
A072_T4,A072,T4,-0.64755213,0.033312414,154.89,50.0
A073_T1,A073,T1,-0.7472555,0.033312414,1.0,51.0
A073_T2,A073,T2,-0.90187174,0.033312414,66.66,51.0
A073_T3,A073,T3,-0.8532445,0.033312414,66.9,51.0
A073_T4,A073,T4,-0.94447434,0.033312414,140.12,51.0
A074_T1,A074,T1,-0.10384461,0.033312414,1.0,53.0
A074_T2,A074,T2,-0.47984323,0.033312414,29.33,53.0
A074_T3,A074,T3,-0.8331525,0.033312414,73.02,53.0
A074_T4,A074,T4,-0.8946965,0.033312414,147.21,53.0
A075_T1,A075,T1,-0.5195184,0.033312414,1.0,53.0
A075_T2,A075,T2,-0.4355136,0.033312414,28.68,53.0
A075_T3,A075,T3,-0.6645374,0.033312414,71.37,53.0
A075_T4,A075,T4,-0.8704096,0.033312414,244.53,53.0
A076_T1,A076,T1,-0.88919824,0.033312414,1.0,54.0
A076_T2,A076,T2,-0.92914766,0.033312414,27.3,54.0
A076_T3,A076,T3,-0.9904418,0.033312414,74.88,54.0
A076_T4,A076,T4,-1.0130427,0.033312414,149.28,54.0
A077_T1,A077,T1,-0.20553797,0.033312414,1.0,52.0
A077_T2,A077,T2,-0.53009486,0.033312414,53.88,52.0
A077_T3,A077,T3,-0.9393,0.033312414,78.36,52.0
A077_T4,A077,T4,-0.3668686,0.033312414,149.75,52.0
A078_T1,A078,T1,-0.94877625,0.033312414,1.0,50.0
A078_T2,A078,T2,-0.9174186,0.033312414,26.17,50.0
A078_T3,A078,T3,-1.0069405,0.033312414,72.3,50.0
A078_T4,A078,T4,-1.1135154,0.033312414,140.08,50.0
A079_T1,A079,T1,-0.5209985,0.033312414,1.0,50.0
A079_T2,A079,T2,-0.22519995,0.033312414,26.11,50.0
A079_T3,A079,T3,-0.5245844,0.033312414,74.0,50.0
A079_T4,A079,T4,-0.73008084,0.033312414,194.42,50.0
A080_T1,A080,T1,-0.09753483,0.033312414,1.0,56.0
A080_T2,A080,T2,-0.39678386,0.033312414,29.03,56.0
A080_T3,A080,T3,-0.71688837,0.033312414,72.87,56.0
A080_T4,A080,T4,-1.2722905,0.033312414,145.77,56.0
A081_T1,A081,T1,-0.25508967,0.033312414,1.0,55.0
A081_T2,A081,T2,-0.49507838,0.033312414,31.39,55.0
A081_T3,A081,T3,-0.52635825,0.033312414,80.13,55.0
A081_T4,A081,T4,-0.53006846,0.033312414,154.53,55.0
A082_T1,A082,T1,-0.22234312,0.033312414,1.0,58.0
A082_T2,A082,T2,-0.44037765,0.033312414,27.97,58.0
A082_T3,A082,T3,-0.56536925,0.033312414,75.71,58.0
A082_T4,A082,T4,-0.9947171,0.033312414,170.25,58.0
A083_T1,A083,T1,0.004754789,0.033312414,1.0,58.0
A083_T2,A083,T2,-0.48276672,0.033312414,25.15,58.0
A083_T3,A083,T3,-0.4372354,0.033312414,74.3,58.0
A083_T4,A083,T4,-0.5513548,0.033312414,144.91,58.0
A084_T1,A084,T1,-1.4660891,0.033312414,1.0,59.0
A084_T2,A084,T2,-1.3201833,0.033312414,27.25,59.0
A084_T3,A084,T3,-1.1787816,0.033312414,91.97,59.0
A084_T4,A084,T4,-1.2781861,0.033312414,162.51,59.0
A085_T1,A085,T1,-0.4503213,0.033312414,1.0,58.0
A085_T2,A085,T2,0.00259445,0.033312414,24.51,58.0
A085_T3,A085,T3,-0.16244699,0.033312414,71.4,58.0
A085_T4,A085,T4,-0.76807487,0.033312414,170.65,58.0
A086_T1,A086,T1,-0.079089,0.033312414,1.0,58.0
A086_T2,A086,T2,-0.18591997,0.033312414,23.47,58.0
A086_T3,A086,T3,-0.7226914,0.033312414,145.29,58.0
A086_T4,A086,T4,-0.78654015,0.033312414,169.55,58.0
A087_T1,A087,T1,-0.09658217,0.033312414,1.0,59.0
A087_T2,A087,T2,-0.30566287,0.033312414,31.07,59.0
A087_T3,A087,T3,-0.5371069,0.033312414,72.8,59.0
A087_T4,A087,T4,-0.23646314,0.033312414,144.2,59.0
A088_T1,A088,T1,-0.2547915,0.033312414,1.0,56.0
A088_T2,A088,T2,-0.17022878,0.033312414,24.25,56.0
A088_T3,A088,T3,-0.6985878,0.033312414,74.91,56.0
A088_T4,A088,T4,-0.27308685,0.033312414,149.93,56.0
A089_T1,A089,T1,-0.09992828,0.033312414,1.0,56.0
A089_T2,A089,T2,-0.39490718,0.033312414,32.14,56.0
A089_T3,A089,T3,-0.6878582,0.033312414,79.34,56.0
A089_T4,A089,T4,-0.700304,0.033312414,146.96,56.0
A090_T1,A090,T1,-1.6835222,0.033312414,1.0,61.0
A090_T2,A090,T2,-1.0855069,0.033312414,23.54,61.0
A090_T3,A090,T3,-1.088068,0.033312414,95.42,61.0
A090_T4,A090,T4,-0.7511724,0.033312414,144.07,61.0
A091_T1,A091,T1,-0.2862672,0.033312414,1.0,63.0
A091_T2,A091,T2,-0.6812923,0.033312414,22.2,63.0
A091_T3,A091,T3,-0.81964105,0.033312414,73.64,63.0
A091_T4,A091,T4,-0.4983091,0.033312414,142.61,63.0
A092_T1,A092,T1,-0.36225155,0.033312414,1.0,60.0
A092_T2,A092,T2,-0.58775675,0.033312414,22.83,60.0
A092_T3,A092,T3,-0.9059947,0.033312414,71.31,60.0
A092_T4,A092,T4,-1.0669404,0.033312414,146.16,60.0
A093_T1,A093,T1,-0.06434872,0.033312414,1.0,64.0
A093_T2,A093,T2,-0.8411957,0.033312414,22.09,64.0
A093_T3,A093,T3,-1.2671429,0.033312414,70.22,64.0
A093_T4,A093,T4,-1.3883843,0.033312414,140.95,64.0
A094_T1,A094,T1,-0.7272985,0.033312414,1.0,60.0
A094_T2,A094,T2,-0.8506081,0.033312414,22.98,60.0
A094_T3,A094,T3,-1.0895172,0.033312414,76.21,60.0
A094_T4,A094,T4,-1.1266032,0.033312414,149.99,60.0
A095_T1,A095,T1,-0.080623694,0.033312414,1.0,61.0
A095_T2,A095,T2,-0.7292298,0.033312414,29.71,61.0
A095_T3,A095,T3,-0.53817576,0.033312414,78.76,61.0
A095_T4,A095,T4,-1.0688891,0.033312414,148.79,61.0
A096_T1,A096,T1,-0.2553402,0.033312414,1.0,60.0
A096_T2,A096,T2,-1.2609805,0.033312414,24.49,60.0
A096_T3,A096,T3,-0.9994125,0.033312414,71.19,60.0
A096_T4,A096,T4,-0.838582,0.033312414,143.66,60.0
A097_T1,A097,T1,-0.7875995,0.033312414,1.0,64.0
A097_T2,A097,T2,-0.98327124,0.033312414,24.37,64.0
A097_T3,A097,T3,-1.5329474,0.033312414,70.83,64.0
A097_T4,A097,T4,-0.78939307,0.033312414,144.85,64.0
A098_T1,A098,T1,-0.31676105,0.033312414,1.0,60.0
A098_T2,A098,T2,-0.533716,0.033312414,25.77,60.0
A098_T3,A098,T3,-0.189416,0.033312414,78.84,60.0
A098_T4,A098,T4,-0.651864,0.033312414,146.29,60.0
A099_T1,A099,T1,-0.26512447,0.033312414,1.0,63.0
A099_T2,A099,T2,-0.13362212,0.033312414,28.75,63.0
A099_T3,A099,T3,-0.30550545,0.033312414,78.57,63.0
A099_T4,A099,T4,0.11336677,0.033312414,143.51,63.0
A100_T1,A100,T1,-0.5656639,0.033312414,1.0,66.0
A100_T2,A100,T2,-0.75647,0.033312414,31.14,66.0
A100_T3,A100,T3,-0.64741546,0.033312414,75.34,66.0
A100_T4,A100,T4,-1.4772094,0.033312414,146.8,66.0
A101_T1,A101,T1,-1.0507481,0.033312414,1.0,69.0
A101_T2,A101,T2,-1.0536718,0.033312414,29.12,69.0
A101_T3,A101,T3,-0.74877745,0.033312414,75.21,69.0
A101_T4,A101,T4,-0.6749849,0.033312414,150.22,69.0
A102_T1,A102,T1,-0.46174812,0.033312414,1.0,68.0
A102_T2,A102,T2,-0.5995759,0.033312414,29.13,68.0
A102_T3,A102,T3,-0.6292326,0.033312414,75.27,68.0
A102_T4,A102,T4,-0.9110322,0.033312414,150.41,68.0
A103_T1,A103,T1,-1.0606663,0.033312414,1.0,68.0
A103_T2,A103,T2,-0.7767012,0.033312414,27.26,68.0
A103_T3,A103,T3,-0.5057445,0.033312414,80.24,68.0
A103_T4,A103,T4,-0.3675996,0.033312414,149.72,68.0
A104_T1,A104,T1,-0.072939284,0.033312414,1.0,66.0
A104_T2,A104,T2,-0.22977822,0.033312414,22.6,66.0
A104_T3,A104,T3,-0.33483577,0.033312414,72.62,66.0
A104_T4,A104,T4,-0.73633283,0.033312414,145.78,66.0
A105_T1,A105,T1,0.24509619,0.033312414,1.0,68.0
A105_T2,A105,T2,-0.10634288,0.033312414,22.77,68.0
A105_T3,A105,T3,-0.65412486,0.033312414,69.46,68.0
A105_T4,A105,T4,-0.9775078,0.033312414,146.2,68.0
A106_T1,A106,T1,-0.16558942,0.033312414,1.0,66.0
A106_T2,A106,T2,-0.61603713,0.033312414,22.64,66.0
A106_T3,A106,T3,-0.4829895,0.033312414,66.08,66.0
A106_T4,A106,T4,-0.33196145,0.033312414,147.13,66.0
A107_T1,A107,T1,-0.5755745,0.033312414,1.0,70.0
A107_T2,A107,T2,-1.7364719,0.033312414,26.22,70.0
A107_T3,A107,T3,-0.97584885,0.033312414,71.45,70.0
A107_T4,A107,T4,-1.0911231,0.033312414,145.95,70.0
A108_T1,A108,T1,-0.70196605,0.033312414,1.0,69.0
A108_T2,A108,T2,-0.9441194,0.033312414,27.61,69.0
A108_T3,A108,T3,-0.901651,0.033312414,68.96,69.0
A108_T4,A108,T4,-1.4801294,0.033312414,152.12,69.0
A109_T1,A109,T1,-0.9348919,0.033312414,1.0,68.0
A109_T2,A109,T2,-1.394195,0.033312414,24.65,68.0
A109_T3,A109,T3,-0.90227175,0.033312414,71.17,68.0
A109_T4,A109,T4,-1.5509698,0.033312414,149.87,68.0
