composite_ID,theta_What,theta_Where,theta_When
A070_T3,-1.122512,-1.0765682,-1.1177981
A070_T4,-1.2651007,-1.4506838,-1.3565766
A071_T1,0.0492948,-0.15478362,-0.2526048
A071_T2,-0.7825954,-0.7622024,-0.8645191
A071_T3,-1.1693155,-1.1753389,-1.1808705
A071_T4,-0.9954001,-0.8714226,-0.9837489
A072_T1,0.06862149,-0.06776549,-0.48081884
A072_T2,-0.06823674,-0.19461347,-0.5296049
A072_T3,-0.7111943,-0.64847326,-0.8121835
A072_T4,-0.8203956,-0.7572622,-0.88843644
A073_T1,-1.0442002,-0.8573394,-0.63645494
A073_T2,-1.1114961,-0.96283597,-0.80760944
A073_T3,-1.0639892,-0.95166063,-0.6608145
A073_T4,-1.2656885,-1.0551744,-1.0969046
A074_T1,-0.20364633,-0.31591403,-0.437844
A074_T2,-0.70083296,-0.52374095,-0.75048524
A074_T3,-0.88210773,-0.70004916,-0.8688425
A074_T4,-0.83971965,-0.6250193,-0.20277664
A075_T1,-0.5812304,-0.6420255,-0.6031362
A075_T2,-0.5153786,-0.56008637,-0.4507943
A075_T3,-1.6816889,-1.5739754,-1.5095154
A075_T4,-1.058205,-0.970063,-1.05224
A076_T1,-0.8247708,-0.81913966,-0.33177325
A076_T2,-0.79886127,-1.1918744,-1.1355208
A076_T3,-1.0843381,-1.154715,-1.1229342
A076_T4,-1.6114174,-1.6810206,-1.571649
A077_T1,-0.0749394,-0.29569876,-0.24347779
A077_T2,-0.6109506,-0.7446705,-0.85264885
A077_T3,-0.8962449,-0.65390325,-0.52819395
A077_T4,-0.41684642,-0.53648067,-0.7224847
A078_T1,-0.96911263,-1.0545347,-1.0958334
A078_T2,-0.9738474,-1.0254301,-1.0487794
A078_T3,-1.0001453,-1.169621,-1.1154552
A078_T4,-1.5377909,-1.6278081,-1.5515063
A079_T1,-0.70425117,-0.503235,-0.14507398
A079_T2,-0.34902254,-0.5222803,-0.7250922
A079_T3,-0.8171395,-0.88222665,-0.93463576
A079_T4,-0.94248736,-0.974133,-1.0118095
A080_T1,-0.31401983,-0.23838283,-0.27562055
A080_T2,-0.40594926,-0.37633216,-0.013232805
A080_T3,-0.6928574,-0.736048,-0.37130913
