domain_name,age_tertile,TSVR_hours,theta_observed,se_observed,ci_lower,ci_upper,theta_predicted
When,Middle,146.02,-0.08419152,,,,-0.26306947159177424
When,Middle,146.16,,,,,
When,Middle,146.2,,,,,
When,Middle,146.29,,,,,
When,Middle,146.3,1.1771114,,,,0.383676700788639
When,Middle,146.54,,,,,
When,Middle,146.56,-0.23610613,,,,0.16799454063360944
When,Middle,146.8,,,,,
When,Middle,146.96,,,,,
When,Middle,146.99,-0.50837123,,,,-0.24269969012271805
When,Middle,147.13,,,,,
When,Middle,147.21,,,,,
When,Middle,147.65,,,,,
When,Middle,147.84,-0.43674785,,,,-0.01784560788971913
When,Middle,147.94,-0.4617398,,,,-0.5670232205321791
When,Middle,148.69,-0.57911,,,,-0.3853000051251834
When,Middle,148.79,,,,,
When,Middle,148.85,,,,,
When,Middle,148.87,,,,,
When,Middle,148.9,1.6236721,,,,0.45217267439401654
When,Middle,149.18,-0.0023819325,,,,-0.008704805134756702
When,Middle,149.2,1.0991817,,,,-0.0014323759045104766
When,Middle,149.21,-0.18794729,,,,0.07809185144512892
When,Middle,149.28,,,,,
When,Middle,149.33,0.4526212,,,,0.3338964946949181
When,Middle,149.72,,,,,
When,Middle,149.75,-0.5239091,,,,0.2868701626492524
When,Middle,149.87,,,,,
When,Middle,149.93,,,,,
When,Middle,149.99,,,,,
When,Middle,150.22,,,,,
When,Middle,150.41,,,,,
When,Middle,150.46,,,,,
When,Middle,150.8,,,,,
When,Middle,150.87,,,,,
When,Middle,151.52,-0.7161405,,,,-0.4130137340151686
When,Middle,151.93,0.14022826,,,,0.7260890775734156
When,Middle,152.12,,,,,
When,Middle,152.47,,,,,
When,Middle,152.89,,,,,
When,Middle,153.27,-0.390378,0.10751409999999999,-0.601105636,-0.17965036400000003,0.008660216698047361
When,Middle,154.53,,,,,
When,Middle,154.76,,,,,
When,Middle,154.89,-0.4359131,,,,-0.0518454211855086
When,Middle,155.27,1.1890637,,,,-0.36070127802990526
When,Middle,155.59,-0.53430504,,,,0.08897897470645381
When,Middle,156.21,-0.50869435,,,,0.31208883422253153
