composite_ID,UID,test,TSVR_hours,domain,theta,Segment,Days_within
A083_1,A083,1,1.0,what,1.8399825,Early,0.041666666666666664
A083_2,A083,2,25.15,what,-0.16564429,Early,1.0479166666666666
A083_3,A083,3,74.3,what,-0.13697514,Late,0.5424999999999999
A083_4,A083,4,144.91,what,-0.46616986,Late,3.484583333333333
A084_1,A084,1,1.0,what,0.4807053,Early,0.041666666666666664
A084_2,A084,2,27.25,what,-0.7193005,Early,1.1354166666666667
A084_3,A084,3,91.97,what,-0.13927744,Late,1.2787499999999998
A084_4,A084,4,162.51,what,-0.04114674,Late,4.2179166666666665
A085_1,A085,1,1.0,what,-0.13054855,Early,0.041666666666666664
A085_2,A085,2,24.51,what,0.9672473,Early,1.02125
A085_3,A085,3,71.4,what,-0.7084911,Late,0.42166666666666686
A085_4,A085,4,170.65,what,-0.95876193,Late,4.557083333333334
A086_1,A086,1,1.0,what,1.271515,Early,0.041666666666666664
A086_2,A086,2,23.47,what,-0.28911102,Early,0.9779166666666667
A086_3,A086,3,145.29,what,-1.3221629,Late,3.5004166666666663
A086_4,A086,4,169.55,what,-1.507539,Late,4.51125
A087_1,A087,1,1.0,what,0.8442136,Early,0.041666666666666664
A087_2,A087,2,31.07,what,0.30789483,Early,1.2945833333333334
A087_3,A087,3,72.8,what,-0.14517333,Late,0.4799999999999998
A087_4,A087,4,144.2,what,-0.102443576,Late,3.4549999999999996
A088_1,A088,1,1.0,what,0.68433183,Early,0.041666666666666664
A088_2,A088,2,24.25,what,2.7557518,Early,1.0104166666666667
A088_3,A088,3,74.91,what,0.12676762,Late,0.5679166666666665
A088_4,A088,4,149.93,what,0.16464782,Late,3.69375
A089_1,A089,1,1.0,what,0.8078197,Early,0.041666666666666664
A089_2,A089,2,32.14,what,0.72248566,Early,1.3391666666666666
A089_3,A089,3,79.34,what,0.28442654,Late,0.7525000000000001
A089_4,A089,4,146.96,what,0.4475206,Late,3.5700000000000003
A090_1,A090,1,1.0,what,0.66550887,Early,0.041666666666666664
A090_2,A090,2,23.54,what,-1.6414227,Early,0.9808333333333333
A090_3,A090,3,95.42,what,-2.383378,Late,1.4225
A090_4,A090,4,144.07,what,-0.91827035,Late,3.449583333333333
A091_1,A091,1,1.0,what,-0.4360702,Early,0.041666666666666664
A091_2,A091,2,22.2,what,-0.18568097,Early,0.9249999999999999
A091_3,A091,3,73.64,what,-1.5939965,Late,0.515
A091_4,A091,4,142.61,what,-0.46230045,Late,3.3887500000000004
A092_1,A092,1,1.0,what,-0.5627572,Early,0.041666666666666664
A092_2,A092,2,22.83,what,-0.19135952,Early,0.9512499999999999
A092_3,A092,3,71.31,what,-0.8530009,Late,0.4179166666666667
A092_4,A092,4,146.16,what,-1.7983118,Late,3.5366666666666666
A093_1,A093,1,1.0,what,0.089600235,Early,0.041666666666666664
A093_2,A093,2,22.09,what,0.6145582,Early,0.9204166666666667
A093_3,A093,3,70.22,what,-0.07367027,Late,0.3724999999999999
A093_4,A093,4,140.95,what,0.35448438,Late,3.3195833333333327
A094_1,A094,1,1.0,what,-0.18309258,Early,0.041666666666666664
A094_2,A094,2,22.98,what,-0.3280189,Early,0.9575
A094_3,A094,3,76.21,what,-1.6720117,Late,0.622083333333333
A094_4,A094,4,149.99,what,-1.3540277,Late,3.6962500000000005
A095_1,A095,1,1.0,what,1.0873888,Early,0.041666666666666664
A095_2,A095,2,29.71,what,-0.46548972,Early,1.2379166666666668
A095_3,A095,3,78.76,what,-0.30057147,Late,0.7283333333333335
A095_4,A095,4,148.79,what,0.7672782,Late,3.6462499999999998
A096_1,A096,1,1.0,what,-0.3248322,Early,0.041666666666666664
A096_2,A096,2,24.49,what,-1.2925794,Early,1.0204166666666665
A096_3,A096,3,71.19,what,-1.7075374,Late,0.41291666666666654
A096_4,A096,4,143.66,what,-1.5242242,Late,3.4324999999999997
A097_1,A097,1,1.0,what,1.8411877,Early,0.041666666666666664
A097_2,A097,2,24.37,what,-0.2735227,Early,1.0154166666666666
A097_3,A097,3,70.83,what,-0.14616925,Late,0.39791666666666653
A097_4,A097,4,144.85,what,-0.38724306,Late,3.482083333333333
A098_1,A098,1,1.0,what,0.086295724,Early,0.041666666666666664
A098_2,A098,2,25.77,what,0.79269034,Early,1.07375
A098_3,A098,3,78.84,what,1.8172361,Late,0.7316666666666668
A098_4,A098,4,146.29,what,-0.22831552,Late,3.542083333333333
A099_1,A099,1,1.0,what,1.098286,Early,0.041666666666666664
A099_2,A099,2,28.75,what,0.5036725,Early,1.1979166666666667
A099_3,A099,3,78.57,what,-0.96683764,Late,0.7204166666666664
A099_4,A099,4,143.51,what,0.097553015,Late,3.4262499999999996
A100_1,A100,1,1.0,what,-0.8105178,Early,0.041666666666666664
A100_2,A100,2,31.14,what,0.7197753,Early,1.2975
A100_3,A100,3,75.34,what,0.46233496,Late,0.5858333333333334
A100_4,A100,4,146.8,what,-0.06722808,Late,3.563333333333334
A101_1,A101,1,1.0,what,-1.3086234,Early,0.041666666666666664
A101_2,A101,2,29.12,what,-1.2809393,Early,1.2133333333333334
A101_3,A101,3,75.21,what,-1.8781223,Late,0.5804166666666664
A101_4,A101,4,150.22,what,-1.6442014,Late,3.705833333333333
A102_1,A102,1,1.0,what,-0.5762197,Early,0.041666666666666664
A102_2,A102,2,29.13,what,1.3714912,Early,1.2137499999999999
A102_3,A102,3,75.27,what,-0.8096236,Late,0.5829166666666664
A102_4,A102,4,150.41,what,0.10194793,Late,3.7137499999999997
A103_1,A103,1,1.0,what,1.7303075,Early,0.041666666666666664
A103_2,A103,2,27.26,what,-0.99133146,Early,1.1358333333333335
A103_3,A103,3,80.24,what,-2.3483527,Late,0.7899999999999997
A103_4,A103,4,149.72,what,-0.89320856,Late,3.685
A104_1,A104,1,1.0,what,1.9258907,Early,0.041666666666666664
A104_2,A104,2,22.6,what,-1.2385492,Early,0.9416666666666668
A104_3,A104,3,72.62,what,0.46352357,Late,0.47250000000000014
A104_4,A104,4,145.78,what,-1.6218024,Late,3.5208333333333335
A105_1,A105,1,1.0,what,1.6877278,Early,0.041666666666666664
A105_2,A105,2,22.77,what,0.0470621,Early,0.94875
A105_3,A105,3,69.46,what,-0.32466403,Late,0.34083333333333304
A105_4,A105,4,146.2,what,0.49442884,Late,3.5383333333333327
A106_1,A106,1,1.0,what,2.1079547,Early,0.041666666666666664
A106_2,A106,2,22.64,what,0.24444717,Early,0.9433333333333334
A106_3,A106,3,66.08,what,-0.28046107,Late,0.19999999999999987
A106_4,A106,4,147.13,what,1.9476776,Late,3.577083333333333
A107_1,A107,1,1.0,what,-0.7924621,Early,0.041666666666666664
A107_2,A107,2,26.22,what,-1.7505757,Early,1.0925
A107_3,A107,3,71.45,what,-1.0465363,Late,0.42375000000000007
A107_4,A107,4,145.95,what,-1.0003569,Late,3.527916666666666
A108_1,A108,1,1.0,what,-1.3257308,Early,0.041666666666666664
A108_2,A108,2,27.61,what,-0.8017765,Early,1.1504166666666666
A108_3,A108,3,68.96,what,-1.2139935,Late,0.3199999999999997
A108_4,A108,4,152.12,what,-1.0050039,Late,3.785
A109_1,A109,1,1.0,what,0.032928675,Early,0.041666666666666664
A109_2,A109,2,24.65,what,-1.9036578,Early,1.0270833333333333
A109_3,A109,3,71.17,what,-0.69994915,Late,0.41208333333333336
A109_4,A109,4,149.87,what,-1.1848431,Late,3.69125
A010_1,A010,1,1.0,where,1.7825152,Early,0.041666666666666664
A010_2,A010,2,21.9,where,1.2833042,Early,0.9125
A010_3,A010,3,80.88,where,0.27812618,Late,0.8166666666666664
A010_4,A010,4,145.31,where,0.18833622,Late,3.50125
A011_1,A011,1,1.0,where,0.35434216,Early,0.041666666666666664
A011_2,A011,2,24.57,where,0.5197361,Early,1.02375
A011_3,A011,3,72.55,where,-0.29288238,Late,0.4695833333333332
A011_4,A011,4,148.85,where,-0.43296236,Late,3.6487499999999997
A012_1,A012,1,1.0,where,1.2288259,Early,0.041666666666666664
A012_2,A012,2,25.6,where,-0.8322844,Early,1.0666666666666667
A012_3,A012,3,166.33,where,0.54551035,Late,4.377083333333334
