TSVR_hours,domain,probability,predicted_probability,UID
21.63,what,0.6946519075392558,0.8294273205610798,A036
21.9,what,0.821154070106636,0.8289640183125243,A010
21.98,what,0.8739874476606191,0.8288270760888965,A063
22.09,what,0.8742927680866937,0.828639027491913,A093
22.2,what,0.7500952561726194,0.8284512639203474,A091
22.6,what,0.49837320299564974,0.8277708739582115,A104
22.64,what,0.8250295793204967,0.827703039653801,A106
22.77,what,0.7930692326276846,0.8274828336236546,A105
22.82,what,0.8188409180827556,0.8273982427852898,A028
22.83,what,0.74897579225658,0.8273813315228209,A092
22.96,what,0.6368283656919163,0.827161694144582,A058
22.98,what,0.721044761319597,0.8271279381761366,A094
23.24,what,0.8290154961966334,0.8266899416678039,A055
23.33,what,0.9909133896076282,0.8265386856863107,A025
23.35,what,0.7475517342282544,0.8265050981648921,A066
