TSVR_hours,domain,theta,predicted_theta,UID
24.73,what,-0.6776924,0.23904465476573938,A050
24.77,what,-0.14593226,0.23861141559376287,A013
24.78,what,0.5389139,0.23850316132147747,A057
24.87,what,0.4809326,0.23752987033395634,A060
24.96,what,-1.9416001,0.23655837013123215,A069
25.15,what,-0.16564429,0.23451327655158982,A083
25.6,what,-0.36091226,0.22970099827792495,A012
25.62,what,0.37927657,0.22948813384802202,A043
25.63,what,-0.39188105,0.22938173380509808,A023
25.66,what,2.1043804,0.22906266226075872,A014
25.77,what,0.79269034,0.22789438011392243,A098
26.08,what,0.38348988,0.22461578839853963,A034
26.11,what,-0.7049539,0.22429958305249514,A079
26.17,what,-0.013857767,0.22366773988428879,A078
26.22,what,-1.7505757,0.2231417808695635,A107
26.26,what,1.2668161,0.22272139055179663,A040
26.48,what,0.29836762,0.22041520768233314,A026
26.85,what,0.19881293,0.21655919966061765,A020
27.12,what,0.081395224,0.21376302254572338,A049
27.25,what,-0.7193005,0.21242197801397988,A084
27.26,what,-0.99133146,0.21231896168134945,A103
27.3,what,0.070999414,0.2119070972211346,A076
27.61,what,-0.8017765,0.20872599411007348,A108
27.97,what,2.5857215,0.20505570174812648,A082
28.26,what,0.8358134,0.2021175197203598,A027
28.43,what,1.2032137,0.2004027080897457,A029
28.65,what,0.6637576,0.19819177515872632,A039
28.68,what,-0.7731385,0.19789100032221185,A075
28.69,what,-0.6859969,0.19779078010529855,A019
28.75,what,0.5036725,0.19718985794875632,A099
28.93,what,-0.6764188,0.1953911840288427,A042
29.03,what,0.6206685,0.19439456196771782,A080
29.12,what,-1.2809393,0.193499207650298,A101
29.13,what,1.3714912,0.19339981749259777,A102
29.16,what,1.053833,0.19310175922263217,A033
29.33,what,-1.6421561,0.19141593309511123,A074
29.57,what,-0.045083024,0.18904506941679833,A024
29.71,what,-0.46548972,0.1876669659206316,A095
29.91,what,-0.7600713,0.18570446519930667,A067
30.21,what,1.2837107,0.18277432332212878,A021
30.4,what,1.0119654,0.18092694200416864,A059
30.49,what,0.21658492,0.1800541175054779,A068
30.92,what,0.5382586,0.17590375538444558,A071
31.07,what,0.30789483,0.17446359571930675,A087
31.14,what,0.7197753,0.17379286312234077,A100
31.39,what,-0.11618614,0.1714043210449105,A081
31.76,what,1.1501558,0.16788899041467642,A052
31.78,what,-0.89921147,0.16769963763831564,A041
32.14,what,0.72248566,0.16430284829583047,A089
32.31,what,-1.8879485,0.16270637334178606,A065
32.41,what,0.11545077,0.1617695203436575,A031
32.71,what,0.6697047,0.15896889384546387,A053
32.85,what,-0.67632926,0.15766700115399696,A016
32.95,what,0.44205505,0.15673903920825272,A030
33.61,what,0.15596366,0.15065505535632046,A056
33.76,what,0.42614904,0.14928205412009488,A072
34.03,what,-0.54942524,0.14681961322851805,A018
35.16,what,1.233524,0.13663666192981105,A061
37.65,what,0.34213445,0.11486807249229941,A064
44.69,what,0.74262905,0.05777411787972442,A062
44.76,what,1.1757679,0.05723631187054268,A035
47.66,what,-0.039003193,0.03542392948027051,A044
53.88,what,-1.2753135,-0.008525775901037647,A077
57.18,what,0.033122495,-0.030438057582813927,A032
61.28,what,0.34112677,-0.05645367457606898,A017
64.94,what,0.8748715,-0.07864173269546637,A043
65.63,what,-0.8176612,-0.08272224856021071,A051
66.08,what,-0.28046107,-0.08536656542249699,A106
66.28,what,-1.2829115,-0.08653757989942057,A058
66.66,what,-1.2012441,-0.08875537779101372,A073
66.9,what,-0.13591054,-0.09015130778113811,A073
68.96,what,-1.2139935,-0.10198364274126592,A108
69.46,what,-0.32466403,-0.10481601843782251,A105
69.99,what,0.24433644,-0.10780184033886542,A063
70.22,what,-0.07367027,-0.10909233934566154,A093
70.56,what,0.79710543,-0.11099427457105959,A014
70.59,what,2.9706106,-0.11116176393367672,A015
70.83,what,-0.14616925,-0.11249976961950792,A097
71.17,what,-0.69994915,-0.11438949239256624,A109
71.19,what,-1.7075374,-0.11450044221672384,A096
71.28,what,-1.7308351,-0.11499942812050667,A040
71.31,what,-0.8530009,-0.11516565201963569,A092
71.37,what,-1.3670206,-0.11549794291242987,A075
71.4,what,-0.7084911,-0.11566400997189696,A085
71.45,what,-1.0465363,-0.1159406723891373,A107
71.46,what,-0.6204517,-0.11599598748124418,A056
71.47,what,-0.19414504,-0.11605129677907122,A036
71.56,what,0.05749122,-0.11654881991707111,A031
71.85,what,-0.38544658,-0.11814876849255396,A038
71.93,what,-0.63093513,-0.11858928178223971,A030
72.08,what,-0.14643928,-0.11941425493775648,A037
72.17,what,0.41297585,-0.11990862084133591,A042
72.2,what,1.1006073,-0.1200733066703642,A023
72.23,what,-1.0008355,-0.12023794115007147,A045
72.26,what,-0.68490416,-0.12040252431246912,A028
72.3,what,-0.62940764,-0.12062188875734547,A078
72.55,what,-0.51790774,-0.12199085558907652,A011
72.6,what,1.0989009,-0.12226422355336197,A033
72.62,what,0.46352357,-0.12237353112258009,A104
72.8,what,-0.14517333,-0.12335628229057849,A087
72.83,what,2.3994637,-0.12351989646672312,A054
72.86,what,0.9902118,-0.12368345995955554,A038
72.87,what,0.047872722,-0.12373796986630148,A080
72.94,what,-0.41828287,-0.12411938172732795,A025
73.02,what,-0.9139577,-0.12455494389780841,A074
73.05,what,-1.9663489,-0.12471818712409632,A046
73.19,what,-1.2209978,-0.12547932223912694,A067
73.64,what,-1.5939965,-0.12791842317400803,A091
73.79,what,-0.62886995,-0.12872895939911566,A066
73.83,what,0.14511971,-0.12894489241969942,A057
74.0,what,-1.362579,-0.12986162385467892,A079
74.19,what,0.5994273,-0.13088432604639255,A021
74.28,what,-0.016765982,-0.13136807341071333,A034
74.3,what,-0.13697514,-0.13147551266456303,A083
74.46,what,-0.6210991,-0.13233424058097787,A022
74.48,what,0.40776598,-0.13244148343931816,A055
74.58,what,-0.77509683,-0.13297737124663234,A027
74.88,what,-0.88688034,-0.13458177907855218,A076
74.91,what,0.12676762,-0.13474195205451833,A088
75.21,what,-1.8781223,-0.13634101509141272,A101
75.27,what,-0.8096236,-0.1366602473932913,A102
75.34,what,0.46233496,-0.13703244130413206,A100
75.46,what,0.5301962,-0.13766987825626686,A026
75.71,what,0.20728257,-0.13899540541529043,A082
75.74,what,0.34561834,-0.13915424528950615,A041
76.21,what,-1.6720117,-0.1416365184211381,A094
76.85,what,-1.4137906,-0.14499797944287784,A047
78.25,what,0.124854565,-0.1522774083361974,A020
78.28,what,-0.5973952,-0.15243230303575528,A053
78.36,what,0.07986976,-0.15284513355813312,A077
78.57,what,-0.96683764,-0.15392728046848325,A099
78.76,what,-0.30057147,-0.15490445836519662,A095
78.84,what,1.8172361,-0.15531536127404544,A098
79.34,what,0.28442654,-0.15787628496350448,A089
79.66,what,-0.08115509,-0.1595087816029923,A013
79.75,what,-0.44794863,-0.15996701333716756,A069
79.78,what,1.1656518,-0.16011966891898266,A059
