UID,test,composite_ID,TSVR_hours,z_theta_accuracy,z_theta_confidence,calibration
A052,T2,A052_T2,31.76,0.40069171488663974,-0.14754394285320807,-0.5482356577398478
A052,T3,A052_T3,80.98,0.11635845095346106,-0.862375666556457,-0.9787341175099181
A052,T4,A052_T4,153.27,-0.8871381894843241,-0.3035986244808949,0.5835395650034292
A053,T1,A053_T1,1.0,1.4785583323223055,1.060461752783437,-0.4180965795388685
A053,T2,A053_T2,32.71,1.0272958039812312,-1.1451638120927858,-2.172459616074017
A053,T3,A053_T3,78.28,-0.4399891257994964,-1.8625095166155112,-1.422520390816015
A053,T4,A053_T4,148.9,-0.150076499127309,-1.5811339875512067,-1.4310574884238978
A054,T1,A054_T1,1.0,0.5498365407540212,1.5616577532220426,1.0118212124680213
A054,T2,A054_T2,16.9,1.1861153703299228,0.9329386161428744,-0.2531767541870483
A054,T3,A054_T3,72.83,1.2551742459167592,0.8410474867123161,-0.4141267592044431
A054,T4,A054_T4,136.83,1.3030692923512968,1.2261707184656208,-0.076898573885676
A055,T1,A055_T1,1.0,0.2957569359541282,0.9726414893349965,0.6768845533808683
A055,T2,A055_T2,23.24,0.9095058203479244,-0.7026136473644404,-1.6121194677123647
A055,T3,A055_T3,74.48,-0.13346716973751827,-0.4797763481183404,-0.34630917838082215
A055,T4,A055_T4,149.21,-0.6634023436407634,-1.4525770987778257,-0.7891747551370623
A056,T1,A056_T1,1.0,0.5530252888945004,-0.31977626361225686,-0.8728015525067573
A056,T2,A056_T2,33.61,0.5758406585871718,-0.7035761325683199,-1.2794167911554917
A056,T3,A056_T3,71.46,-0.4428776506600633,-0.17485798222374532,0.26801966843631797
A056,T4,A056_T4,147.84,-1.0170426766371687,-0.3769286859070387,0.6401139907301301
A057,T1,A057_T1,1.0,0.5174758271208859,0.3740475839907749,-0.143428243130111
A057,T2,A057_T2,24.78,-0.826210225997846,0.1856378322802931,1.011848058278139
A057,T3,A057_T3,73.83,-0.7283158900772994,0.06529398866229363,0.793609878739593
A057,T4,A057_T4,145.06,-1.1588501624929701,0.15121377754125706,1.310063940034227
A058,T1,A058_T1,1.0,1.0755864659061043,1.0857417817257617,0.010155315819657451
A058,T2,A058_T2,22.96,-0.8992812312176188,0.6039403554640435,1.5032215866816623
A058,T3,A058_T3,66.28,-0.1355417834705494,-0.9408928084804218,-0.8053510250098723
A058,T4,A058_T4,143.48,-1.1367986190448935,-0.7990758760147783,0.3377227430301153
A059,T1,A059_T1,1.0,1.0497068929055964,0.30175562334484995,-0.7479512695607464
A059,T2,A059_T2,30.4,1.3095930390328219,0.37252190268634156,-0.9370711363464803
A059,T3,A059_T3,79.78,1.4083539027504404,-0.8091567808841336,-2.2175106836345737
A059,T4,A059_T4,151.93,0.40057653448642505,0.12911894777087635,-0.2714575867155487
A060,T1,A060_T1,1.0,-0.060951598242419226,0.3041429151121359,0.3650945133545552
A060,T2,A060_T2,24.87,1.381233913216948,0.7615064233743902,-0.6197274898425578
A060,T3,A060_T3,94.68,-0.5457457290168103,0.5394648340781447,1.0852105630949551
A060,T4,A060_T4,143.91,0.19769663559596878,0.6373013047003085,0.43960466910433976
A061,T1,A061_T1,1.0,2.672582789090471,2.5999813784889225,-0.07260141060154846
A061,T2,A061_T2,35.16,0.9957008975303198,1.7111727630926719,0.7154718655623521
A061,T3,A061_T3,82.55,0.2873271776962737,0.9535260613114478,0.6661988836151741
A061,T4,A061_T4,146.56,-0.31683864019611274,0.8899601474275283,1.206798787623641
A062,T1,A062_T1,1.0,1.6204818142585216,1.0150285420038927,-0.6054532722546289
A062,T2,A062_T2,44.69,0.14304250285228082,0.47896103876607704,0.3359185359137962
A062,T3,A062_T3,92.72,-0.6415789046310041,-1.3387269654148386,-0.6971480607838345
A062,T4,A062_T4,149.18,-0.7659604211484455,-0.1294805405340005,0.636479880614445
A063,T1,A063_T1,1.0,0.906661670608897,-1.3627976540200035,-2.2694593246289005
A063,T2,A063_T2,21.98,0.7546882352992889,-3.0796936108682127,-3.8343818461675014
A063,T3,A063_T3,69.99,0.1786761491785032,-1.1834203436644277,-1.3620964928429309
A063,T4,A063_T4,141.09,-0.6235082831032701,-1.031907916770838,-0.40839963366756793
A064,T1,A064_T1,1.0,0.8749286811526699,1.1207740456921662,0.24584536453949635
A064,T2,A064_T2,37.65,0.5886611174300894,0.3192024892395393,-0.2694586281905501
A064,T3,A064_T3,82.99,0.18028043323351242,0.24739322845505524,0.06711279522154281
A064,T4,A064_T4,156.21,-0.35952853466233464,-0.33562747661535264,0.023901058046982004
A065,T1,A065_T1,1.0,-2.3778998996675735,-0.3662147752676916,2.011685124399882
A065,T2,A065_T2,32.31,-1.0448077950562562,-1.435792476367565,-0.3909846813113087
A065,T3,A065_T3,106.41,-2.3588571568332175,0.7917183504841059,3.150575507317323
A065,T4,A065_T4,187.43,-2.5229224367019976,-0.021097212099752464,2.501825224602245
A066,T1,A066_T1,1.0,0.48679593376933483,-0.10301323832696244,-0.5898091720962972
A066,T2,A066_T2,23.35,-0.48631424208667645,0.2505157654684481,0.7368300075551246
A066,T3,A066_T3,73.79,-0.9911288980345001,-0.2144885013250782,0.7766403967094219
