UID,test,composite_ID,TSVR_hours,theta_accuracy,se_accuracy,theta_confidence,se_confidence,z_theta_accuracy,z_theta_confidence
A051,T3,A051_T3,65.63,-0.6520249,,-0.7147496,0.033312414,-0.6972526058451661,-0.1896017473992485
A051,T4,A051_T4,146.99,-0.72000563,,-0.6880791,0.033312414,-0.7692662882537709,-0.1279099386271655
A052,T1,A052_T1,1.0,0.58457315,,-0.40401456,0.033312414,0.6127065434578783,0.5291626802067441
A052,T2,A052_T2,31.76,0.3844317,,-0.69656724,0.033312414,0.40069171488663974,-0.14754394285320807
A052,T3,A052_T3,80.98,0.116021834,,-1.0056021,0.033312414,0.11635845095346106,-0.862375666556457
A052,T4,A052_T4,153.27,-0.8312764,,-0.76403254,0.033312414,-0.8871381894843241,-0.3035986244808949
A053,T1,A053_T1,1.0,1.401935,,-0.17432423,0.033312414,1.4785583323223055,1.060461752783437
A053,T2,A053_T2,32.71,0.97594434,,-1.1278566,0.033312414,1.0272958039812312,-1.1451638120927858
A053,T3,A053_T3,78.28,-0.40916884,,-1.4379783,0.033312414,-0.4399891257994964,-1.8625095166155112
A053,T4,A053_T4,148.9,-0.13549207,,-1.3163345,0.033312414,-0.150076499127309,-1.5811339875512067
A054,T1,A054_T1,1.0,0.52522403,,0.04235199,0.033312414,0.5498365407540212,1.5616577532220426
A054,T2,A054_T2,16.9,1.1258696,,-0.22945482,0.033312414,1.1861153703299228,0.9329386161428744
A054,T3,A054_T3,72.83,1.191061,,-0.26918104,0.033312414,1.2551742459167592,0.8410474867123161
A054,T4,A054_T4,136.83,1.2362738,,-0.102685206,0.033312414,1.3030692923512968,1.2261707184656208
A055,T1,A055_T1,1.0,0.28537354,,-0.21229054,0.033312414,0.2957569359541282,0.9726414893349965
A055,T2,A055_T2,23.24,0.8647509,,-0.93653405,0.033312414,0.9095058203479244,-0.7026136473644404
A055,T3,A055_T3,74.48,-0.119812906,,-0.8401974,0.033312414,-0.13346716973751827,-0.4797763481183404
