UID,Day0_confidence,se_confidence,forgetting_slope,se_slope
A038,-0.2467488,0.033312414,0.072944861022538,0.002241981382843223
A039,0.1412702,0.033312414,0.068933270609143,0.002241981382843223
A040,-0.598243,0.033312414,0.0821020224803193,0.002241981382843223
A041,0.011227685,0.033312414,0.0770998584659177,0.002241981382843223
A042,-0.79731315,0.033312414,0.0833319717768652,0.002241981382843223
A043,0.3001954,0.033312414,0.0736157687958804,0.002241981382843223
A044,-1.06982,0.033312414,0.0809149343107573,0.002241981382843223
A045,-0.8722971,0.033312414,0.0849598773101029,0.002241981382843223
A046,-0.6608937,0.033312414,0.0859586514312135,0.002241981382843223
A047,-0.57797015,0.033312414,0.0836031130834629,0.002241981382843223
A048,-0.29754767,0.033312414,0.0755136680363478,0.002241981382843223
A049,0.015095141,0.033312414,0.073420918348569,0.002241981382843223
A050,-0.332139,0.033312414,0.0825170803928401,0.002241981382843223
A051,-0.13511,0.033312414,0.0765193903879737,0.002241981382843223
A052,-0.40401456,0.033312414,0.0757275569208094,0.002241981382843223
A053,-0.17432423,0.033312414,0.0728315703065812,0.002241981382843223
A054,0.04235199,0.033312414,0.0728296476647857,0.002241981382843223
A055,-0.21229054,0.033312414,0.0760012609060941,0.002241981382843223
A056,-0.77102643,0.033312414,0.0763343017895764,0.002241981382843223
A057,-0.47107366,0.033312414,0.079984717156228,0.002241981382843223
A058,-0.16339521,0.033312414,0.0780473727182357,0.002241981382843223
A059,-0.5023268,0.033312414,0.0709581818255833,0.002241981382843223
A060,-0.50129473,0.033312414,0.0760468934862097,0.002241981382843223
A061,0.49123833,0.033312414,0.068782121097948,0.002241981382843223
A062,-0.19396584,0.033312414,0.0741734129460052,0.002241981382843223
A063,-1.2219437,0.033312414,0.0744690451897161,0.002241981382843223
A064,-0.14825012,0.033312414,0.0743970135319238,0.002241981382843223
A065,-0.79110265,0.033312414,0.089497457997351,0.002241981382843223
A066,-0.6773158,0.033312414,0.0796457179981935,0.002241981382843223
A067,-0.489106,0.033312414,0.0816699699872624,0.002241981382843223
A068,0.16652554,0.033312414,0.0738147184170285,0.002241981382843223
A069,-0.73993486,0.033312414,0.0852590012023686,0.002241981382843223
A070,-0.49851632,0.033312414,0.0774473566025064,0.002241981382843223
A071,-0.06756443,0.033312414,0.0755604621282455,0.002241981382843223
A072,-0.08344198,0.033312414,0.0759304455826986,0.002241981382843223
A073,-0.7472555,0.033312414,0.0757713134352713,0.002241981382843223
A074,-0.10384461,0.033312414,0.0769646177813064,0.002241981382843223
A075,-0.5195184,0.033312414,0.0785891232892467,0.002241981382843223
A076,-0.88919824,0.033312414,0.0831255246257147,0.002241981382843223
A077,-0.20553797,0.033312414,0.074097294646832,0.002241981382843223
A078,-0.94877625,0.033312414,0.0797670297544932,0.002241981382843223
A079,-0.5209985,0.033312414,0.0794188274754092,0.002241981382843223
A080,-0.09753483,0.033312414,0.0762720875867827,0.002241981382843223
A081,-0.25508967,0.033312414,0.0760117538742082,0.002241981382843223
A082,-0.22234312,0.033312414,0.0739222607168015,0.002241981382843223
A083,0.004754789,0.033312414,0.0709547057378899,0.002241981382843223
A084,-1.4660891,0.033312414,0.0784148295090884,0.002241981382843223
A085,-0.4503213,0.033312414,0.0739594929423644,0.002241981382843223
A086,-0.079089,0.033312414,0.0777521959777947,0.002241981382843223
A087,-0.09658217,0.033312414,0.0729870231991134,0.002241981382843223
A088,-0.2547915,0.033312414,0.0664249529845539,0.002241981382843223
A089,-0.09992828,0.033312414,0.0709506867979725,0.002241981382843223
A090,-1.6835222,0.033312414,0.0811003626009767,0.002241981382843223
A091,-0.2862672,0.033312414,0.0790137906259887,0.002241981382843223
A092,-0.36225155,0.033312414,0.081902951702273,0.002241981382843223
A093,-0.06434872,0.033312414,0.0755841464728495,0.002241981382843223
A094,-0.7272985,0.033312414,0.0832924895457688,0.002241981382843223
A095,-0.080623694,0.033312414,0.0755691502821386,0.002241981382843223
A096,-0.2553402,0.033312414,0.0857835750897643,0.002241981382843223
A097,-0.7875995,0.033312414,0.0779421754758125,0.002241981382843223
A098,-0.31676105,0.033312414,0.0745537771594479,0.002241981382843223
A099,-0.26512447,0.033312414,0.0726217461313157,0.002241981382843223
A100,-0.5656639,0.033312414,0.0763622075480461,0.002241981382843223
A101,-1.0507481,0.033312414,0.0849973063195877,0.002241981382843223
A102,-0.46174812,0.033312414,0.0768187168061965,0.002241981382843223
A103,-1.0606663,0.033312414,0.0782809524634402,0.002241981382843223
A104,-0.072939284,0.033312414,0.0736390557673233,0.002241981382843223
