UID,Common_Intercept_z,Common_Slope_z,Congruent_Intercept_z,Congruent_Slope_z,Incongruent_Intercept_z,Incongruent_Slope_z
A047,-1.0461629470485754,-1.703234918529847,-1.3660986428192998,-1.0461900152168386,1.5064982803923848,-1.366100360944524
A048,0.35650102269321343,1.5897089200376848,0.7540532295543294,0.3565341900174263,-1.7598439692623846,0.7540522652444002
A049,1.1218928948127016,1.5654818320224222,0.6179084306400979,1.1219184936221598,-0.45234098291034863,0.6179038446206089
A050,-0.914666037605241,-1.322084437324984,-0.2085531314525394,-0.9146334535820537,1.2667081993291118,-0.20854698007218603
A051,-0.11938375372869485,0.6946196579152668,0.004759332712450481,-0.11937565881029286,-0.6984266538371741,0.004742820940303647
A052,0.2116121393368374,-0.22053976058048785,0.4820846840866056,0.21163083787254872,0.09889070020796413,0.4820669590022682
A053,0.4470943722043057,0.6763055280043426,0.639085128797818,0.4470532959387551,-1.2807107257116435,0.6390882031462137
A054,1.2485401684355362,0.787681566677916,1.0796617188057183,1.2485955145772563,0.4266848978417898,1.0796950503380573
A055,-1.201520074003943,-0.3799310749310505,-0.30561040804905826,-1.2015223965117268,-0.1257462043914335,-0.3056201766458953
A056,-0.395202344769767,0.4262493715927784,0.030314575088781763,-0.3952351930374381,-1.2932039707189573,0.030292984443862702
A057,-1.6780425368649257,-0.9884976157477484,-0.8394113639529365,-1.6780462499077462,0.7796502726710329,-0.8394142063489083
A058,-0.5117324900503861,0.23730044846484155,0.20251521534810116,-0.5117404828690583,-0.9396297952134361,0.2025151955547405
A059,1.8273825512185164,0.47322317525504226,1.6005846464380502,1.8273879214182063,0.3388817419860715,1.600588911331828
A060,0.2619011080561084,0.1761557343344838,0.23464307860222192,0.2619446307544521,0.5892081379930255,0.23466146045622152
A061,0.9283562715164402,1.299458899120759,1.11326078944254,0.9282780774295537,-1.540983673554447,1.1132294822534112
A062,-0.31791438392570553,-0.5457987750266535,-0.2967015076413076,-0.3180163050468139,0.27806619546295447,-0.29671879252422856
