UID,theta_all,theta_what,beta_age_bivariate_all,beta_age_controlled_all,beta_age_bivariate_what,beta_age_controlled_what
A061,0.86492765,0.8467748125,-0.1302,0.0258,-0.1302,0.0258
A062,0.09019198499999995,0.078300275,-0.1302,0.0258,-0.1302,0.0258
A063,0.293277165,0.2605916275,-0.1302,0.0258,-0.1302,0.0258
A064,0.30928356749999997,0.503797009,-0.1302,0.0258,-0.1302,0.0258
A065,-1.9536738750000002,-1.94928755,-0.1302,0.0258,-0.1302,0.0258
A066,-0.5499262325000001,-0.44128004499999995,-0.1302,0.0258,-0.1302,0.0258
A067,-0.82512955,-0.7244210325,-0.1302,0.0258,-0.1302,0.0258
A068,0.37390792500000003,0.394560105,-0.1302,0.0258,-0.1302,0.0258
A069,-1.1793972825,-0.8791684799999999,-0.1302,0.0258,-0.1302,0.0258
A070,-0.21069506424999995,-0.06834133,-0.1302,0.0258,-0.1302,0.0258
A071,0.1962569325,0.0700237725,-0.1302,0.0258,-0.1302,0.0258
A072,0.07787222499999996,-0.09781446499999999,-0.1302,0.0258,-0.1302,0.0258
A073,0.33634695950000004,0.122970805,-0.1302,0.0258,-0.1302,0.0258
A074,-0.2549865725,-0.5581603375,-0.1302,0.0258,-0.1302,0.0258
A075,-0.291115765,-0.3986804465,-0.1302,0.0258,-0.1302,0.0258
A076,-1.220826245,-1.18215652,-0.1302,0.0258,-0.1302,0.0258
A077,0.48626458250000004,0.498825286,-0.1302,0.0258,-0.1302,0.0258
A078,-0.49878498,-0.32265749850000003,-0.1302,0.0258,-0.1302,0.0258
A079,-0.4405461125,-0.5118734475,-0.1302,0.0258,-0.1302,0.0258
A080,0.05354647499999998,0.10170053000000001,-0.1302,0.0258,-0.1302,0.0258
A081,0.3615143925,0.231875545,-0.1302,0.0258,-0.1302,0.0258
A082,0.4909304,0.52830120875,-0.1302,0.0258,-0.1302,0.0258
A083,0.7502973374999999,0.4622176,-0.1302,0.0258,-0.1302,0.0258
A084,-0.0109190895,-0.2665534975,-0.1302,0.0258,-0.1302,0.0258
A085,0.33935422249999997,0.22755188250000002,-0.1302,0.0258,-0.1302,0.0258
A086,-0.43033625999999997,-0.4872433975,-0.1302,0.0258,-0.1302,0.0258
A087,0.5806797050000001,0.5968231325,-0.1302,0.0258,-0.1302,0.0258
A088,1.55795242,1.3717229775000002,-0.1302,0.0258,-0.1302,0.0258
A089,0.865113,0.6689538675000001,-0.1302,0.0258,-0.1302,0.0258
A090,-0.752913545,-0.836708325,-0.1302,0.0258,-0.1302,0.0258
A091,-0.373098455,-0.2245167425,-0.1302,0.0258,-0.1302,0.0258
A092,-0.7275689125,-0.7566670525,-0.1302,0.0258,-0.1302,0.0258
A093,0.48446266,0.5506377825,-0.1302,0.0258,-0.1302,0.0258
A094,-0.93752057,-0.7701877375,-0.1302,0.0258,-0.1302,0.0258
A095,-0.013461817500000028,0.0709018625,-0.1302,0.0258,-0.1302,0.0258
A096,-1.325941315,-1.488379525,-0.1302,0.0258,-0.1302,0.0258
A097,0.142418974,0.136843735,-0.1302,0.0258,-0.1302,0.0258
A098,0.35445072499999997,0.47438697500000004,-0.1302,0.0258,-0.1302,0.0258
A099,0.7514367825,0.29579097125,-0.1302,0.0258,-0.1302,0.0258
A100,0.2622341625,0.356873705,-0.1302,0.0258,-0.1302,0.0258
A101,-1.1029622374999999,-1.2126279850000001,-0.1302,0.0258,-0.1302,0.0258
A102,0.01133648850000002,0.028971365749999985,-0.1302,0.0258,-0.1302,0.0258
