composite_ID,UID,test,residual
A054_4,A054,T4,0.7507155079872316
A055_1,A055,T1,-0.49226339196140995
A055_2,A055,T2,0.8745106269989207
A055_3,A055,T3,0.0578151543171834
A055_4,A055,T4,-0.37220880470906614
A056_1,A056,T1,-0.1198171267442657
A056_2,A056,T2,0.7501587510165342
A056_3,A056,T3,-0.10948830104881868
A056_4,A056,T4,-0.5772725503051952
A057_1,A057,T1,0.21124442139342237
A057_2,A057,T2,-0.25860640536201174
A057_3,A057,T3,-0.010526240351215299
A057_4,A057,T4,-0.3482023335057546
A058_1,A058,T1,0.534180618099501
A058_2,A058,T2,-0.5448342759357716
A058_3,A058,T3,0.33240335673801424
A058_4,A058,T4,-0.5322817839559486
A059_1,A059,T1,-0.507273696572373
A059_2,A059,T2,0.5706673034897085
A059_3,A059,T3,0.7943693751750024
A059_4,A059,T4,-0.09296729135394699
A060_1,A060,T1,-0.9433899018698737
A060_2,A060,T2,1.217239671718021
A060_3,A060,T3,-0.4193557924087933
A060_4,A060,T4,0.3230641964674308
A061_1,A061,T1,1.1207878547184178
A061_2,A061,T2,0.3931799996878501
A061_3,A061,T3,-0.16400088650493988
A061_4,A061,T4,-0.6773034318770601
A062_1,A062,T1,0.7426092415283542
A062_2,A062,T2,0.23827025492241521
A062_3,A062,T3,-0.4132985923764662
A062_4,A062,T4,-0.48470530005623375
A063_1,A063,T1,-0.06493863366938268
A063_2,A063,T2,0.5690735727215087
A063_3,A063,T3,0.19586128964073185
A063_4,A063,T4,-0.4888987399917985
A064_1,A064,T1,-0.13132421597326904
A064_2,A064,T2,0.46410228169521145
A064_3,A064,T3,0.18040421177763866
A064_4,A064,T4,-0.2671486242950259
A065_1,A065,T1,-1.3802904859051595
A065_2,A065,T2,0.7204305642719819
A065_3,A065,T3,-0.36863584067010335
A065_4,A065,T4,-0.47247961011050643
A066_1,A066,T1,0.21268608442965242
A066_2,A066,T2,0.08230112578689963
A066_3,A066,T3,-0.22828028469875994
A066_4,A066,T4,-0.501954397609113
A067_1,A067,T1,0.6257866260356725
A067_2,A067,T2,-0.5191619502196212
A067_3,A067,T3,-0.5588883988867992
A067_4,A067,T4,-0.19023149152097474
A068_1,A068,T1,0.29490096081736383
A068_2,A068,T2,-0.01261308465248645
A068_3,A068,T3,0.37779461857422547
A068_4,A068,T4,-0.3704285036759828
A069_1,A069,T1,-0.5333389683487554
A069_2,A069,T2,-0.4534769783467849
A069_3,A069,T3,0.503466815353925
A069_4,A069,T4,-0.43761111566500754
A070_1,A070,T1,0.06813884818541305
A070_2,A070,T2,0.3084017129042337
A070_3,A070,T3,0.0026374655777897105
A070_4,A070,T4,-0.5501193869576754
A071_1,A071,T1,0.23517379741651823
A071_2,A071,T2,0.37093183418181896
A071_3,A071,T3,-0.7635765426154437
A071_4,A071,T4,0.30908664619572646
A072_1,A072,T1,0.18878500324789638
A072_2,A072,T2,0.4500009781762933
A072_3,A072,T3,-0.6915483807614604
A072_4,A072,T4,0.11659034890967135
A073_1,A073,T1,-0.11865073654014813
A073_2,A073,T2,-0.5383670634715088
A073_3,A073,T3,-0.06997569048986768
A073_4,A073,T4,1.0021061367180923
A074_1,A074,T1,0.6427008765605979
A074_2,A074,T2,0.16663398039935118
A074_3,A074,T3,-0.3960963228514526
A074_4,A074,T4,-0.6150124006812887
A075_1,A075,T1,0.007931106710404812
A075_2,A075,T2,0.8459622563854624
A075_3,A075,T3,-1.069692493775602
A075_4,A075,T4,-0.007266136269083234
A076_1,A076,T1,-0.11024177622189218
A076_2,A076,T2,0.33122236974338426
A076_3,A076,T3,0.03537261299511307
A076_4,A076,T4,-1.2067302275992464
A077_1,A077,T1,0.14326696464637179
A077_2,A077,T2,-0.3558208979239669
A077_3,A077,T3,0.10172693029009144
A077_4,A077,T4,0.5014633866606439
A078_1,A078,T1,-0.23978398370993936
A078_2,A078,T2,0.5862695296403176
A078_3,A078,T3,-0.39686111543414015
A078_4,A078,T4,-0.3447253901078646
A079_1,A079,T1,0.14895750545891606
A079_2,A079,T2,0.058003245436024864
A079_3,A079,T3,-0.3389455970220646
A079_4,A079,T4,-0.21224906261215726
A080_1,A080,T1,-0.3879343610640715
A080_2,A080,T2,0.42321567938151505
A080_3,A080,T3,0.5258110453068924
A080_4,A080,T4,-0.5247409393656863
A081_1,A081,T1,-0.42971518458995006
A081_2,A081,T2,-0.4036436343458232
A081_3,A081,T3,0.8993405483748074
A081_4,A081,T4,0.2141160069749408
A082_1,A082,T1,-0.6248337602564722
A082_2,A082,T2,0.891174928533092
A082_3,A082,T3,0.2590080689908832
A082_4,A082,T4,-0.14840224289192316
A083_1,A083,T1,0.6112357859061339
A083_2,A083,T2,0.4017290299742342
A083_3,A083,T3,-0.12878794354156456
A083_4,A083,T4,-0.31316811857603616
A084_1,A084,T1,-0.32166127339768613
A084_2,A084,T2,-0.2897611161011665
A084_3,A084,T3,0.29263158507139525
A084_4,A084,T4,0.3100888024086567
A085_1,A085,T1,-0.6720753151740706
A085_2,A085,T2,1.5378739769462244
A085_3,A085,T3,-0.17096538174027814
A085_4,A085,T4,-0.44073244801105405
A086_1,A086,T1,0.5414067924044046
A086_2,A086,T2,0.0668925014894442
A086_3,A086,T3,-0.46388863879961373
A086_4,A086,T4,-0.47319155324488005
A087_1,A087,T1,-0.007159049771998216
A087_2,A087,T2,0.7766391570049354
A087_3,A087,T3,-0.4526002884731589
A087_4,A087,T4,0.12914180215075405
A088_1,A088,T1,0.05667293833218223
A088_2,A088,T2,1.441239660051003
A088_3,A088,T3,-0.5631867246090558
A088_4,A088,T4,0.2605877378518251
A089_1,A089,T1,0.19865227565721533
A089_2,A089,T2,0.4041217839260546
A089_3,A089,T3,0.08243183696920925
A089_4,A089,T4,-0.015897927449619265
A090_1,A090,T1,0.10871697896654259
A090_2,A090,T2,0.1853349802117652
A090_3,A090,T3,-0.6682502372729049
A090_4,A090,T4,-0.2145937089255634
A091_1,A091,T1,0.25272634871140337
A091_2,A091,T2,0.13504488964540196
A091_3,A091,T3,-0.5179266865301049
A091_4,A091,T4,-0.17253783910453924
A092_1,A092,T1,-0.3911549318561372
A092_2,A092,T2,-0.10873926629172803
A092_3,A092,T3,0.3893681040983231
A092_4,A092,T4,-0.46570086050946724
A093_1,A093,T1,-0.5198426097969986
A093_2,A093,T2,-0.11280301721262892
A093_3,A093,T3,0.5379343352423158
A093_4,A093,T4,0.4539300369923427
A094_1,A094,T1,-0.6478154459716496
A094_2,A094,T2,0.670250387884628
A094_3,A094,T3,-0.6671309856162329
A094_4,A094,T4,-0.09178513979667113
A095_1,A095,T1,0.8472597366583347
A095_2,A095,T2,-0.1405971622151384
A095_3,A095,T3,-0.29287275257990886
A095_4,A095,T4,-0.4264730714160483
A096_1,A096,T1,-0.08511146152844412
A096_2,A096,T2,-0.08879391782664348
A096_3,A096,T3,-0.8040515263704482
A096_4,A096,T4,-0.05909381804274294
A097_1,A097,T1,-0.5668150262834051
A097_2,A097,T2,-0.5632189755401457
A097_3,A097,T3,0.9292626605462926
A097_4,A097,T4,0.2994248222616659
A098_1,A098,T1,-0.384530496918123
A098_2,A098,T2,0.16827613246011358
A098_3,A098,T3,1.1373908787736855
A098_4,A098,T4,-0.6540572712805339
A099_1,A099,T1,-0.18686027145512507
A099_2,A099,T2,0.7630232561360204
A099_3,A099,T3,-0.5619063302557411
A099_4,A099,T4,0.5630358209852582
A100_1,A100,T1,-0.9861592251568747
A100_2,A100,T2,0.7111658615066521
A100_3,A100,T3,0.3064202737717511
A100_4,A100,T4,0.1694053781871991
A101_1,A101,T1,-0.84891666248543
A101_2,A101,T2,0.31198355383959786
A101_3,A101,T3,-0.36873782392017973
A101_4,A101,T4,0.04872902817445146
A102_1,A102,T1,-0.7563898436037085
A102_2,A102,T2,1.183637130121975
A102_3,A102,T3,-0.23390784627032074
A102_4,A102,T4,-0.18827211144462536
A103_1,A103,T1,1.450990126159298
A103_2,A103,T2,-0.509718862225754
A103_3,A103,T3,-1.0691772977513265
A103_4,A103,T4,-0.25252356190971004
A104_1,A104,T1,1.006493416802142
A104_2,A104,T2,0.08670755848175218
A104_3,A104,T3,0.4347512771929295
A104_4,A104,T4,-1.495258305098515
A105_1,A105,T1,-0.31135520459560084
A105_2,A105,T2,0.3350331464913233
A105_3,A105,T3,-0.2135874749344516
A105_4,A105,T4,0.39717820846314045
A106_1,A106,T1,-0.034197839548296693
A106_2,A106,T2,-0.3240758642874858
A106_3,A106,T3,0.05778318453014225
A106_4,A106,T4,0.8035113536312964
A107_1,A107,T1,-0.48152684141232804
A107_2,A107,T2,-0.5736703251449555
A107_3,A107,T3,0.14374396515639343
A107_4,A107,T4,0.008471946618621162
A108_1,A108,T1,-0.5671150047269614
A108_2,A108,T2,-0.36835541041694153
A108_3,A108,T3,0.512189438396103
A108_4,A108,T4,-0.18195785658964003
A109_1,A109,T1,-0.36839857113089214
A109_2,A109,T2,-0.41679333519722905
A109_3,A109,T3,0.6029739909115082
A109_4,A109,T4,-0.3853781878440137
