UID,HCE_rate_mean,z_baseline_accuracy,z_baseline_confidence,z_Age,z_confidence_bias
A073,0.034722222222222154,0.24343372321915996,-0.8585446842844802,0.44104184789988915,-1.186240977434186
A074,0.04166666666666662,0.5431962503336745,0.6587970827102961,0.5782243822388905,0.12444022809965634
A075,0.020833333333333252,-0.20255171364041594,-0.32147728443946677,0.5782243822388905,-0.12801919201499296
A076,0.010416666666666624,-1.1975817010181329,-1.1932851297309044,0.6468156494083911,0.004625107795826398
A077,0.031249999999999927,0.6774849705246067,0.4189758658918554,0.5096331150693898,-0.27827595429012814
A078,0.017361111111111025,-0.6873719806560824,-1.333786641863272,0.3724505807303885,-0.6958426356785687
A079,0.07291666666666663,-0.18589064967570817,-0.32496777175361363,0.3724505807303885,-0.14971162784047864
A080,0.04861111111111105,-0.3448498432043028,0.6736772982667165,0.7839981837473924,1.0964086261715957
A081,0.0833333333333333,-0.10376423049451855,0.30211918036762525,0.7154069165778918,0.4369192088946081
A082,0.0,-0.21061278278096568,0.3793446498339297,0.9211807180863937,0.6350684158095397
A083,0.03819444444444438,1.4221896364895468,0.9149046595858301,0.9211807180863937,-0.5460744264519135
A084,0.0069444444444444,-0.32294912118996366,-2.5537541713343757,0.9897719852558944,-2.4013831352132766
A085,0.0833333333333333,-0.4096459371073098,-0.15829128367887293,0.9211807180863937,0.27057443933137587
A086,0.034722222222222175,0.27788140067958716,0.7171776939250574,0.9211807180863937,0.4728870009923491
A087,0.01736111111111105,0.5722890653978829,0.6759239354160275,0.9897719852558944,0.1115592906988809
A088,0.020833333333333273,1.5316521548542128,0.3028223481282219,0.7839981837473924,-1.3227920448396682
A089,0.024305555555555476,1.0702063605201249,0.6680328777126696,0.7839981837473924,-0.43292560189483625
A090,0.0034722222222222,-0.5210420132598401,-3.0665218743447364,1.1269545195948958,-2.7401194958916726
A091,0.03819444444444438,-0.018929629442748605,0.22859389629801202,1.264137053933897,0.26645036519166615
A092,0.05208333333333327,-1.0735889280216675,0.049401672969386815,1.058363252425395,1.2088598643114805
A093,0.0694444444444444,-0.11241835966973329,0.7519393724244651,1.3327283211033976,0.930450682146266
A094,0.0069444444444444,-1.554618189930013,-0.8114805296135595,1.058363252425395,0.7999615405704142
A095,0.03472222222222215,0.9992157825927539,0.713558458780069,1.1269545195948958,-0.3075000569007736
A096,0.2152777777777778,-1.2716475505159852,0.30152836097244023,1.058363252425395,1.693468509194706
A097,0.0034722222222222,-0.4741583279623058,-0.9536870531797865,1.3327283211033976,-0.5161957982446898
A098,0.06597222222222218,-0.06788317894196395,0.15668091975284718,1.058363252425395,0.2417353499110913
A099,0.06597222222222218,0.5236846137876177,0.27845433197900193,1.264137053933897,-0.2639817687971825
A100,0.16666666666666663,-0.8292237543901816,-0.43030120333343724,1.469910855442399,0.42942608826437284
A101,0.010416666666666624,-1.9254785193543864,-1.5742646155306534,1.675684656950901,0.3780694083690245
A102,0.0208333333333333,-0.8001243964364894,-0.18523890225264505,1.6070933897814002,0.6619025968785476
A103,0.0,1.2492423604846425,-1.5976544887008255,1.6070933897814002,-3.064584276821157
A104,0.06249999999999995,1.2336777980735185,0.7316804340666737,1.469910855442399,-0.5403824972377215
A105,0.07986111111111108,-0.055614966025662495,1.4816965055792048,1.6070933897814002,1.6548617017174359
A106,0.024305555555555525,0.609064099955645,0.5131856537396787,1.469910855442399,-0.1032097734217386
A107,0.0034722222222222,-1.562938148176152,-0.4536731535905714,1.7442759241204016,1.1940847320153858
A108,0.0243055555555555,-1.3076666338799994,-0.7517395692992155,1.675684656950901,0.5984359221378376
A109,0.06597222222222218,-1.0375415231634435,-1.3010434842792062,1.6070933897814002,-0.283650588597177
