composite_ID,theta_IFR,theta_ICR,theta_IRE
A073_T1,-0.93608534,-1.2127546,-0.71157664
A073_T2,-1.2073286,-1.1342438,-0.93476504
A073_T3,-1.1819048,-1.1598221,-0.8072796
A073_T4,-1.1449796,-1.2412463,-1.2215426
A074_T1,-0.30023846,-0.27985317,-0.24298306
A074_T2,-0.66168493,-0.5369671,-0.659212
A074_T3,-0.85788983,-0.82880837,-0.6972587
A074_T4,-0.48849517,-0.7258336,-0.9020982
A075_T1,-0.8621201,-0.6215346,-0.4570548
A075_T2,-0.48938635,-0.52500325,-0.594481
A075_T3,-1.2971241,-1.6335386,-1.7646165
A075_T4,-0.83767337,-1.070176,-1.1398163
A076_T1,-1.0681747,-0.878239,-0.6417184
A076_T2,-1.1314108,-0.9289252,-1.0007621
A076_T3,-1.0438931,-1.212825,-1.07402
A076_T4,-1.6497973,-1.6976072,-1.6444814
A077_T1,-0.2801971,-0.17192608,-0.18535353
A077_T2,-0.58984154,-0.7358545,-0.7295033
A077_T3,-0.42202696,-0.8396755,-1.0372593
A077_T4,-0.4617693,-0.50036293,-0.56972545
A078_T1,-1.1826118,-1.0172455,-1.0069933
A078_T2,-1.1790162,-1.0031233,-1.032021
A078_T3,-1.2275568,-1.1102756,-1.048072
A078_T4,-1.5880812,-1.5589031,-1.6712191
A079_T1,-0.44558117,-0.5962427,-0.5156107
A079_T2,-0.31784758,-0.5019068,-0.61948407
A079_T3,-1.0785315,-0.84444696,-0.81023425
A079_T4,-1.1484426,-0.98092514,-0.9428058
A080_T1,-0.22737327,-0.28845364,-0.15485884
A080_T2,-0.3066871,-0.3627718,-0.37557244
A080_T3,-0.8350257,-0.6435229,-0.7347648
A080_T4,-1.130091,-0.9170119,-1.0667032
A081_T1,-0.6634871,-0.3652827,-0.028448597
A081_T2,-0.531527,-0.5905493,-0.63919306
A081_T3,-0.6641572,-0.4433939,-0.63470936
A081_T4,-0.55828863,-0.68421537,-1.0484958
A082_T1,-0.42962542,-0.43104178,-0.42357063
A082_T2,-0.4227322,-0.50485295,-0.50505817
A082_T3,-0.8053305,-0.63514715,-0.62749314
A082_T4,-0.9295215,-1.0960375,-1.0148668
A083_T1,-0.010368787,-0.15452558,0.015487298
A083_T2,-0.4146239,-0.63421315,-0.6182436
A083_T3,-0.4311557,-0.5599472,-0.58278966
A083_T4,-0.50341046,-0.76968104,-0.7125586
A084_T1,-1.5802382,-1.6195313,-1.4840311
A084_T2,-1.5793269,-1.6442918,-1.5213867
A084_T3,-0.85400957,-1.3843981,-1.3948076
A084_T4,-1.6919054,-1.7609042,-1.6853334
A085_T1,-0.6217217,-0.22702259,0.04623519
A085_T2,-0.10952964,-0.08069057,-0.094666496
A085_T3,-0.027093254,-0.17174321,-0.40016174
A085_T4,-0.7629375,-0.62342566,-0.8877467
A086_T1,-0.29440668,-0.18701345,-0.071266666
A086_T2,-0.26803753,-0.23864323,-0.25084484
A086_T3,-1.074036,-0.79259104,-0.83754385
A086_T4,-1.0714433,-0.84638065,-0.88603115
A087_T1,0.20040706,0.01254373,-0.21488024
A087_T2,-0.2187626,-0.30342847,-0.39779043
A087_T3,-0.27356026,-0.5491317,-0.5131408
A087_T4,-0.2098684,-0.40441543,-0.52176195
A088_T1,-0.27280998,-0.45557886,-0.076318756
A088_T2,-0.29720744,-0.20781952,-0.32940876
A088_T3,-0.47176704,-0.33568484,-0.72018015
A088_T4,-0.23278955,-0.48183745,-0.23615374
A089_T1,-0.166347,-0.18400508,-0.2149023
A089_T2,-0.09032019,-0.32073444,-0.49830163
A089_T3,-0.5196378,-0.760727,-0.74050534
A089_T4,-0.45853224,-0.6541446,-0.74091315
A090_T1,-1.3661231,-1.5791212,-1.5381017
A090_T2,-1.338203,-1.1333703,-1.4629976
A090_T3,-2.039391,-2.0843542,-2.136963
A090_T4,-1.9583641,-2.0243218,-2.085873
A091_T1,-0.45569363,-0.36456138,-0.48940492
A091_T2,-0.694768,-0.69530624,-0.6246114
A091_T3,-1.1730987,-0.9991258,-0.9428114
A091_T4,-0.5249358,-0.6031514,-0.62947834
A092_T1,-0.5884607,-0.44956166,-0.16038282
A092_T2,-0.6122481,-0.5508895,-0.5044843
A092_T3,-0.8480472,-0.922211,-0.6738316
A092_T4,-1.3670934,-1.4039152,-1.0919963
A093_T1,-0.10525986,-0.0871653,-0.26241457
A093_T2,-1.6865261,-1.6908171,-1.8150667
A093_T3,-2.0066779,-2.0542433,-2.1034682
A093_T4,-2.0238347,-2.09869,-2.201495
A094_T1,-1.1429857,-0.8741899,-1.0338615
A094_T2,-1.1165459,-0.9138289,-0.9161465
A094_T3,-1.2718877,-1.1372837,-1.2208694
A094_T4,-1.0378343,-1.1102136,-1.266602
A095_T1,-0.29385057,-0.13283306,-0.0411153
A095_T2,-1.0541508,-0.7860763,-0.7406317
A095_T3,-0.7535444,-0.5716515,-0.5104835
A095_T4,-1.19037,-1.0886205,-0.9702941
A096_T1,-0.35216877,-0.26924628,-0.24720348
A096_T2,-0.58229774,-1.14142,-0.69658154
A096_T3,-0.5823834,-0.8080941,-0.8682752
A096_T4,-0.34143847,-0.6105513,-0.68750465
A097_T1,-0.76044935,-1.0298489,-0.86991966
A097_T2,-2.0429764,-2.071986,-2.1171641
A097_T3,-1.686598,-1.6835214,-1.8484068
A097_T4,-1.974348,-2.0361629,-2.1162622
A098_T1,-0.32065699,-0.27732927,-0.27886045
A098_T2,-0.64769703,-0.48855668,-0.46960074
A098_T3,-0.101334296,-0.26683623,-0.2195008
A098_T4,-0.664252,-0.47097987,-0.5133872
