composite_ID,UID,test,domain,TSVR_hours,CTT_score
A027_3,A027,3,where,74.58,0.4444444444444444
A027_3,A027,3,when,74.58,0.0
A027_4,A027,4,what,145.92,0.5263157894736842
A027_4,A027,4,where,145.92,0.4
A027_4,A027,4,when,145.92,0.0
A028_1,A028,1,what,1.0,0.9473684210526316
A028_1,A028,1,where,1.0,0.7111111111111111
A028_1,A028,1,when,1.0,0.4
A028_2,A028,2,what,22.82,0.8421052631578947
A028_2,A028,2,where,22.82,0.4666666666666667
A028_2,A028,2,when,22.82,0.2
A028_3,A028,3,what,72.26,0.5263157894736842
A028_3,A028,3,where,72.26,0.5777777777777777
A028_3,A028,3,when,72.26,0.2
A028_4,A028,4,what,138.91,0.7894736842105263
A028_4,A028,4,where,138.91,0.3111111111111111
A028_4,A028,4,when,138.91,0.0
A029_1,A029,1,what,1.0,0.8421052631578947
A029_1,A029,1,where,1.0,0.8666666666666667
A029_1,A029,1,when,1.0,0.0
A029_2,A029,2,what,28.43,0.6842105263157895
A029_2,A029,2,where,28.43,0.6444444444444445
A029_2,A029,2,when,28.43,0.0
A029_3,A029,3,what,93.26,0.8947368421052632
A029_3,A029,3,where,93.26,0.7555555555555555
A029_3,A029,3,when,93.26,0.4
A029_4,A029,4,what,143.14,0.9473684210526316
A029_4,A029,4,where,143.14,0.6444444444444445
A029_4,A029,4,when,143.14,0.2
A030_1,A030,1,what,1.0,0.631578947368421
A030_1,A030,1,where,1.0,0.5777777777777777
A030_1,A030,1,when,1.0,0.0
A030_2,A030,2,what,32.95,0.8947368421052632
A030_2,A030,2,where,32.95,0.6888888888888889
A030_2,A030,2,when,32.95,0.0
A030_3,A030,3,what,71.93,0.5789473684210527
A030_3,A030,3,where,71.93,0.5555555555555556
A030_3,A030,3,when,71.93,0.0
A030_4,A030,4,what,150.46,0.631578947368421
A030_4,A030,4,where,150.46,0.6888888888888889
A030_4,A030,4,when,150.46,0.2
A031_1,A031,1,what,1.0,1.0
A031_1,A031,1,where,1.0,0.8444444444444444
A031_1,A031,1,when,1.0,0.4
A031_2,A031,2,what,32.41,0.6842105263157895
A031_2,A031,2,where,32.41,0.5777777777777777
A031_2,A031,2,when,32.41,0.0
A031_3,A031,3,what,71.56,0.7368421052631579
A031_3,A031,3,where,71.56,0.5555555555555556
A031_3,A031,3,when,71.56,0.4
A031_4,A031,4,what,143.85,0.6842105263157895
A031_4,A031,4,where,143.85,0.3777777777777777
A031_4,A031,4,when,143.85,0.2
A032_1,A032,1,what,1.0,0.7894736842105263
A032_1,A032,1,where,1.0,0.6444444444444445
A032_1,A032,1,when,1.0,0.8
A032_2,A032,2,what,57.18,0.7894736842105263
A032_2,A032,2,where,57.18,0.4888888888888889
A032_2,A032,2,when,57.18,0.0
A032_3,A032,3,what,80.16,0.8421052631578947
A032_3,A032,3,where,80.16,0.6
A032_3,A032,3,when,80.16,0.4
A032_4,A032,4,what,144.51,0.9473684210526316
A032_4,A032,4,where,144.51,0.7555555555555555
A032_4,A032,4,when,144.51,0.2
A033_1,A033,1,what,1.0,0.8421052631578947
A033_1,A033,1,where,1.0,0.5555555555555556
A033_1,A033,1,when,1.0,0.0
A033_2,A033,2,what,29.16,0.7368421052631579
A033_2,A033,2,where,29.16,0.6222222222222222
A033_2,A033,2,when,29.16,0.4
A033_3,A033,3,what,72.6,0.9473684210526316
A033_3,A033,3,where,72.6,0.6
A033_3,A033,3,when,72.6,0.4
A033_4,A033,4,what,168.33,0.7894736842105263
A033_4,A033,4,where,168.33,0.4
A033_4,A033,4,when,168.33,0.6
A034_1,A034,1,what,1.0,0.8421052631578947
A034_1,A034,1,where,1.0,0.8444444444444444
A034_1,A034,1,when,1.0,0.6
A034_2,A034,2,what,26.08,0.7368421052631579
A034_2,A034,2,where,26.08,0.6666666666666666
A034_2,A034,2,when,26.08,0.2
A034_3,A034,3,what,74.28,0.7894736842105263
A034_3,A034,3,where,74.28,0.4888888888888889
A034_3,A034,3,when,74.28,0.8
A034_4,A034,4,what,145.38,0.6842105263157895
A034_4,A034,4,where,145.38,0.4888888888888889
A034_4,A034,4,when,145.38,0.0
A035_1,A035,1,what,1.0,0.7368421052631579
A035_1,A035,1,where,1.0,0.5111111111111111
A035_1,A035,1,when,1.0,0.4
A035_2,A035,2,what,44.76,0.8421052631578947
A035_2,A035,2,where,44.76,0.6444444444444445
A035_2,A035,2,when,44.76,0.2
A035_3,A035,3,what,79.98,0.7368421052631579
A035_3,A035,3,where,79.98,0.3777777777777777
A035_3,A035,3,when,79.98,0.0
A035_4,A035,4,what,152.47,0.5789473684210527
A035_4,A035,4,where,152.47,0.3333333333333333
A035_4,A035,4,when,152.47,0.0
A036_1,A036,1,what,1.0,0.8947368421052632
A036_1,A036,1,where,1.0,0.7555555555555555
A036_1,A036,1,when,1.0,0.0
A036_2,A036,2,what,21.63,0.6842105263157895
A036_2,A036,2,where,21.63,0.4222222222222222
A036_2,A036,2,when,21.63,0.6
A036_3,A036,3,what,71.47,0.6842105263157895
A036_3,A036,3,where,71.47,0.4222222222222222
A036_3,A036,3,when,71.47,0.2
A036_4,A036,4,what,143.85,0.7368421052631579
A036_4,A036,4,where,143.85,0.2888888888888888
A036_4,A036,4,when,143.85,0.2
A037_1,A037,1,what,1.0,0.8947368421052632
A037_1,A037,1,where,1.0,0.7111111111111111
A037_1,A037,1,when,1.0,1.0
A037_2,A037,2,what,23.7,0.9473684210526316
A037_2,A037,2,where,23.7,0.6888888888888889
A037_2,A037,2,when,23.7,0.2
A037_3,A037,3,what,72.08,0.8421052631578947
A037_3,A037,3,where,72.08,0.5777777777777777
A037_3,A037,3,when,72.08,0.2
A037_4,A037,4,what,143.66,0.7368421052631579
A037_4,A037,4,where,143.66,0.4888888888888889
A037_4,A037,4,when,143.66,0.0
A038_1,A038,1,what,1.0,0.9473684210526316
A038_1,A038,1,where,1.0,0.6666666666666666
A038_1,A038,1,when,1.0,0.6
A038_2,A038,2,what,71.85,0.7894736842105263
A038_2,A038,2,where,71.85,0.5333333333333333
A038_2,A038,2,when,71.85,0.2
A038_3,A038,3,what,72.86,0.7894736842105263
A038_3,A038,3,where,72.86,0.7111111111111111
A038_3,A038,3,when,72.86,0.4
A038_4,A038,4,what,152.89,0.7368421052631579
A038_4,A038,4,where,152.89,0.5333333333333333
A038_4,A038,4,when,152.89,0.8
A039_1,A039,1,what,1.0,1.0
A039_1,A039,1,where,1.0,0.8222222222222222
A039_1,A039,1,when,1.0,1.0
A039_2,A039,2,what,28.65,0.8947368421052632
A039_2,A039,2,where,28.65,0.7777777777777778
A039_2,A039,2,when,28.65,0.2
A039_3,A039,3,what,98.84,0.6842105263157895
A039_3,A039,3,where,98.84,0.6
A039_3,A039,3,when,98.84,0.6
A039_4,A039,4,what,246.24,0.7368421052631579
A039_4,A039,4,where,246.24,0.6888888888888889
A039_4,A039,4,when,246.24,0.4
A040_1,A040,1,what,1.0,0.631578947368421
A040_1,A040,1,where,1.0,0.4666666666666667
A040_1,A040,1,when,1.0,0.0
A040_2,A040,2,what,26.26,0.7368421052631579
A040_2,A040,2,where,26.26,0.5555555555555556
A040_2,A040,2,when,26.26,0.2
A040_3,A040,3,what,71.28,0.3684210526315789
A040_3,A040,3,where,71.28,0.2
A040_3,A040,3,when,71.28,0.8
A040_4,A040,4,what,143.53,0.3157894736842105
A040_4,A040,4,where,143.53,0.3111111111111111
A040_4,A040,4,when,143.53,0.0
A041_1,A041,1,what,1.0,0.8947368421052632
A041_1,A041,1,where,1.0,0.7111111111111111
A041_1,A041,1,when,1.0,0.4
A041_2,A041,2,what,31.78,0.631578947368421
A041_2,A041,2,where,31.78,0.2888888888888888
A041_2,A041,2,when,31.78,0.2
A041_3,A041,3,what,75.74,0.7894736842105263
A041_3,A041,3,where,75.74,0.6444444444444445
A041_3,A041,3,when,75.74,0.0
A041_4,A041,4,what,141.84,0.7368421052631579
A041_4,A041,4,where,141.84,0.5111111111111111
A041_4,A041,4,when,141.84,0.0
A042_1,A042,1,what,1.0,0.5263157894736842
A042_1,A042,1,where,1.0,0.3555555555555555
A042_1,A042,1,when,1.0,0.2
A042_2,A042,2,what,28.93,0.7894736842105263
A042_2,A042,2,where,28.93,0.2666666666666666
A042_2,A042,2,when,28.93,0.0
A042_3,A042,3,what,72.17,0.7894736842105263
A042_3,A042,3,where,72.17,0.4666666666666667
A042_3,A042,3,when,72.17,0.0
A042_4,A042,4,what,146.02,0.5789473684210527
A042_4,A042,4,where,146.02,0.3111111111111111
A042_4,A042,4,when,146.02,0.2
A043_1,A043,1,what,1.0,0.8421052631578947
A043_1,A043,1,where,1.0,0.7555555555555555
A043_1,A043,1,when,1.0,0.0
A043_2,A043,2,what,25.62,0.7894736842105263
A043_2,A043,2,where,25.62,0.6666666666666666
A043_2,A043,2,when,25.62,0.2
A043_3,A043,3,what,64.94,0.8421052631578947
A043_3,A043,3,where,64.94,0.6444444444444445
A043_3,A043,3,when,64.94,0.2
A043_4,A043,4,what,149.33,0.7894736842105263
A043_4,A043,4,where,149.33,0.3777777777777777
A043_4,A043,4,when,149.33,0.6
A044_1,A044,1,what,1.0,0.7368421052631579
A044_1,A044,1,where,1.0,0.5111111111111111
A044_1,A044,1,when,1.0,0.0
A044_2,A044,2,what,47.66,0.5789473684210527
A044_2,A044,2,where,47.66,0.4666666666666667
A044_2,A044,2,when,47.66,0.0
A044_3,A044,3,what,91.63,0.5263157894736842
A044_3,A044,3,where,91.63,0.2888888888888888
A044_3,A044,3,when,91.63,0.2
A044_4,A044,4,what,155.27,0.4210526315789473
A044_4,A044,4,where,155.27,0.2
A044_4,A044,4,when,155.27,0.6
A045_1,A045,1,what,1.0,0.631578947368421
A045_1,A045,1,where,1.0,0.4
A045_1,A045,1,when,1.0,0.2
A045_2,A045,2,what,24.66,0.6842105263157895
A045_2,A045,2,where,24.66,0.2444444444444444
A045_2,A045,2,when,24.66,0.0
A045_3,A045,3,what,72.23,0.6842105263157895
A045_3,A045,3,where,72.23,0.2
A045_3,A045,3,when,72.23,0.6
A045_4,A045,4,what,151.52,0.3157894736842105
A045_4,A045,4,where,151.52,0.3555555555555555
A045_4,A045,4,when,151.52,0.0
A046_1,A046,1,what,1.0,0.631578947368421
A046_1,A046,1,where,1.0,0.3555555555555555
A046_1,A046,1,when,1.0,0.2
A046_2,A046,2,what,24.32,0.5789473684210527
A046_2,A046,2,where,24.32,0.2444444444444444
A046_2,A046,2,when,24.32,0.4
A046_3,A046,3,what,73.05,0.3684210526315789
A046_3,A046,3,where,73.05,0.2888888888888888
A046_3,A046,3,when,73.05,0.0
A046_4,A046,4,what,147.94,0.4210526315789473
A046_4,A046,4,where,147.94,0.3333333333333333
A046_4,A046,4,when,147.94,0.2
A047_1,A047,1,what,1.0,0.7368421052631579
A047_1,A047,1,where,1.0,0.3333333333333333
A047_1,A047,1,when,1.0,0.2
A047_2,A047,2,what,23.46,0.631578947368421
A047_2,A047,2,where,23.46,0.3777777777777777
A047_2,A047,2,when,23.46,0.2
A047_3,A047,3,what,76.85,0.4210526315789473
A047_3,A047,3,where,76.85,0.3555555555555555
A047_3,A047,3,when,76.85,0.0
A047_4,A047,4,what,144.22,0.3684210526315789
A047_4,A047,4,where,144.22,0.2888888888888888
A047_4,A047,4,when,144.22,0.8
A048_1,A048,1,what,1.0,0.9473684210526316
A048_1,A048,1,where,1.0,0.6666666666666666
A048_1,A048,1,when,1.0,0.4
A048_2,A048,2,what,23.91,0.631578947368421
A048_2,A048,2,where,23.91,0.5555555555555556
A048_2,A048,2,when,23.91,0.2
A048_3,A048,3,what,81.15,0.7894736842105263
A048_3,A048,3,where,81.15,0.5555555555555556
A048_3,A048,3,when,81.15,0.2
A048_4,A048,4,what,146.3,0.8947368421052632
A048_4,A048,4,where,146.3,0.4666666666666667
A048_4,A048,4,when,146.3,0.4
A049_1,A049,1,what,1.0,0.9473684210526316
A049_1,A049,1,where,1.0,0.8666666666666667
A049_1,A049,1,when,1.0,1.0
A049_2,A049,2,what,27.12,0.8421052631578947
A049_2,A049,2,where,27.12,0.3777777777777777
A049_2,A049,2,when,27.12,0.0
A049_3,A049,3,what,111.38,0.7894736842105263
A049_3,A049,3,where,111.38,0.5333333333333333
A049_3,A049,3,when,111.38,0.4
A049_4,A049,4,what,168.86,0.631578947368421
A049_4,A049,4,where,168.86,0.5555555555555556
A049_4,A049,4,when,168.86,0.4
A050_1,A050,1,what,1.0,0.631578947368421
A050_1,A050,1,where,1.0,0.4444444444444444
A050_1,A050,1,when,1.0,0.0
A050_2,A050,2,what,24.73,0.5789473684210527
A050_2,A050,2,where,24.73,0.4222222222222222
A050_2,A050,2,when,24.73,0.8
A050_3,A050,3,what,93.39,0.5263157894736842
A050_3,A050,3,where,93.39,0.3777777777777777
A050_3,A050,3,when,93.39,0.0
A050_4,A050,4,what,148.69,0.5263157894736842
A050_4,A050,4,where,148.69,0.3333333333333333
A050_4,A050,4,when,148.69,0.0
A051_1,A051,1,what,1.0,0.8947368421052632
A051_1,A051,1,where,1.0,0.8
A051_1,A051,1,when,1.0,0.2
A051_2,A051,2,what,17.16,0.5789473684210527
A051_2,A051,2,where,17.16,0.6
A051_2,A051,2,when,17.16,0.2
A051_3,A051,3,what,65.63,0.5789473684210527
A051_3,A051,3,where,65.63,0.4666666666666667
A051_3,A051,3,when,65.63,0.2
A051_4,A051,4,what,146.99,0.5263157894736842
A051_4,A051,4,where,146.99,0.4666666666666667
A051_4,A051,4,when,146.99,0.0
A052_1,A052,1,what,1.0,0.9473684210526316
A052_1,A052,1,where,1.0,0.5555555555555556
A052_1,A052,1,when,1.0,0.6
A052_2,A052,2,what,31.76,0.8947368421052632
A052_2,A052,2,where,31.76,0.5777777777777777
A052_2,A052,2,when,31.76,0.4
A052_3,A052,3,what,80.98,0.8421052631578947
A052_3,A052,3,where,80.98,0.4888888888888889
A052_3,A052,3,when,80.98,0.0
A052_4,A052,4,what,153.27,0.7368421052631579
A052_4,A052,4,where,153.27,0.3555555555555555
A052_4,A052,4,when,153.27,0.0
A053_1,A053,1,what,1.0,0.9473684210526316
A053_1,A053,1,where,1.0,0.6888888888888889
A053_1,A053,1,when,1.0,0.0
A053_2,A053,2,what,32.71,0.7894736842105263
A053_2,A053,2,where,32.71,0.7111111111111111
A053_2,A053,2,when,32.71,0.2
A053_3,A053,3,what,78.28,0.631578947368421
A053_3,A053,3,where,78.28,0.4666666666666667
A053_3,A053,3,when,78.28,0.2
A053_4,A053,4,what,148.9,0.8947368421052632
A053_4,A053,4,where,148.9,0.4444444444444444
A053_4,A053,4,when,148.9,0.8
A054_1,A054,1,what,1.0,0.7894736842105263
A054_1,A054,1,where,1.0,0.6222222222222222
A054_1,A054,1,when,1.0,0.4
A054_2,A054,2,what,16.9,0.7894736842105263
A054_2,A054,2,where,16.9,0.7333333333333333
A054_2,A054,2,when,16.9,0.0
A054_3,A054,3,what,72.83,0.8947368421052632
A054_3,A054,3,where,72.83,0.7333333333333333
A054_3,A054,3,when,72.83,0.0
A054_4,A054,4,what,136.83,0.8947368421052632
A054_4,A054,4,where,136.83,0.7333333333333333
A054_4,A054,4,when,136.83,0.2
A055_1,A055,1,what,1.0,0.7894736842105263
A055_1,A055,1,where,1.0,0.5555555555555556
A055_1,A055,1,when,1.0,0.4
A055_2,A055,2,what,23.24,0.7368421052631579
A055_2,A055,2,where,23.24,0.7555555555555555
A055_2,A055,2,when,23.24,0.2
A055_3,A055,3,what,74.48,0.7894736842105263
A055_3,A055,3,where,74.48,0.4888888888888889
A055_3,A055,3,when,74.48,0.0
A055_4,A055,4,what,149.21,0.8421052631578947
A055_4,A055,4,where,149.21,0.3333333333333333
A055_4,A055,4,when,149.21,0.0
A056_1,A056,1,what,1.0,0.7368421052631579
A056_1,A056,1,where,1.0,0.6
A056_1,A056,1,when,1.0,0.0
A056_2,A056,2,what,33.61,0.8421052631578947
A056_2,A056,2,where,33.61,0.5555555555555556
A056_2,A056,2,when,33.61,0.2
A056_3,A056,3,what,71.46,0.5789473684210527
A056_3,A056,3,where,71.46,0.4444444444444444
A056_3,A056,3,when,71.46,0.6
A056_4,A056,4,what,147.84,0.5789473684210527
A056_4,A056,4,where,147.84,0.3333333333333333
A056_4,A056,4,when,147.84,0.0
A057_1,A057,1,what,1.0,0.8421052631578947
A057_1,A057,1,where,1.0,0.6
A057_1,A057,1,when,1.0,0.0
A057_2,A057,2,what,24.78,0.7894736842105263
A057_2,A057,2,where,24.78,0.3111111111111111
A057_2,A057,2,when,24.78,0.2
A057_3,A057,3,what,73.83,0.7894736842105263
A057_3,A057,3,where,73.83,0.2888888888888888
A057_3,A057,3,when,73.83,0.0
A057_4,A057,4,what,145.06,0.5789473684210527
A057_4,A057,4,where,145.06,0.3111111111111111
A057_4,A057,4,when,145.06,0.4
A058_1,A058,1,what,1.0,0.7894736842105263
A058_1,A058,1,where,1.0,0.6888888888888889
A058_1,A058,1,when,1.0,0.4
A058_2,A058,2,what,22.96,0.631578947368421
A058_2,A058,2,where,22.96,0.3555555555555555
A058_2,A058,2,when,22.96,0.2
A058_3,A058,3,what,66.28,0.631578947368421
A058_3,A058,3,where,66.28,0.5777777777777777
A058_3,A058,3,when,66.28,0.6
A058_4,A058,4,what,143.48,0.5789473684210527
A058_4,A058,4,where,143.48,0.2888888888888888
A058_4,A058,4,when,143.48,0.0
A059_1,A059,1,what,1.0,0.8947368421052632
A059_1,A059,1,where,1.0,0.6888888888888889
A059_1,A059,1,when,1.0,0.4
A059_2,A059,2,what,30.4,0.8947368421052632
A059_2,A059,2,where,30.4,0.7333333333333333
A059_2,A059,2,when,30.4,0.6
A059_3,A059,3,what,79.78,0.9473684210526316
A059_3,A059,3,where,79.78,0.7333333333333333
A059_3,A059,3,when,79.78,0.0
A059_4,A059,4,what,151.93,0.8421052631578947
A059_4,A059,4,where,151.93,0.5333333333333333
A059_4,A059,4,when,151.93,0.4
A060_1,A060,1,what,1.0,0.8421052631578947
A060_1,A060,1,where,1.0,0.4666666666666667
A060_1,A060,1,when,1.0,0.0
