composite_ID,UID,test,domain,TSVR_hours,IRT_score
A051_3,A051,3,What,65.63,-0.53872013
A051_4,A051,4,What,146.99,-0.75623167
A052_1,A052,1,What,1.0,0.9840419
A052_2,A052,2,What,31.76,0.4169858
A052_3,A052,3,What,80.98,0.17672805
A052_4,A052,4,What,153.27,-0.5472725
A053_1,A053,1,What,1.0,1.1032048
A053_2,A053,2,What,32.71,0.5740109
A053_3,A053,3,What,78.28,-0.52216256
A053_4,A053,4,What,148.9,0.31794128
A054_1,A054,1,What,1.0,0.5364078
A054_2,A054,2,What,16.9,0.78079957
A054_3,A054,3,What,72.83,1.0624813
A054_4,A054,4,What,136.83,1.199456
A055_1,A055,1,What,1.0,0.12596902
A055_2,A055,2,What,23.24,0.7207104
A055_3,A055,3,What,74.48,0.026863433
A055_4,A055,4,What,149.21,-0.27365744
A056_1,A056,1,What,1.0,0.25282967
A056_2,A056,2,What,33.61,0.79354787
A056_3,A056,3,What,71.46,-0.6342211
A056_4,A056,4,What,147.84,-0.7479079
A057_1,A057,1,What,1.0,0.37111652
A057_2,A057,2,What,24.78,-0.33406383
A057_3,A057,3,What,73.83,-0.36420104
A057_4,A057,4,What,145.06,-0.8997757
A058_1,A058,1,What,1.0,0.86404234
A058_2,A058,2,What,22.96,-0.67254853
A058_3,A058,3,What,66.28,-0.33693078
A058_4,A058,4,What,143.48,-0.94237626
A059_1,A059,1,What,1.0,1.0408934
A059_2,A059,2,What,30.4,1.4646933
A059_3,A059,3,What,79.78,1.2263882
A059_4,A059,4,What,151.93,0.31380215
A060_1,A060,1,What,1.0,0.076296605
A060_2,A060,2,What,24.87,1.238489
A060_3,A060,3,What,94.68,-0.14499544
A060_4,A060,4,What,143.91,0.22517887
A061_1,A061,1,What,1.0,2.5348673
A061_2,A061,2,What,35.16,1.0422542
A061_3,A061,3,What,82.55,0.12469013
A061_4,A061,4,What,146.56,-0.31471238
A062_1,A062,1,What,1.0,1.241772
A062_2,A062,2,What,44.69,0.4567172
A062_3,A062,3,What,92.72,-0.8347038
