composite_ID,UID,TEST,TSVR_hours,log_TSVR,location,theta
A043_T3,A043,T3,64.94,4.188745237643585,Source,0.09755397
A043_T4,A043,T4,149.33,5.012832877639743,Source,-0.34350193
A044_T1,A044,T1,1.0,0.6931471805599453,Source,-1.3338357
A044_T2,A044,T2,47.66,3.8848573373553763,Source,-0.66508615
A044_T3,A044,T3,91.63,4.5286130632659365,Source,-1.8109468
A044_T4,A044,T4,155.27,5.0515852804252095,Source,-1.6222793
A045_T1,A045,T1,1.0,0.6931471805599453,Source,-0.38404018
A045_T2,A045,T2,24.66,3.2449333591874905,Source,-0.6423161
A045_T3,A045,T3,72.23,4.2936051730729785,Source,-0.35081738
A045_T4,A045,T4,151.52,5.027295734989363,Source,-0.5377878
A046_T1,A046,T1,1.0,0.6931471805599453,Source,-0.62573093
A046_T2,A046,T2,24.32,3.2315945972759756,Source,-0.99523413
A046_T3,A046,T3,73.05,4.304740540713808,Source,-1.7675588
A046_T4,A046,T4,147.94,5.003543540282499,Source,-0.8553399
A047_T1,A047,T1,1.0,0.6931471805599453,Source,-1.007689
A047_T2,A047,T2,23.46,3.1970391302590264,Source,-0.56241226
A047_T3,A047,T3,76.85,4.354783898280007,Source,-1.3289393
A047_T4,A047,T4,144.22,4.978249833952101,Source,-1.6812772
A048_T1,A048,T1,1.0,0.6931471805599453,Source,-0.008808553
A048_T2,A048,T2,23.91,3.215269329274089,Source,-0.018692851
A048_T3,A048,T3,81.15,4.408546844483277,Source,-0.49071383
A048_T4,A048,T4,146.3,4.9924713234685845,Source,-0.41868603
A049_T1,A049,T1,1.0,0.6931471805599453,Source,0.5404597
A049_T2,A049,T2,27.12,3.336481066942464,Source,-0.4187739
A049_T3,A049,T3,111.38,4.721885985684052,Source,0.034439206
A049_T4,A049,T4,168.86,5.134974568351863,Source,-0.38463807
A050_T1,A050,T1,1.0,0.6931471805599453,Source,-0.0103881955
A050_T2,A050,T2,24.73,3.2476576262936527,Source,0.058078706
A050_T3,A050,T3,93.39,4.547435135336853,Source,-1.3177676
A050_T4,A050,T4,148.69,5.008566488927144,Source,-1.1985415
A051_T1,A051,T1,1.0,0.6931471805599453,Source,0.16485643
A051_T2,A051,T2,17.16,2.8992213731731473,Source,0.16090524
A051_T3,A051,T3,65.63,4.199154926574446,Source,-0.5013564
A051_T4,A051,T4,146.99,4.997144703913756,Source,-0.57058275
A052_T1,A052,T1,1.0,0.6931471805599453,Source,-0.14410955
A052_T2,A052,T2,31.76,3.4892082589848687,Source,-0.61099494
A052_T3,A052,T3,80.98,4.406475315076191,Source,-0.54251736
A052_T4,A052,T4,153.27,5.038704314023848,Source,-0.51613855
A053_T1,A053,T1,1.0,0.6931471805599453,Source,0.014833719
A053_T2,A053,T2,32.71,3.5177945292459696,Source,-1.8323704
A053_T3,A053,T3,78.28,4.372985890021733,Source,-2.127089
A053_T4,A053,T4,148.9,5.009968405108552,Source,-1.9886991
A054_T1,A054,T1,1.0,0.6931471805599453,Source,0.5543531
A054_T2,A054,T2,16.9,2.884800712846709,Source,0.24080098
A054_T3,A054,T3,72.83,4.3017651530710745,Source,0.5224607
A054_T4,A054,T4,136.83,4.926021041706347,Source,0.43864214
A055_T1,A055,T1,1.0,0.6931471805599453,Source,-0.02007413
A055_T2,A055,T2,23.24,3.1880041612011136,Source,-0.81075394
A055_T3,A055,T3,74.48,4.32386772050035,Source,-1.3454837
A055_T4,A055,T4,149.21,5.012034315009963,Source,-1.6561404
A056_T1,A056,T1,1.0,0.6931471805599453,Source,-0.09425974
A056_T2,A056,T2,33.61,3.544142657647253,Source,-1.0433567
A056_T3,A056,T3,71.46,4.283034685466931,Source,-1.2179855
A056_T4,A056,T4,147.84,5.002871903478422,Source,-1.5301504
