TSVR_hours,domain,model,mean_score,CI_lower,CI_upper,n
78.28,When,IRT,-0.07732225,,,1
78.36,When,IRT,-0.35756844,,,1
78.57,When,IRT,-0.20056172,,,1
78.76,When,IRT,-0.2971133,,,1
78.84,When,IRT,1.3599656,,,1
79.34,When,IRT,-0.14985779,,,1
79.66,When,IRT,0.43057328,,,1
79.75,When,IRT,1.384305,,,1
79.78,When,IRT,-0.53208923,,,1
79.96,When,IRT,-0.53656256,,,1
79.98,When,IRT,-0.20610072,,,1
80.13,When,IRT,-0.42852363,,,1
80.16,When,IRT,1.1389438,,,1
80.24,When,IRT,0.325334,,,1
80.64,When,IRT,0.80358815,,,1
80.88,When,IRT,-0.076383084,,,1
80.98,When,IRT,-0.38897106,,,1
81.15,When,IRT,-0.23359239,,,1
81.92,When,IRT,-0.21951933,,,1
82.55,When,IRT,-0.6113752,,,1
82.98,When,IRT,-0.25262892,,,1
82.99,When,IRT,1.7674643,,,1
83.54,When,IRT,-0.629684,,,1
83.64,When,IRT,-0.03338013,,,1
83.68,When,IRT,-0.39007965,,,1
91.47,When,IRT,-0.40437686,,,1
91.63,When,IRT,-0.36890796,,,1
91.97,When,IRT,-0.4267936,,,1
92.72,When,IRT,-0.19706535,,,1
93.26,When,IRT,0.8619237,,,1
93.39,When,IRT,-0.45641744,,,1
94.68,When,IRT,0.8208029,,,1
95.42,When,IRT,-0.8909199,,,1
98.84,When,IRT,0.31556875,,,1
106.41,When,IRT,-0.3783078,,,1
111.38,When,IRT,0.4913686,,,1
136.83,When,IRT,0.3019013,,,1
137.74,When,IRT,0.9356526,,,1
138.91,When,IRT,-0.2413052,,,1
140.08,When,IRT,-0.15717757,,,1
140.12,When,IRT,1.1107814,,,1
140.22,When,IRT,-0.42733204,,,1
140.39,When,IRT,0.6593701,,,1
140.49,When,IRT,1.555736,,,1
140.95,When,IRT,-0.32164475,,,1
141.09,When,IRT,-0.01998371,,,1
141.71,When,IRT,1.2099777,,,1
141.84,When,IRT,-0.49592182,,,1
142.61,When,IRT,1.381451,,,1
143.14,When,IRT,0.69581985,,,1
143.48,When,IRT,-0.750076,,,1
143.51,When,IRT,-0.69252235,,,1
143.53,When,IRT,-0.61783093,,,1
143.66,When,IRT,-0.41285142999999996,-0.7685521711999999,-0.05715068880000007,2
143.85,When,IRT,-0.2608994,-0.35432574,-0.16747306,2
143.91,When,IRT,-0.15908457,,,1
144.07,When,IRT,-0.34045273,,,1
144.19,When,IRT,0.037365414,,,1
144.2,When,IRT,-0.18968214,,,1
144.22,When,IRT,1.527845,,,1
144.51,When,IRT,-0.058941893,,,1
144.85,When,IRT,1.2515274,,,1
144.91,When,IRT,0.34402838,,,1
145.06,When,IRT,0.41449857,,,1
145.07,When,IRT,-0.67562586,,,1
145.29,When,IRT,-0.2446419,,,1
145.31,When,IRT,1.1705245,,,1
145.38,When,IRT,-0.30377996,,,1
145.65,When,IRT,0.012096136,,,1
145.77,When,IRT,-0.5906437,,,1
145.78,When,IRT,-0.48882075,-0.707499616,-0.27014188400000005,2
145.92,When,IRT,-0.49662566,,,1
145.95,When,IRT,-0.233869,,,1
146.02,When,IRT,-0.08419152,,,1
146.16,When,IRT,-0.43719628,,,1
146.2,When,IRT,-0.50990736,,,1
146.29,When,IRT,-0.4772023,,,1
146.3,When,IRT,1.1771114,,,1
146.54,When,IRT,-0.07569087,,,1
146.56,When,IRT,-0.23610613,,,1
146.8,When,IRT,-0.22473392,,,1
146.96,When,IRT,-0.28080377,,,1
146.99,When,IRT,-0.50837123,,,1
147.13,When,IRT,-0.15627071650000002,-0.40175033536000004,0.08920890235999998,2
147.21,When,IRT,0.10373091,,,1
147.65,When,IRT,0.05735785,,,1
147.84,When,IRT,-0.43674785,,,1
147.94,When,IRT,-0.4617398,,,1
148.69,When,IRT,-0.57911,,,1
148.79,When,IRT,-0.4209291,,,1
148.85,When,IRT,0.09927937,,,1
148.87,When,IRT,-0.40244493,,,1
148.9,When,IRT,1.6236721,,,1
149.18,When,IRT,-0.0023819325,,,1
149.2,When,IRT,1.0991817,,,1
149.21,When,IRT,-0.18794729,,,1
149.28,When,IRT,1.5284538,,,1
149.33,When,IRT,0.4526212,,,1
149.72,When,IRT,-0.5340449,,,1
149.75,When,IRT,-0.5239091,,,1
149.87,When,IRT,-0.3660474,,,1
149.93,When,IRT,1.2568436,,,1
149.99,When,IRT,0.55721027,,,1
150.22,When,IRT,-0.31006965,,,1
150.41,When,IRT,1.4994364,,,1
150.46,When,IRT,-0.45172146,,,1
150.8,When,IRT,-0.51415277,,,1
150.87,When,IRT,0.828471,,,1
151.52,When,IRT,-0.7161405,,,1
151.93,When,IRT,0.14022826,,,1
152.12,When,IRT,-0.28900594,,,1
152.47,When,IRT,-0.41800168,,,1
152.89,When,IRT,1.5159682,,,1
153.27,When,IRT,-0.390378,-0.601105636,-0.17965036400000003,2
154.53,When,IRT,-0.46736154,,,1
154.76,When,IRT,1.2304523,,,1
154.89,When,IRT,-0.4359131,,,1
155.27,When,IRT,1.1890637,,,1
155.59,When,IRT,-0.53430504,,,1
156.21,When,IRT,-0.50869435,,,1
162.51,When,IRT,-0.23278973,,,1
164.93,When,IRT,-0.79833627,,,1
166.33,When,IRT,-0.36329967,,,1
166.87,When,IRT,-0.50624204,,,1
168.33,When,IRT,1.4573243,,,1
168.86,When,IRT,0.097040385,,,1
169.55,When,IRT,1.2211847,,,1
170.25,When,IRT,-0.39582023,,,1
170.65,When,IRT,-0.061538562,,,1
187.43,When,IRT,-0.60172194,,,1
194.42,When,IRT,0.7509921,,,1
244.53,When,IRT,-0.57930595,,,1
246.24,When,IRT,0.8005496,,,1
1.0,Where,IRT,0.64832388685,0.4761540861908461,0.8204936875091539,100
16.9,Where,IRT,1.1336492,,,1
17.16,Where,IRT,-0.11357858,,,1
20.61,Where,IRT,0.9758614,,,1
21.63,Where,IRT,-0.28614074,,,1
21.9,Where,IRT,0.59148264,,,1
21.98,Where,IRT,0.7603441,,,1
22.09,Where,IRT,0.28671375,,,1
22.2,Where,IRT,-0.13521343,,,1
22.6,Where,IRT,0.20594147,,,1
22.64,Where,IRT,0.06214906,,,1
22.77,Where,IRT,0.5544501,,,1
22.82,Where,IRT,-0.25359893,,,1
22.83,Where,IRT,-0.70090806,,,1
22.96,Where,IRT,-0.7664266,,,1
22.98,Where,IRT,-0.15374868,,,1
23.24,Where,IRT,1.0685252,,,1
23.33,Where,IRT,1.87031,,,1
23.35,Where,IRT,-0.52560335,,,1
23.46,Where,IRT,-0.5633802,,,1
23.47,Where,IRT,-0.18614894,,,1
23.54,Where,IRT,-0.24209194,,,1
23.69,Where,IRT,1.980908,,,1
23.7,Where,IRT,1.2943444,,,1
23.91,Where,IRT,0.15703231,,,1
24.15,Where,IRT,0.49875164,,,1
24.25,Where,IRT,1.3738539250000001,-0.8097104859999997,3.557418336,2
24.32,Where,IRT,-1.4042654,,,1
24.37,Where,IRT,-0.57904583,,,1
24.49,Where,IRT,-0.88762873,,,1
24.51,Where,IRT,1.4209598,,,1
24.57,Where,IRT,0.20441371,,,1
24.65,Where,IRT,-1.060476,,,1
24.66,Where,IRT,-1.1997546,,,1
24.73,Where,IRT,-0.5890776,,,1
24.77,Where,IRT,-0.6685766,,,1
24.78,Where,IRT,-0.7836676,,,1
24.87,Where,IRT,1.1582936,,,1
24.96,Where,IRT,-1.4912251,,,1
25.15,Where,IRT,1.00285,,,1
25.6,Where,IRT,-0.31520778,,,1
25.62,Where,IRT,0.6062357,,,1
25.63,Where,IRT,-0.37005034,,,1
25.66,Where,IRT,1.7318953,,,1
25.77,Where,IRT,0.446704,,,1
26.08,Where,IRT,0.952347,,,1
26.11,Where,IRT,-0.3025957,,,1
26.17,Where,IRT,0.16946432,,,1
26.22,Where,IRT,-1.5480853,,,1
26.26,Where,IRT,0.06511351,,,1
26.48,Where,IRT,0.11092596,,,1
26.85,Where,IRT,-0.15119976,,,1
27.12,Where,IRT,-0.65311587,,,1
27.25,Where,IRT,-0.18040624,,,1
27.26,Where,IRT,-1.0943544,,,1
27.3,Where,IRT,-0.7997155,,,1
27.61,Where,IRT,-0.9090442,,,1
27.97,Where,IRT,1.3607811,,,1
28.26,Where,IRT,0.3406542,,,1
28.43,Where,IRT,0.4782135,,,1
28.65,Where,IRT,1.4364381,,,1
28.68,Where,IRT,0.6729385,,,1
28.69,Where,IRT,-1.2111,,,1
28.75,Where,IRT,1.3544149,,,1
28.93,Where,IRT,-1.2185562,,,1
29.03,Where,IRT,0.5524726,,,1
29.12,Where,IRT,-0.55277234,,,1
29.13,Where,IRT,1.2355605,,,1
29.16,Where,IRT,0.45576963,,,1
