UID,test,Theta_All,Prob_simple,Prob_TCC
A028,2,-0.19436406,0.4515613794542909,0.5497671194213892
A028,3,-0.0985842,0.47537389154661464,0.5647231403089454
A028,4,-0.7637951,0.3178228766164141,0.4575454722938712
A029,1,1.7016916,0.8457555384842473,0.7883159548025027
A029,2,0.3401657,0.5842307728848976,0.6299404635520179
A029,3,1.2822845,0.7828383979353519,0.7468946429592218
A029,4,0.7683035,0.6831537925115232,0.6872490546711546
A030,1,0.33380765,0.5826855472948954,0.6290393484764989
A030,2,1.2043047,0.7692896803579804,0.7384887231688297
A030,3,-0.12868379,0.4678733737224769,0.5600469177735546
A030,4,0.33196774,0.5822380811265105,0.6287783204556346
A031,1,2.2557483,0.9051452196185339,0.8339418265904366
A031,2,0.018638758,0.5046595546053939,0.5827096062920187
A031,3,-0.04251805,0.4893720885329638,0.5733718311556314
A031,4,-0.57443035,0.36021517446017914,0.48865309016244135
A032,1,0.8067235,0.6914108628801802,0.6920558764452279
A032,2,-0.12246857,0.46942106792111055,0.56101434395087
A032,3,0.6580906,0.658831337886903,0.6731482024991944
A032,4,1.5530372,0.8253519650745399,0.7743501596770662
A033,1,0.43369794,0.6067563557674679,0.6430328361748613
A033,2,0.5100616,0.6248209148353921,0.6534897987152869
A033,3,0.9657034,0.7242622664346452,0.7113459829827217
A033,4,-0.40873924,0.39921446624181184,0.5155842539118647
A034,1,2.0359054,0.8845156720526857,0.8170012270326852
A034,2,0.65717703,0.658625962590744,0.6730293948789728
A034,3,-0.10081277,0.4748181312829322,0.5643776894627176
A034,4,-0.1552254,0.4612713823835451,0.5559050565626018
A035,1,-0.06479133,0.4838078315512402,0.5699458083638184
A035,2,0.7425775,0.6775592271963223,0.683998926430366
A035,3,-0.4961729,0.37844047211236664,0.5014169745268162
A035,4,-0.98961914,0.2709873111951022,0.4203117817062228
A036,1,1.3283472,0.7905671108665323,0.7517540163511087
A036,2,-0.15242939,0.4619662659250515,0.556342174119037
A036,3,-0.39740184,0.4019367354944453,0.5174129732675059
A036,4,-1.0100961,0.2669610442575697,0.4169413671078654
A037,1,1.1801162,0.7649686961897681,0.7358351295905168
A037,2,1.2522094,0.7776820845601962,0.7436794921221069
A037,3,0.29365978,0.5728918706521909,0.6233171508858978
A037,4,-0.16601759,0.45859066861979564,0.554216115556983
A038,1,1.2059275,0.7695775740071633,0.7386659669487019
A038,2,-0.16850944,0.45797204313003304,0.5538257613351701
