UID,baseline_accuracy,baseline_confidence,mean_calibration,mean_gamma
A077,1.257486,-0.20553797,-0.22560088789011756,0.7233950227814212
A078,0.05510661,-0.94877625,-0.30677608174738086,0.6630470364226448
A079,0.49688977,-0.5209985,0.7798661688332871,0.5684512297105119
A080,0.35685366,-0.09753483,-0.022634775740806523,0.7208965952897388
A081,0.56923956,-0.25508967,0.042564842948685934,0.6902217545942357
A082,0.47511065,-0.22234312,-0.33521503706118433,0.8187685353568426
A083,1.9135383,0.004754789,-0.17267251044725274,0.7557912012916498
A084,0.37614724,-1.4660891,-1.5502420328001916,0.6233029912786641
A085,0.29977113,-0.4503213,0.31374258072646466,0.6328605882541591
A086,0.9054527,-0.079089,0.9001017157767488,0.7223284191222752
A087,1.164813,-0.09658217,0.17516330922579976,0.8086148795777226
A088,2.00997,-0.2547915,-0.987815911450411,0.8076611833740169
A089,1.6034564,-0.09992828,-0.535091803460724,0.8047951660071659
A090,0.20163605,-1.6835222,-0.3970395424027562,0.6472351338896731
A091,0.64397514,-0.2862672,0.543812806557307,0.6560964812964831
A092,-0.28513366,-0.36225155,0.5506985547568335,0.6440855528124697
A093,0.56161565,-0.06434872,-1.1022519550448489,0.7881310533842599
A094,-0.70889944,-0.7272985,0.26937746471026125,0.7005570812359225
A095,1.5409168,-0.080623694,0.08685004148912603,0.696706799840189
A096,-0.45961466,-0.2553402,0.9351167208043052,0.4155755279436409
A097,0.24293853,-0.7875995,-1.0476409437448109,0.6199112419471241
A098,0.6008492,-0.31676105,0.11645563507880277,0.7323231785334345
A099,1.1219946,-0.26512447,0.3325278740526645,0.693225067213473
A100,-0.06985861,-0.5656639,-0.8007352022848475,0.5530034761954834
A101,-1.0356112,-1.0507481,0.598366007072066,0.624462156811646
A102,-0.044223346,-0.46174812,-0.046210212555466354,0.74393027630936
A103,1.7611793,-1.0606663,0.41751771479062677,0.7464600379090032
A104,1.7474676,-0.072939284,0.612625914247518,0.7297822478273606
A105,0.61165696,0.24509619,0.3037829043424118,0.7104160571982462
A106,1.1972102,-0.16558942,-0.16289768531482696,0.8081471922788894
A107,-0.71622896,-0.5755745,0.16253311057696296,0.6431560976301838
A108,-0.4913459,-0.70196605,-0.039992666341434335,0.6092874414487084
A109,-0.25337747,-0.9348919,-0.5322798199768026,0.5870910087466111
