observation,fitted,residuals,standardized_residuals,cooks_distance,leverage
61,0.0453846685118153,0.013643331488184696,0.37775821904424456,0.0009234944649220387,0.04160923513753424
62,0.04181842745308377,0.04845957254691623,1.3417545294433166,0.012282232016317972,0.043675672844931956
63,0.04630407475741547,-0.011582074757415468,-0.32068589237075784,0.0002954935599971812,0.019342862208191206
64,0.04469208262202129,-0.003025082622021287,-0.08375885499418463,4.4698387543079236e-05,0.04101581305738472
65,0.03990313686074831,-0.01907013686074831,-0.5280162652124194,0.0012521231415488824,0.029603876662150055
66,0.03719147280909218,-0.02677447280909218,-0.7413348545383004,0.017440075678732327,0.15762589945241615
67,0.029402949236925654,0.0018470507630743462,0.05114136582751279,7.998563757267409e-05,0.15342503955945958
68,0.05058149348887563,-0.03322049348887563,-0.9198130579027896,0.0045492200010914885,0.03504679772604481
69,0.042542118124237964,0.030374881875762032,0.8410234179975848,0.004829738480119422,0.04371035964563899
70,0.052429002565542934,-0.003818002565542933,-0.10571331867989062,0.00010649255539878645,0.059058585679180764
71,0.03694021253398596,0.046392787466014045,1.2845291331400048,0.0374581788144202,0.12239307904765048
72,0.04902314151712006,-0.04902314151712006,-1.3573586955282033,0.0442794823055533,0.1279394767140162
73,0.05364425601950032,-0.01545025601950032,-0.42778856489402994,0.0021914548945662768,0.07216314785730113
74,0.04386401788168108,-0.03692001788168108,-1.0222459385483418,0.01032033345231839,0.06096052280926699
75,0.03362399265424829,0.04970900734575171,1.3763490318805507,0.029980399695625395,0.09144864167765336
76,0.04266047487443566,-0.007938474874435657,-0.21980145634453857,0.00048304253915077875,0.06162728434970562
77,0.04311313573831327,-0.025752135738313267,-0.713028261573466,0.004145148288650565,0.05136026408009597
78,0.04080931214641135,-0.019976312146411348,-0.5531065565646766,0.0017601700960889644,0.03732457217194581
79,0.03424420000105713,-0.009938200001057128,-0.27517008849019525,0.0011280577967331723,0.08694099945193057
80,0.04116994317438138,-0.037697943174381375,-1.0437852285212073,0.017606723249287012,0.0930508173628798
81,0.05001925621310409,-0.01182525621310409,-0.32741913004698636,0.0007789947027876255,0.04626765292386887
82,0.03860315486420681,0.013479845135793186,0.3732315890660065,0.002779785560069343,0.11051674803526162
83,0.03840721945674963,0.031036780543250375,0.8593501486817063,0.0077576265716904,0.06437148079581936
84,0.04517769291014232,-0.03823369291014232,-1.0586191322645668,0.0071163475962155755,0.04088960468287822
85,0.03826557205946702,-0.0035435720594670164,-0.09811485350176113,8.114828964644869e-05,0.052926728613891305
86,0.050476801530802085,0.1648011984691979,4.5630355961075155,0.15541438034464372,0.04741234399348375
87,0.04161019509925528,-0.03813819509925528,-1.0559749772797997,0.024735392986787657,0.12019414143469571
88,0.04908785810367915,0.016884141896320856,0.4674901711776203,0.0016494421106470589,0.0478919603180826
89,0.039250334681738275,0.026721665318261728,0.7398727143194263,0.004469288211445923,0.05142408427633184
90,0.05843075298218754,0.10823624701781247,2.996858351267838,0.2829538892192988,0.15679905595314703
91,0.024469798223892274,-0.014052798223892275,-0.3890955837467522,0.005355240004275468,0.17040897551274184
92,0.04049472426860413,-0.019661724268604127,-0.5443962092014772,0.005289983938539993,0.10098485090095072
93,0.04178181230287742,-0.04178181230287742,-1.1568598928820673,0.016866687815712305,0.07541533867237493
94,0.04197519027796511,0.020524809722034888,0.5682934240462058,0.002464531946534983,0.04837479154731526
95,0.05126809287787139,0.028592907122128614,0.7916838846220798,0.019257001345545244,0.15394881952039713
96,0.04501731313705869,-0.020711313137058686,-0.5734573532497197,0.004851421190714303,0.08622668858308946
97,0.04816743710766983,-0.04469543710766983,-1.2375326902977635,0.017680571575330945,0.06990882855917491
98,0.037648316983956535,-0.013342316983956534,-0.36942369289700616,0.002773240224043175,0.1121326759052572
99,0.05881591146325138,0.007156088536748623,0.1981386484163463,0.00107614865878321,0.14144023780003212
