UID,Total_Intercept_What_z,Total_Intercept_Where_z,Total_Slope_What_z,Total_Slope_Where_z
A070,-0.09360953711448664,-0.27047006594857764,-0.1454292991127264,-0.7718267957062579
A071,0.16083619107944608,0.4172960737001312,-0.22797844373478013,-0.43993759154073486
A072,-0.04428711333217328,0.23772009807380973,-0.754370553293037,-0.39870168470476874
A073,0.19709147865700768,0.5760843334846522,0.7289745218114075,0.7423780458187234
A074,-0.7194706688433605,0.006083145798018101,-1.785447702257273,-1.1675991247093032
A075,-0.5598690544088557,-0.1544055123534481,-0.30972585860174306,-0.6563892288929702
A076,-1.7768228427239163,-1.6175910303293324,-1.297114380854267,-0.09240993929568674
A077,0.848811453793465,0.5491495151542476,0.29304240297793294,0.330707046090636
A078,-0.5421222626332791,-0.7640134188034501,0.13833008111801456,-0.11077651827483631
A079,-0.7965328252918245,-0.5539249179188522,-0.042865126784048906,-0.42912138964845925
A080,0.14518307964844943,0.12801859285508518,0.2569609919688184,0.42858317033586774
A081,0.2714669696257331,0.4465337291030187,1.3291757867809746,1.387284738497596
A082,0.7896108143687923,0.5637638668161948,0.857234759694618,0.8201293654615883
A083,0.8454347411392971,1.3815188769983675,-1.1014527877741151,-1.18931751362942
A084,-0.4575727402759746,0.03703437561118026,0.6105002151586293,0.6262623985524383
A085,0.31080171827617603,0.3680226590544255,0.6183182193806168,0.5021572469195962
A086,-0.6289011631134388,-0.31430622249758555,-0.8999058333068128,-1.2940834057863098
A087,0.9482969473262057,0.8789066088583729,0.2661227545182386,-0.40240020051687586
A088,2.0947449056782705,2.3164743709077773,1.1774390569126711,-0.7595834396200385
A089,1.0995287612030755,1.2714746297292232,0.042577285508427154,-0.384058344075686
A090,-1.1771727033976116,-0.8806694182650762,-1.6658378324525789,-0.12375114956976835
A091,-0.34446662112360144,-0.4548464977173106,-0.3976788210048189,-0.7280010250082464
A092,-1.2410735362423981,-1.0297865365544472,0.021468644499096055,0.48713173849852226
A093,0.6868514235050284,0.41050190120788527,1.8529147027209678,1.2825284673734068
A094,-1.235852991814253,-1.4190033791390129,-0.1626159689155705,0.7736831603728128
A095,0.26056558002636426,0.07070500086141122,-1.319187801818143,-1.576787477938305
A096,-2.315468245461057,-1.7801931112129248,-1.0415636431642807,0.12801052954438563
A097,0.08088603967360952,-0.06806718628076538,1.3222792825298775,1.6392973879223471
A098,0.6643149018996335,0.5681603815700348,1.0749795457188533,0.2091472319739232
A099,0.4934109634097326,1.0974925638362514,-0.05583269332201326,0.46778616998607536
A100,0.43687375925759825,0.10335042336568383,1.5932876599012806,1.697574999670305
A101,-1.973315027462132,-1.678941310709988,0.29711421085961276,1.245119858744129
A102,-0.05192638414487319,-0.1030624880200772,1.1422522483940505,0.5776872968459362
A103,-0.4890715285203841,-0.5139497200226729,-2.4460101999142374,-2.178600047544799
A104,0.3502114789971734,0.3437494953257192,-2.4143821109596773,-2.1854615125528993
A105,0.34914970046042987,0.35194848290628544,0.4460196542500687,0.4886947317724104
A106,1.2214902771546763,0.8975707208001126,0.7074063442492727,0.5812020883553253
A107,-1.7879916784343732,-1.9323654900747942,0.06091942402993722,1.0131459462876458
A108,-1.5602346908651958,-1.1337996621484108,0.29581678013056484,1.1240969520114181
A109,-1.1303165471907584,-1.123929818453973,0.04907499707202039,0.7469236105580567
