UID,TEST,location_type,theta,se,TSVR_hours
A074,T1,Source,0.26932,0.5,1.0
A074,T2,Source,-0.34384635,0.5,29.33
A074,T3,Source,-0.51103044,0.5,73.02
A074,T4,Source,-0.40131557,0.5,147.21
A075,T1,Source,-0.25515464,0.5,1.0
A075,T2,Source,-0.23953032,0.5,28.68
A075,T3,Source,-1.3759944,0.5,71.37
A075,T4,Source,-0.74685985,0.5,244.53
A076,T1,Source,-0.5924384,0.5,1.0
A076,T2,Source,-1.6846266,0.5,27.3
A076,T3,Source,-1.0939492,0.5,74.88
A076,T4,Source,-1.4926583,0.5,149.28
A077,T1,Source,0.22672701,0.5,1.0
A077,T2,Source,-0.44985828,0.5,53.88
A077,T3,Source,-0.3103215,0.5,78.36
A077,T4,Source,-0.20550269,0.5,149.75
A078,T1,Source,-0.8952676,0.5,1.0
A078,T2,Source,-0.8208281,0.5,26.17
A078,T3,Source,-1.2026373,0.5,72.3
A078,T4,Source,-1.6080743,0.5,140.08
A079,T1,Source,-0.3214581,0.5,1.0
A079,T2,Source,-0.059033513,0.5,26.11
A079,T3,Source,-0.71068835,0.5,74.0
A079,T4,Source,-0.85501325,0.5,194.42
A080,T1,Source,0.21134722,0.5,1.0
A080,T2,Source,-0.20075512,0.5,29.03
A080,T3,Source,-0.6536064,0.5,72.87
A080,T4,Source,-0.9984222,0.5,145.77
A081,T1,Source,-0.014630079,0.5,1.0
A081,T2,Source,-0.104610205,0.5,31.39
A081,T3,Source,-0.20947611,0.5,80.13
A081,T4,Source,-0.9656583,0.5,154.53
A082,T1,Source,0.0642319,0.5,1.0
A082,T2,Source,-0.109985024,0.5,27.97
A082,T3,Source,-0.48187196,0.5,75.71
A082,T4,Source,-0.9638303,0.5,170.25
A083,T1,Source,0.115965486,0.5,1.0
A083,T2,Source,-0.25223792,0.5,25.15
A083,T3,Source,-0.23575792,0.5,74.3
A083,T4,Source,-0.6712417,0.5,144.91
A084,T1,Source,-1.398021,0.5,1.0
A084,T2,Source,-1.5269368,0.5,27.25
A084,T3,Source,-0.8032251,0.5,91.97
A084,T4,Source,-1.2504457,0.5,162.51
A085,T1,Source,0.009534121,0.5,1.0
A085,T2,Source,0.43711734,0.5,24.51
A085,T3,Source,0.16515636,0.5,71.4
A085,T4,Source,-0.41915497,0.5,170.65
A086,T1,Source,0.20403749,0.5,1.0
A086,T2,Source,0.3149156,0.5,23.47
A086,T3,Source,-0.87440115,0.5,145.29
A086,T4,Source,-0.9964989,0.5,169.55
A087,T1,Source,0.33115876,0.5,1.0
A087,T2,Source,-0.1054703,0.5,31.07
A087,T3,Source,-0.18653458,0.5,72.8
A087,T4,Source,0.20118752,0.5,144.2
A088,T1,Source,0.077822685,0.5,1.0
A088,T2,Source,-0.090958476,0.5,24.25
A088,T3,Source,-0.15303862,0.5,74.91
A088,T4,Source,-0.092690825,0.5,149.93
A089,T1,Source,0.24442697,0.5,1.0
A089,T2,Source,0.30268687,0.5,32.14
A089,T3,Source,-0.1558888,0.5,79.34
A089,T4,Source,-0.14095879,0.5,146.96
A090,T1,Source,-1.7046252,0.5,1.0
A090,T2,Source,-1.2133199,0.5,23.54
A090,T3,Source,-1.7288464,0.5,95.42
A090,T4,Source,-1.8383566,0.5,144.07
A091,T1,Source,-0.06817329,0.5,1.0
A091,T2,Source,-0.6159316,0.5,22.2
A091,T3,Source,-1.297504,0.5,73.64
A091,T4,Source,-0.45737362,0.5,142.61
A092,T1,Source,0.16628128,0.5,1.0
A092,T2,Source,-0.09658414,0.5,22.83
A092,T3,Source,-0.5907904,0.5,71.31
A092,T4,Source,-1.3193048,0.5,146.16
A093,T1,Source,0.20957875,0.5,1.0
A093,T2,Source,-1.2093322,0.5,22.09
A093,T3,Source,-1.6360039,0.5,70.22
A093,T4,Source,-1.8417343,0.5,140.95
A094,T1,Source,-1.2259504,0.5,1.0
A094,T2,Source,-1.0553681,0.5,22.98
A094,T3,Source,-1.6303165,0.5,76.21
A094,T4,Source,-1.4738028,0.5,149.99
A095,T1,Source,0.16226995,0.5,1.0
A095,T2,Source,-0.7363977,0.5,29.71
A095,T3,Source,-0.20635152,0.5,78.76
A095,T4,Source,-0.9732964,0.5,148.79
A096,T1,Source,-0.10050857,0.5,1.0
A096,T2,Source,-0.34578586,0.5,24.49
A096,T3,Source,-0.47693783,0.5,71.19
A096,T4,Source,-0.44960964,0.5,143.66
A097,T1,Source,-1.0187418,0.5,1.0
A097,T2,Source,-1.8563917,0.5,24.37
A097,T3,Source,-1.700936,0.5,70.83
A097,T4,Source,-1.5027418,0.5,144.85
A098,T1,Source,0.4312213,0.5,1.0
A098,T2,Source,0.036384776,0.5,25.77
A098,T3,Source,0.3321092,0.5,78.84
A098,T4,Source,-0.21873945,0.5,146.29
A099,T1,Source,-0.10711205,0.5,1.0
A099,T2,Source,0.106170654,0.5,28.75
A099,T3,Source,-0.062931776,0.5,78.57
A099,T4,Source,0.43014896,0.5,143.51
A100,T1,Source,-0.8735585,0.5,1.0
A100,T2,Source,-0.82988405,0.5,31.14
A100,T3,Source,-1.1911968,0.5,75.34
A100,T4,Source,-1.6574647,0.5,146.8
A101,T1,Source,-0.7027124,0.5,1.0
A101,T2,Source,-1.3277925,0.5,29.12
A101,T3,Source,-1.7045931,0.5,75.21
A101,T4,Source,-1.8163987,0.5,150.22
A102,T1,Source,-0.3985268,0.5,1.0
A102,T2,Source,-0.02649939,0.5,29.13
A102,T3,Source,-0.38575232,0.5,75.27
A102,T4,Source,-0.4196909,0.5,150.41
A103,T1,Source,-1.6121315,0.5,1.0
A103,T2,Source,-1.4930031,0.5,27.26
A103,T3,Source,-1.578493,0.5,80.24
A103,T4,Source,-1.5767274,0.5,149.72
A104,T1,Source,0.27913165,0.5,1.0
A104,T2,Source,0.30397457,0.5,22.6
A104,T3,Source,-0.14866999,0.5,72.62
A104,T4,Source,-1.2789935,0.5,145.78
A105,T1,Source,0.61516607,0.5,1.0
A105,T2,Source,0.41612887,0.5,22.77
A105,T3,Source,-0.3236314,0.5,69.46
A105,T4,Source,-0.2430712,0.5,146.2
A106,T1,Source,-0.03485644,0.5,1.0
A106,T2,Source,-0.6778077,0.5,22.64
A106,T3,Source,-0.17605197,0.5,66.08
A106,T4,Source,-0.37065715,0.5,147.13
A107,T1,Source,-1.6091614,0.5,1.0
A107,T2,Source,-2.1841025,0.5,26.22
A107,T3,Source,-1.3234899,0.5,71.45
A107,T4,Source,-1.6889918,0.5,145.95
A108,T1,Source,-0.7909203,0.5,1.0
A108,T2,Source,-0.80433625,0.5,27.61
A108,T3,Source,-0.7921201,0.5,68.96
A108,T4,Source,-0.76942104,0.5,152.12
A109,T1,Source,-1.3589526,0.5,1.0
A109,T2,Source,-1.8378288,0.5,24.65
A109,T3,Source,-0.98674816,0.5,71.17
A109,T4,Source,-1.5363755,0.5,149.87
A010,T1,Destination,0.13693643,0.5,1.0
A010,T2,Destination,-0.1731106,0.5,21.9
A010,T3,Destination,-0.446819,0.5,80.88
A010,T4,Destination,-0.80998075,0.5,145.31
A011,T1,Destination,0.5820918,0.5,1.0
A011,T2,Destination,0.20171207,0.5,24.57
A011,T3,Destination,-0.08963197,0.5,72.55
A011,T4,Destination,-0.9402442,0.5,148.85
A012,T1,Destination,0.11614872,0.5,1.0
A012,T2,Destination,-0.8692789,0.5,25.6
A012,T3,Destination,-0.61992574,0.5,166.33
A012,T4,Destination,-0.3019384,0.5,166.87
A013,T1,Destination,-0.050787084,0.5,1.0
A013,T2,Destination,-0.3442688,0.5,24.77
A013,T3,Destination,-0.10295295,0.5,79.66
A013,T4,Destination,-1.3484422,0.5,147.13
A014,T1,Destination,0.284858,0.5,1.0
A014,T2,Destination,-0.02648484,0.5,25.66
A014,T3,Destination,-0.5064211,0.5,70.56
A014,T4,Destination,-0.8566756,0.5,148.87
A015,T1,Destination,0.5536311,0.5,1.0
A015,T2,Destination,0.047094353,0.5,23.69
A015,T3,Destination,-0.40970647,0.5,70.59
A015,T4,Destination,-0.6451764,0.5,146.54
A016,T1,Destination,-0.053390674,0.5,1.0
A016,T2,Destination,0.14018714,0.5,32.85
A016,T3,Destination,-0.67556345,0.5,80.64
A016,T4,Destination,-0.4178216,0.5,150.8
A017,T1,Destination,0.50636506,0.5,1.0
A017,T2,Destination,0.6012197,0.5,20.61
A017,T3,Destination,0.8671315,0.5,61.28
A017,T4,Destination,0.228042,0.5,140.49
A018,T1,Destination,0.3249135,0.5,1.0
A018,T2,Destination,-0.11045133,0.5,34.03
A018,T3,Destination,-0.8337312,0.5,83.64
A018,T4,Destination,-1.1547185,0.5,150.87
A019,T1,Destination,-1.7082322,0.5,1.0
