composite_ID,domain_name,theta
A051_1,cued_recall,1.4961437
A051_2,cued_recall,-0.07024284
A051_3,cued_recall,-0.25825605
A051_4,cued_recall,-0.44362816
A052_1,cued_recall,0.8917699
A052_2,cued_recall,0.41385087
A052_3,cued_recall,0.17310898
A052_4,cued_recall,-1.1158539
A053_1,cued_recall,1.6177708
A053_2,cued_recall,0.4713022
A053_3,cued_recall,-0.29802838
A053_4,cued_recall,-0.30990815
A054_1,cued_recall,0.26039207
A054_2,cued_recall,0.4164915
A054_3,cued_recall,0.38427484
A054_4,cued_recall,0.90380085
A055_1,cued_recall,-0.3909744
A055_2,cued_recall,0.6753322
A055_3,cued_recall,-0.42186195
A055_4,cued_recall,-1.2926077
A056_1,cued_recall,1.0275419
A056_2,cued_recall,0.36134577
A056_3,cued_recall,0.13435388
A056_4,cued_recall,-0.7800024
A057_1,cued_recall,0.1534887
A057_2,cued_recall,-0.9036274
A057_3,cued_recall,-0.55140465
A057_4,cued_recall,-1.7219416
A058_1,cued_recall,1.4294689
A058_2,cued_recall,-0.8890222
A058_3,cued_recall,-0.089695446
A058_4,cued_recall,-0.9279
A059_1,cued_recall,1.2650852
A059_2,cued_recall,0.5348116
A059_3,cued_recall,1.8446996
A059_4,cued_recall,0.4254517
A060_1,cued_recall,-0.2101943
A060_2,cued_recall,1.1168277
A060_3,cued_recall,-0.4734725
A060_4,cued_recall,0.6241916
A061_1,cued_recall,1.982481
A061_2,cued_recall,1.2732763
A061_3,cued_recall,0.59544265
A061_4,cued_recall,-0.54503757
A062_1,cued_recall,1.3655573
A062_2,cued_recall,0.13755953
A062_3,cued_recall,-1.0587103
A062_4,cued_recall,-0.5767186
A063_1,cued_recall,1.118901
A063_2,cued_recall,1.133313
A063_3,cued_recall,0.03273753
A063_4,cued_recall,-1.1835592
A064_1,cued_recall,1.459255
A064_2,cued_recall,1.1812408
A064_3,cued_recall,0.37872905
A064_4,cued_recall,-0.96417046
A065_1,cued_recall,-1.6976604
A065_2,cued_recall,-0.5728265
A065_3,cued_recall,-1.5818332
A065_4,cued_recall,-2.4768915
A066_1,cued_recall,-0.13540936
A066_2,cued_recall,-0.03320045
A066_3,cued_recall,-1.0065267
A066_4,cued_recall,-1.1391418
A067_1,cued_recall,0.0635668
A067_2,cued_recall,-1.7006407
A067_3,cued_recall,-1.3472085
A067_4,cued_recall,-1.3452268
