UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence
A065,T3,Source,-1.534947,106.41,-1.6791027
A065,T4,Source,-1.4947524,187.43,-1.5810145
A066,T1,Source,-0.03744735,1.0,-0.65797085
A066,T2,Source,-0.48925865,23.35,-0.46232635
A066,T3,Source,-0.78109145,73.79,-0.7121843
A066,T4,Source,-1.5672717,164.93,-1.2585001
A067,T1,Source,0.33184186,1.0,-0.26883042
A067,T2,Source,-1.4980056,29.91,-1.6097723
A067,T3,Source,-1.2921559,73.19,-1.6110896
A067,T4,Source,-1.626856,144.19,-1.3744572
A068,T1,Source,1.1554995,1.0,0.46348393
A068,T2,Source,-0.113646984,30.49,0.3130849
A068,T3,Source,1.1442444,82.98,0.21906394
A068,T4,Source,-0.48383042,155.59,-0.26454616
A069,T1,Source,-1.0576996,1.0,-1.0210688
A069,T2,Source,-0.9050108,24.96,-1.6984748
A069,T3,Source,-0.53834414,79.75,-1.6173936
A069,T4,Source,-1.7287896,140.22,-1.4792693
A070,T1,Source,-0.16930422,1.0,0.087869346
A070,T2,Source,0.23320425,24.25,-0.45063603
A070,T3,Source,-0.75356513,81.92,-0.8471191
A070,T4,Source,-1.1904025,149.2,-1.7073361
A071,T1,Source,0.5082413,1.0,0.43833178
A071,T2,Source,0.83159643,30.92,-0.42639652
A071,T3,Source,-0.4841799,79.96,-0.97401035
A071,T4,Source,0.43548703,153.27,-0.51238585
A072,T1,Source,1.1708913,1.0,0.40019226
A072,T2,Source,1.1662811,33.76,0.20886338
A072,T3,Source,-0.9678977,83.54,-0.44359374
A072,T4,Source,-0.172895,154.89,-0.7566408
A073,T1,Source,1.1209983,1.0,-0.54192835
A073,T2,Source,0.3522422,66.66,-0.66379476
A073,T3,Source,1.3783715,66.9,-0.71545494
A073,T4,Source,1.4486346,140.12,-0.67257667
A074,T1,Source,1.0531274,1.0,0.26932
A074,T2,Source,0.28312021,29.33,-0.34384635
A074,T3,Source,-0.56265223,73.02,-0.51103044
A074,T4,Source,-0.6709876,147.21,-0.40131557
A075,T1,Source,1.2248234,1.0,-0.25515464
A075,T2,Source,0.43895453,28.68,-0.23953032
A075,T3,Source,-1.422566,71.37,-1.3759944
A075,T4,Source,-0.6957722,244.53,-0.74685985
A076,T1,Source,0.15540236,1.0,-0.5924384
A076,T2,Source,-1.0829679,27.3,-1.6846266
A076,T3,Source,-1.1610296,74.88,-1.0939492
A076,T4,Source,-1.1055614,149.28,-1.4926583
A077,T1,Source,0.5334684,1.0,0.22672701
A077,T2,Source,-0.17786074,53.88,-0.44985828
A077,T3,Source,-0.0657532,78.36,-0.3103215
A077,T4,Source,-0.39172974,149.75,-0.20550269
A078,T1,Source,-0.5279406,1.0,-0.8952676
A078,T2,Source,0.1811822,26.17,-0.8208281
A078,T3,Source,-0.7775617,72.3,-1.2026373
A078,T4,Source,-1.4361522,140.08,-1.6080743
A079,T1,Source,0.019097133,1.0,-0.3214581
A079,T2,Source,0.19691332,26.11,-0.059033513
A079,T3,Source,-0.70234376,74.0,-0.71068835
A079,T4,Source,-0.62206274,194.42,-0.85501325
A080,T1,Source,0.10537331,1.0,0.21134722
A080,T2,Source,0.5328905,29.03,-0.20075512
A080,T3,Source,0.045848988,72.87,-0.6536064
A080,T4,Source,-0.66487795,145.77,-0.9984222
A081,T1,Source,0.37206882,1.0,-0.014630079
A081,T2,Source,-0.42201942,31.39,-0.104610205
A081,T3,Source,0.83210707,80.13,-0.20947611
A081,T4,Source,-0.09271791,154.53,-0.9656583
A082,T1,Source,0.071322605,1.0,0.0642319
A082,T2,Source,1.181799,27.97,-0.109985024
A082,T3,Source,1.0123066,75.71,-0.48187196
A082,T4,Source,-0.5707041,170.25,-0.9638303
A083,T1,Source,1.2475034,1.0,0.115965486
A083,T2,Source,0.6259196,25.15,-0.25223792
A083,T3,Source,0.113821276,74.3,-0.23575792
A083,T4,Source,0.19219941,144.91,-0.6712417
A084,T1,Source,0.8040474,1.0,-1.398021
A084,T2,Source,0.14113443,27.25,-1.5269368
A084,T3,Source,-0.11596396,91.97,-0.8032251
A084,T4,Source,-0.59100777,162.51,-1.2504457
A085,T1,Source,-0.11570579,1.0,0.009534121
A085,T2,Source,1.1474876,24.51,0.43711734
A085,T3,Source,-0.103653476,71.4,0.16515636
A085,T4,Source,-0.4273231,170.65,-0.41915497
A086,T1,Source,0.7650894,1.0,0.20403749
A086,T2,Source,0.30255273,23.47,0.3149156
A086,T3,Source,-1.0298048,145.29,-0.87440115
A086,T4,Source,-0.8856172,169.55,-0.9964989
A087,T1,Source,-0.14446898,1.0,0.33115876
A087,T2,Source,0.79339594,31.07,-0.1054703
A087,T3,Source,0.07429415,72.8,-0.18653458
A087,T4,Source,0.63730603,144.2,0.20118752
A088,T1,Source,1.3610681,1.0,0.077822685
A088,T2,Source,1.6403587,24.25,-0.090958476
A088,T3,Source,1.0740212,74.91,-0.15303862
A088,T4,Source,1.2408419,149.93,-0.092690825
A089,T1,Source,0.95078164,1.0,0.24442697
A089,T2,Source,1.0349191,32.14,0.30268687
A089,T3,Source,0.30402267,79.34,-0.1558888
A089,T4,Source,-0.14708613,146.96,-0.14095879
A090,T1,Source,-0.23930658,1.0,-1.7046252
A090,T2,Source,0.0107415775,23.54,-1.2133199
A090,T3,Source,-0.9169951,95.42,-1.7288464
A090,T4,Source,-0.89684373,144.07,-1.8383566
A091,T1,Source,0.61024165,1.0,-0.06817329
A091,T2,Source,-0.23226447,22.2,-0.6159316
A091,T3,Source,-1.0321478,73.64,-1.297504
A091,T4,Source,-1.0876396,142.61,-0.45737362
A092,T1,Source,0.23328507,1.0,0.16628128
A092,T2,Source,-0.8227533,22.83,-0.09658414
A092,T3,Source,-0.70078677,71.31,-0.5907904
A092,T4,Source,-0.77845037,146.16,-1.3193048
A093,T1,Source,0.17902495,1.0,0.20957875
A093,T2,Source,1.032644,22.09,-1.2093322
A093,T3,Source,-0.19266124,70.22,-1.6360039
A093,T4,Source,0.2726866,140.95,-1.8417343
A094,T1,Source,-1.0644217,1.0,-1.2259504
A094,T2,Source,0.04552735,22.98,-1.0553681
A094,T3,Source,-0.8497856,76.21,-1.6303165
A094,T4,Source,-1.2777404,149.99,-1.4738028
A095,T1,Source,1.0975536,1.0,0.16226995
A095,T2,Source,0.2966555,29.71,-0.7363977
A095,T3,Source,0.022464879,78.76,-0.20635152
A095,T4,Source,-0.32706589,148.79,-0.9732964
A096,T1,Source,-0.277075,1.0,-0.10050857
A096,T2,Source,0.10875838,24.49,-0.34578586
A096,T3,Source,-1.7827787,71.19,-0.47693783
A096,T4,Source,-1.7271752,143.66,-0.44960964
A097,T1,Source,0.1794386,1.0,-1.0187418
A097,T2,Source,-0.54056513,24.37,-1.8563917
A097,T3,Source,0.7713108,70.83,-1.700936
A097,T4,Source,-1.0911156,144.85,-1.5027418
A098,T1,Source,0.7291178,1.0,0.4312213
A098,T2,Source,0.0246297,25.77,0.036384776
A098,T3,Source,1.1876998,78.84,0.3321092
A098,T4,Source,-0.93667495,146.29,-0.21873945
A099,T1,Source,0.5694854,1.0,-0.10711205
A099,T2,Source,1.1351792,28.75,0.106170654
A099,T3,Source,0.34919107,78.57,-0.062931776
A099,T4,Source,1.2946471,143.51,0.43014896
A100,T1,Source,-0.06639828,1.0,-0.8735585
A100,T2,Source,1.3288726,31.14,-0.82988405
A100,T3,Source,0.2789706,75.34,-1.1911968
A100,T4,Source,0.11508391,146.8,-1.6574647
A101,T1,Source,-0.39517584,1.0,-0.7027124
A101,T2,Source,-0.64429396,29.12,-1.3277925
A101,T3,Source,-1.402536,75.21,-1.7045931
A101,T4,Source,-1.0298448,150.22,-1.8163987
A102,T1,Source,-0.4269469,1.0,-0.3985268
A102,T2,Source,1.3623424,29.13,-0.02649939
A102,T3,Source,-0.3569574,75.27,-0.38575232
A102,T4,Source,-0.13239342,150.41,-0.4196909
A103,T1,Source,1.1801236,1.0,-1.6121315
A103,T2,Source,-0.6768038,27.26,-1.4930031
A103,T3,Source,-0.973742,80.24,-1.578493
A103,T4,Source,-0.9487724,149.72,-1.5767274
A104,T1,Source,1.2842352,1.0,0.27913165
A104,T2,Source,0.9625718,22.6,0.30397457
A104,T3,Source,-0.589731,72.62,-0.14866999
A104,T4,Source,-1.3339353,145.78,-1.2789935
A105,T1,Source,0.53870964,1.0,0.61516607
A105,T2,Source,0.46811488,22.77,0.41612887
A105,T3,Source,-1.190793,69.46,-0.3236314
A105,T4,Source,-0.1631536,146.2,-0.2430712
A106,T1,Source,0.7179772,1.0,-0.03485644
A106,T2,Source,-0.1352828,22.64,-0.6778077
A106,T3,Source,-0.20217995,66.08,-0.17605197
A106,T4,Source,0.47873917,147.13,-0.37065715
A107,T1,Source,-0.89261144,1.0,-1.6091614
A107,T2,Source,-1.3602527,26.22,-2.1841025
A107,T3,Source,-0.8110506,71.45,-1.3234899
A107,T4,Source,-1.0200406,145.95,-1.6889918
