UID,TEST,LocationType,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A047,T3,Destination,76.85,-0.31743395,-1.3284942,-0.4138306139818195,-1.198754328676265,-0.5957680940257578
A047,T4,Destination,144.22,0.5841509,-1.5817481,0.6848117426814972,-1.5799816118049126,-1.1366398280140886
A048,T1,Destination,1.0,1.7055423,-0.04382407,2.0513033052204817,0.7350808595535185,-0.14811876484309944
A048,T2,Destination,23.91,-0.21394376,-0.3519171,-0.2877207905601699,0.27130332729133827,0.24377132711565325
A048,T3,Destination,81.15,0.59561753,0.005485378,0.6987846099121148,0.8093071869412245,0.282421026853499
A048,T4,Destination,146.3,0.05674492,-0.07758277,0.04213174557914344,0.6842633302560227,0.39551041109841945
A049,T1,Destination,1.0,0.7261273,0.19780612,0.8578196261730774,1.098810779825463,0.40942189490927194
A049,T2,Destination,27.12,-0.3937213,-0.8922324,-0.5067919298109389,-0.542042227710343,-0.17807937510304905
A049,T3,Destination,111.38,0.6229021,-0.18853784,0.732032711059051,0.5172408287843813,0.09897040319000214
A049,T4,Destination,168.86,1.4647734,-0.34735084,1.7579100525418963,0.2781769939707419,-0.33644481938628146
A050,T1,Destination,1.0,-0.91308653,-0.108382456,-1.1396737270773696,0.6379000536589182,0.7054652589938659
A050,T2,Destination,24.73,-0.0066963215,-0.07980966,-0.035175714801547964,0.6809111559182283,0.41559582280868895
A050,T3,Destination,93.39,-0.35299146,-0.90844625,-0.4571598542452061,-0.566449204205297,-0.20679289585553542
A050,T4,Destination,148.69,0.8914575,-1.2433821,1.0592857006702447,-1.0706336772494804,-0.940238007183773
A051,T1,Destination,1.0,1.8028108,0.47366124,2.1698315769290244,1.5140600531228419,0.2819823251318304
A051,T2,Destination,17.16,0.049381785,0.22646618,0.03315926563027323,1.1419532420268506,0.6706718010792461
A051,T3,Destination,65.63,0.1110302,-0.20670265,0.10828204518913355,0.48989703994303235,0.260851484573144
A051,T4,Destination,146.99,0.03827322,-0.3287778,0.019622724914501847,0.30613529818102136,0.17672811350156048
A052,T1,Destination,1.0,-0.4868811,-0.6850114,-0.6203134715918187,-0.23010903008850372,0.04013302046842479
A052,T2,Destination,31.76,0.9826763,-0.23417139,1.1704420021586732,0.4485478914356759,-0.06716926034703297
A052,T3,Destination,80.98,-0.23479229,-0.9427875,-0.3131261399647942,-0.6181436556500395,-0.2787234444690503
A052,T4,Destination,153.27,0.060775243,0.034749992,0.04704296781056666,0.8533596942748868,0.49482078097994625
A053,T1,Destination,1.0,0.830601,-0.4502908,0.9851279233093218,0.12321977010895073,-0.2080007909011687
A053,T2,Destination,32.71,0.35691914,-1.6746286,0.40791441425461294,-1.71979616419929,-1.1408204627375023
A053,T3,Destination,78.28,-0.111180075,-2.037302,-0.1624962628101675,-2.2657344298885027,-1.303048367224277
A053,T4,Destination,148.9,-0.24006987,-1.89259,-0.3195572295385367,-2.047897063529632,-1.1284426010991773
A054,T1,Destination,1.0,0.4994956,0.4693622,0.581653511599819,1.5075886371278213,0.7317721149412014
A054,T2,Destination,16.9,-0.12840416,-0.2542895,-0.1834849798851819,0.418263767807241,0.30152673319288326
A054,T3,Destination,72.83,-0.02643241,-0.4796437,-0.059225478704474886,0.07903436439971233,0.0639896429163182
A054,T4,Destination,136.83,0.17176248,-0.043233745,0.18228845204561125,0.735969485536822,0.38627232268836165
A055,T1,Destination,1.0,-0.5361741,-0.03458076,-0.6803803390497233,0.7489949669311972,0.6404413159489057
A055,T2,Destination,23.24,0.75660616,-1.02525,0.89496018657492,-0.7422758203866777,-0.6977315927070309
A055,T3,Destination,74.48,0.83208466,-1.4525794,0.9869358637587282,-1.385541831938702,-1.1071303319458061
A055,T4,Destination,149.21,0.1528813,-1.5069975,0.15928045219758333,-1.4674582976516606,-0.9195095844713204
A056,T1,Destination,1.0,0.7468591,-0.31293535,0.8830827321468218,0.3299832001150151,-0.055705223293373296
A056,T2,Destination,33.61,-0.7365116,-1.1222712,-0.924505185566429,-0.8883234369559828,-0.2650084353797972
A056,T3,Destination,71.46,-0.72254777,-0.6666082,-0.9074893105777955,-0.20240638883846512,0.13866097348219975
A056,T4,Destination,147.84,-0.8596302,-1.5222534,-1.0745335593274656,-1.4904232561722692,-0.5807631608148873
A057,T1,Destination,1.0,-1.0518757,-0.6698607,-1.308797754403412,-0.20730243086733782,0.2503738837158018
A057,T2,Destination,24.78,-0.60083723,-0.3021773,-0.7591767535329818,0.3461774706603538,0.42303188339940195
A057,T3,Destination,73.83,-0.51274824,-1.046279,-0.6518343380413157,-0.7739311217933385,-0.2747619521730375
A057,T4,Destination,145.06,-0.13473281,-1.5262234,-0.19119686962079283,-1.4963993628147363,-0.8366371101669541
A058,T1,Destination,1.0,1.7332748,-0.093785755,2.0850972394865304,0.6598727090252176,-0.20256531050978183
A058,T2,Destination,22.96,-0.17271782,-0.109634034,-0.23748418345961744,0.6360160326011435,0.4466434483766668
A058,T3,Destination,66.28,0.67109835,-0.027735107,0.7907631141734492,0.7592998415824126,0.22636426326039183
A058,T4,Destination,143.48,-0.9756075,-0.9226202,-1.2158597741495631,-0.5877854855012663,-0.0027871174213053296
A059,T1,Destination,1.0,1.5626048,-0.74984205,1.877124256120929,-0.3276996794840876,-0.7313549603836794
A059,T2,Destination,30.4,0.07206453,-0.80831677,0.06079973055422694,-0.41572264235774287,-0.2649696680018577
A059,T3,Destination,79.78,2.0409064,-0.5651938,2.4599672320425348,-0.04974561566923871,-0.7322886457270831
A059,T4,Destination,151.93,-0.5772869,-0.47267723,-0.7304790773781542,0.08952110687869184,0.2619711030150145
A060,T1,Destination,1.0,-0.1530542,-0.07753169,-0.2135227273444976,0.6843402218246115,0.468580861721646
A060,T2,Destination,24.87,0.33590585,-0.06836402,0.3823082936029075,0.6981404670596109,0.30660820714703896
A060,T3,Destination,94.68,0.16965349,0.2595057,0.17971850453176452,1.1916881777789736,0.658430854114796
A060,T4,Destination,143.91,-0.7229297,0.48543715,-0.9079547182155574,1.5317865251561156,1.1716731356455927
A061,T1,Destination,1.0,2.0403898,0.92875934,2.4593377198657804,2.1991267479299497,0.6073116680030508
A061,T2,Destination,35.16,0.77201295,0.80587673,0.9137344062994605,2.014149523278889,0.9386230529554722
A061,T3,Destination,82.55,1.5962133,0.39314365,1.9180784953629917,1.3928555935675642,0.281703641962487
A061,T4,Destination,146.56,0.7794881,0.46075106,0.9228433841315655,1.4946261457038374,0.6265948783744697
A062,T1,Destination,1.0,0.75087893,-0.0907191,0.8879811679452783,0.6644889955027125,0.14212607670949667
A062,T2,Destination,44.69,1.0081036,-0.20216143,1.201426893703363,0.49673301349640897,-0.047320835568875674
A062,T3,Destination,92.72,-0.41625023,-0.89908874,-0.5342449607134688,-0.5523631896793642,-0.17638487269676928
A062,T4,Destination,149.18,-0.7022192,-1.335995,-0.882717567738067,-1.2100454069391915,-0.46856104875044197
A063,T1,Destination,1.0,0.42942187,-1.1453488,0.4962639136408594,-0.9230625298154796,-0.6915246832560406
A063,T2,Destination,21.98,0.9230828,-1.3659563,1.0978232760545075,-1.2551466472280965,-1.0611410849461422
A063,T3,Destination,69.99,-1.0528466,-1.5536242,-1.3099808619767972,-1.5376462401167306,-0.5416362877739671
A063,T4,Destination,141.09,-0.95782745,-1.687606,-1.1941935759724402,-1.7393312589957521,-0.6948324371717938
A064,T1,Destination,1.0,0.37014112,0.13230014,0.4240262946471852,1.0002035450145497,0.4745996681694054
A064,T2,Destination,37.65,0.15088972,-0.27324927,0.15685357674078798,0.38972331253352543,0.18731448417871843
A064,T3,Destination,82.99,0.4945773,-0.83695614,0.5756602291009204,-0.4588339595600291,-0.43771038475509316
A064,T4,Destination,156.21,-1.064075,0.1552983,-1.3236634297767758,1.0348230555285356,0.9944256748179
A065,T1,Destination,1.0,-0.9370374,-0.12966514,-1.1688594884185644,0.6058628775324871,0.6947205941341381
A065,T2,Destination,32.31,-0.42273253,-1.5419153,-0.5421440834068001,-1.5200206393444424,-0.7504619693476898
A065,T3,Destination,106.41,0.12489203,-1.5336815,0.12517362625204323,-1.5076261640616344,-0.9336912165051999
A065,T4,Destination,187.43,-1.0915083,-1.5619777,-1.3570927685273677,-1.5502209017887325,-0.5356687574059291
A066,T1,Destination,1.0,0.03757501,-0.95108926,0.018771908621564037,-0.6306404322445405,-0.3809692041094913
A066,T2,Destination,23.35,-0.42152458,-0.40383792,-0.5406721143128967,0.19314605845397165,0.2694736635312326
A066,T3,Destination,73.79,-0.91012734,-1.0677891,-1.1360677531355774,-0.806310630984808,-0.15573156863718146
A066,T4,Destination,164.93,-1.2444345,-1.321545,-1.5434437268021943,-1.1882935830138384,-0.26687718330682786
A067,T1,Destination,1.0,-0.3772701,-0.78326046,-0.48674502558673904,-0.3780049646180154,-0.08610551524117757
A067,T2,Destination,29.91,-0.75470644,-1.6094011,-0.9466768335224832,-1.6216081299369394,-0.6954171624537251
A067,T3,Destination,73.19,-0.75410956,-1.5481073,-0.9459494947147767,-1.5293415593268498,-0.6406712719091403
A067,T4,Destination,144.19,-1.4940736,-0.91407484,-1.847645920460738,-0.5749220137989304,0.18533650673163243
