UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence,Z_accuracy,Z_confidence,calibration
A015,T4,Source,-0.10652651,146.54,0.046463996,-0.09752030266501154,0.8384367811264934,0.935957083791505
A016,T1,Source,1.356192,1.0,0.16626775,1.6020544860191144,1.014870174593731,-0.5871843114253834
A016,T2,Source,1.3373035,32.85,-0.32279885,1.5801073935494496,0.2946283041304389,-1.2854790894190107
A016,T3,Source,-0.013329637,80.64,-0.54458106,0.010767829776134854,-0.03198740376268371,-0.04275523353881856
A016,T4,Source,-1.0709041,150.8,-0.9673253,-1.2180584154533403,-0.6545572176595702,0.5635011977937701
A017,T1,Source,-0.2286647,1.0,0.21982366,-0.2394361853453446,1.0937412502156685,1.333177435561013
A017,T2,Source,0.8418083,20.61,0.46172476,1.0043772417282364,1.4499857795520161,0.44560853782377974
A017,T3,Source,0.1830041,61.28,0.8226489,0.2388936566471845,1.9815139552421066,1.7426202985949222
A017,T4,Source,1.0870038,140.49,0.6389233,1.2892769591036586,1.7109437102161926,0.42166675111253404
A018,T1,Source,0.9366276,1.0,0.004606247,1.114550518855,0.7767934314617587,-0.3377570873932413
A018,T2,Source,0.34145153,34.03,-0.039483607,0.4229982916256485,0.7118628904814229,0.2888645988557744
A018,T3,Source,-0.39613545,83.64,-0.38797164,-0.4340252758614837,0.19864920399783662,0.6326744798593203
A018,T4,Source,0.23495352,150.87,-1.1772233,0.2992551847984642,-0.963671207710218,-1.2629263925086822
A019,T1,Source,-0.8907665,1.0,-1.758747,-1.0087513468950398,-1.8200734183840495,-0.8113220714890097
A019,T2,Source,-0.8944451,28.69,-1.7724334,-1.0130256182431567,-1.8402291974454463,-0.8272035792022896
A019,T3,Source,-0.5290039,83.68,-1.7526711,-0.5884089568552636,-1.8111255213476374,-1.2227165644923739
A019,T4,Source,-1.2386124,154.76,-1.7895333,-1.4129235221600807,-1.8654119925100356,-0.452488470349955
A020,T1,Source,0.35700476,1.0,-0.16867858,0.44107003776811415,0.5215991738261155,0.08052913605800138
A020,T2,Source,0.35810092,26.85,0.11688295,0.4423436976607233,0.9421418371352837,0.49979813947456037
A020,T3,Source,-0.56137884,78.25,-0.9363257,-0.6260263326066386,-0.6089045194634269,0.017121813143211706
A020,T4,Source,-1.6343551,145.78,-1.5627393,-1.8727483696119567,-1.531415488210106,0.3413328814018506
A021,T1,Source,1.2139407,1.0,0.111996144,1.4367686012198972,0.9349451030012592,-0.501823498218638
A021,T2,Source,-0.017297959,30.21,-0.0767858,0.0061569220871492475,0.6569284474859235,0.6507715253987743
A021,T3,Source,0.36036015,74.19,-0.07866058,0.44496876210312164,0.6541674839404531,0.20919872183733146
A021,T4,Source,1.0062183,140.39,0.34730133,1.1954099586161613,1.281475917606781,0.08606595899061964
A022,T1,Source,0.1581856,1.0,-0.6056523,0.21005632628964568,-0.12192620581768542,-0.3319825321073311
