composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours
A048_T3,A048,3,-0.55355513,0.033312414,81.15
A048_T4,A048,4,-0.6172761,0.033312414,146.3
A049_T1,A049,1,0.015095141,0.033312414,1.0
A049_T2,A049,2,-0.5101858,0.033312414,27.12
A049_T3,A049,3,-0.24321106,0.033312414,111.38
A049_T4,A049,4,-0.5534761,0.033312414,168.86
A050_T1,A050,1,-0.332139,0.033312414,1.0
A050_T2,A050,2,-0.4592812,0.033312414,24.73
A050_T3,A050,3,-0.8918068,0.033312414,93.39
A050_T4,A050,4,-0.8248155,0.033312414,148.69
A051_T1,A051,1,-0.13511,0.033312414,1.0
A051_T2,A051,2,-0.09387231,0.033312414,17.16
A051_T3,A051,3,-0.7147496,0.033312414,65.63
A051_T4,A051,4,-0.6880791,0.033312414,146.99
A052_T1,A052,1,-0.40401456,0.033312414,1.0
A052_T2,A052,2,-0.69656724,0.033312414,31.76
A052_T3,A052,3,-1.0056021,0.033312414,80.98
A052_T4,A052,4,-0.76403254,0.033312414,153.27
A053_T1,A053,1,-0.17432423,0.033312414,1.0
A053_T2,A053,2,-1.1278566,0.033312414,32.71
A053_T3,A053,3,-1.4379783,0.033312414,78.28
A053_T4,A053,4,-1.3163345,0.033312414,148.9
A054_T1,A054,1,0.04235199,0.033312414,1.0
A054_T2,A054,2,-0.22945482,0.033312414,16.9
A054_T3,A054,3,-0.26918104,0.033312414,72.83
A054_T4,A054,4,-0.102685206,0.033312414,136.83
A055_T1,A055,1,-0.21229054,0.033312414,1.0
A055_T2,A055,2,-0.93653405,0.033312414,23.24
A055_T3,A055,3,-0.8401974,0.033312414,74.48
A055_T4,A055,4,-1.260757,0.033312414,149.21
A056_T1,A056,1,-0.77102643,0.033312414,1.0
A056_T2,A056,2,-0.93695015,0.033312414,33.61
A056_T3,A056,3,-0.7083756,0.033312414,71.46
A056_T4,A056,4,-0.79573447,0.033312414,147.84
A057_T1,A057,1,-0.47107366,0.033312414,1.0
A057_T2,A057,2,-0.55252665,0.033312414,24.78
A057_T3,A057,3,-0.6045535,0.033312414,73.83
A057_T4,A057,4,-0.5674088,0.033312414,145.06
A058_T1,A058,1,-0.16339521,0.033312414,1.0
A058_T2,A058,2,-0.3716868,0.033312414,22.96
A058_T3,A058,3,-1.0395465,0.033312414,66.28
A058_T4,A058,4,-0.97823644,0.033312414,143.48
