composite_ID,theta_common,theta_congruent,theta_incongruent,se_common,se_congruent,se_incongruent
A028_4,-0.5826775,-0.038615983,-0.9725693,0.18400842413844493,0.18106223414529843,0.18505578640153708
A029_1,2.2530708,1.7378947,1.9167669,0.18400842413844493,0.18106223414529843,0.18505578640153708
A029_2,0.41538906,-0.9272173,1.140486,0.18400842413844493,0.18106223414529843,0.18505578640153708
A029_3,0.93080026,1.1811956,1.1815624,0.18400842413844493,0.18106223414529843,0.18505578640153708
A029_4,0.8313629,0.7804966,0.043727495,0.18400842413844493,0.18106223414529843,0.18505578640153708
A030_1,0.110823154,-0.1408942,0.63336307,0.18400842413844493,0.18106223414529843,0.18505578640153708
A030_2,0.6285764,1.2975142,0.7918029,0.18400842413844493,0.18106223414529843,0.18505578640153708
A030_3,0.47525972,0.37412316,0.16389638,0.18400842413844493,0.18106223414529843,0.18505578640153708
A030_4,0.35158563,0.62703794,0.56918657,0.18400842413844493,0.18106223414529843,0.18505578640153708
A031_1,1.8025846,0.53926486,2.1721756,0.18400842413844493,0.18106223414529843,0.18505578640153708
A031_2,0.58450854,0.10489726,-0.4877951,0.18400842413844493,0.18106223414529843,0.18505578640153708
A031_3,0.31304246,-0.4222134,-0.5516553,0.18400842413844493,0.18106223414529843,0.18505578640153708
A031_4,-0.8862273,-0.42270255,-1.3210775,0.18400842413844493,0.18106223414529843,0.18505578640153708
A032_1,0.998798,-0.49187222,0.8312343,0.18400842413844493,0.18106223414529843,0.18505578640153708
A032_2,-0.5121961,0.76923513,-0.9049854,0.18400842413844493,0.18106223414529843,0.18505578640153708
A032_3,0.5805963,0.92382336,-0.07961072,0.18400842413844493,0.18106223414529843,0.18505578640153708
A032_4,1.60355,1.4125845,1.8540484,0.18400842413844493,0.18106223414529843,0.18505578640153708
A033_1,-0.38520437,-0.24988694,0.54413176,0.18400842413844493,0.18106223414529843,0.18505578640153708
A033_2,-0.2778752,0.8445821,0.3819758,0.18400842413844493,0.18106223414529843,0.18505578640153708
A033_3,1.2231297,0.33838764,0.6289942,0.18400842413844493,0.18106223414529843,0.18505578640153708
A033_4,-0.12341289,-0.31648463,-0.3299538,0.18400842413844493,0.18106223414529843,0.18505578640153708
A034_1,2.065888,1.4703524,1.3940313,0.18400842413844493,0.18106223414529843,0.18505578640153708
A034_2,1.2388388,0.78901863,1.3318385,0.18400842413844493,0.18106223414529843,0.18505578640153708
