composite_ID,UID,TEST,CTT_full_what,CTT_full_where,CTT_full_when
A028_3,A028,3,0.6551724137931034,0.605,0.5769230769230769
A028_4,A028,4,0.8620689655172413,0.445,0.5576923076923077
A029_1,A029,1,0.8620689655172413,0.86,0.38461538461538464
A029_2,A029,2,0.7586206896551724,0.69,0.4423076923076923
A029_3,A029,3,0.896551724137931,0.73,0.4423076923076923
A029_4,A029,4,0.9310344827586207,0.725,0.5576923076923077
A030_1,A030,1,0.7241379310344828,0.665,0.4423076923076923
A030_2,A030,2,0.896551724137931,0.725,0.46153846153846156
A030_3,A030,3,0.6551724137931034,0.64,0.38461538461538464
A030_4,A030,4,0.7586206896551724,0.695,0.3076923076923077
A031_1,A031,1,0.9655172413793104,0.885,0.5384615384615384
A031_2,A031,2,0.7586206896551724,0.645,0.34615384615384615
A031_3,A031,3,0.7931034482758621,0.575,0.4423076923076923
A031_4,A031,4,0.7586206896551724,0.485,0.38461538461538464
A032_1,A032,1,0.8448275862068966,0.68,0.4423076923076923
A032_2,A032,2,0.7931034482758621,0.525,0.3076923076923077
A032_3,A032,3,0.8620689655172413,0.645,0.6346153846153846
A032_4,A032,4,0.9655172413793104,0.755,0.5192307692307693
A033_1,A033,1,0.8620689655172413,0.675,0.5192307692307693
A033_2,A033,2,0.7586206896551724,0.69,0.5576923076923077
A033_3,A033,3,0.896551724137931,0.62,0.5192307692307693
A033_4,A033,4,0.8275862068965517,0.505,0.7115384615384616
A034_1,A034,1,0.896551724137931,0.86,0.75
A034_2,A034,2,0.8275862068965517,0.7,0.5576923076923077
A034_3,A034,3,0.8275862068965517,0.54,0.5
A034_4,A034,4,0.7931034482758621,0.54,0.46153846153846156
A035_1,A035,1,0.8275862068965517,0.545,0.6730769230769231
A035_2,A035,2,0.8620689655172413,0.68,0.5384615384615384
A035_3,A035,3,0.7586206896551724,0.525,0.40384615384615385
A035_4,A035,4,0.7241379310344828,0.44,0.4230769230769231
A036_1,A036,1,0.9310344827586207,0.815,0.5192307692307693
A036_2,A036,2,0.7931034482758621,0.53,0.5192307692307693
A036_3,A036,3,0.7758620689655172,0.54,0.4807692307692308
A036_4,A036,4,0.7931034482758621,0.405,0.36538461538461536
A037_1,A037,1,0.9310344827586207,0.745,0.6153846153846154
A037_2,A037,2,0.9310344827586207,0.75,0.6346153846153846
A037_3,A037,3,0.896551724137931,0.68,0.5576923076923077
A037_4,A037,4,0.8275862068965517,0.59,0.40384615384615385
A038_1,A038,1,0.9310344827586207,0.705,0.5
A038_2,A038,2,0.7586206896551724,0.625,0.4423076923076923
A038_3,A038,3,0.8275862068965517,0.74,0.6730769230769231
A038_4,A038,4,0.8275862068965517,0.535,0.5961538461538461
