UID,Source_intercept_z,Source_slope_z,Destination_intercept_z,Destination_slope_z
A084,-1.6340558371844938,1.7318703251614442,-1.5227372454111674,1.414651860463784
A085,0.9934595220024257,0.18878497503527092,1.225464564957809,-1.303879155505978
A086,0.8210061670675434,-1.2849491445200067,0.6478545885790903,-0.956769961099707
A087,0.8185995553989707,1.0118325823259935,1.2668321175298873,-0.892447496651329
A088,0.6199684021527591,0.8982321868069001,1.1065210168390065,0.7854790808523976
A089,0.9884377552183762,0.2702253215437075,0.5002176458655282,0.10870227492004221
A090,-2.023112002003396,0.3469347783646468,-1.9885504635949112,0.6708964823261446
A091,-0.2749031082548625,0.43452157093248706,0.07388279412574938,0.818037631607847
A092,0.3834997099725951,-1.5654734370525998,0.02012288349689494,-0.8942595717422789
A093,-0.7327509800315181,-1.9917922116993176,-0.6788566829094443,-1.8233960751764726
A094,-1.5580091008386696,0.3634784626689783,-1.541898746146197,1.2179446292195424
A095,0.2245578230069268,-0.3649208208119078,-0.1033607772911249,-0.7363826708202914
A096,0.18393209933080765,0.5265787101969094,0.5560816079607827,-0.09420507869919437
A097,-1.9313691717310895,0.6206626524636528,-1.853369494622764,0.8993238513360202
A098,1.1262075828752525,0.2570761808813066,-0.02957023974388804,0.9469227178175167
A099,0.704880753323278,1.8664729095294579,1.0392804950259396,1.2996885710910884
A100,-1.0065657744992171,-0.486692244025105,-0.612813359748223,-0.4787153692120466
A101,-1.3951063671598916,-0.751153664653611,-1.0910003365570737,-0.6201872511378446
A102,0.21329960985543395,0.8015902827764206,0.13771143077892756,0.6507003936473809
A103,-2.066640098879372,0.9970034109796598,-1.783089464656844,1.0810094384151505
A104,0.8807969651116483,-1.8282687075718773,0.8313949273205202,-1.6485555277895496
A105,1.1977689321704232,-0.4889576095289136,1.0711878427824462,-0.47265856298129405
A106,0.1507845929506448,0.9385149355133366,0.48936151520040494,1.0445481559185756
A107,-2.39126645218984,1.3354679433415522,-2.2493696810768267,1.515298807431897
A108,-0.7199031106395825,1.1345881224513896,-0.47817935789148247,0.2674291270067203
A109,-1.8703078939320135,1.1584343508244186,-1.6956527327323203,1.1199001382189044
