composite_ID,UID,test,TSVR_hours,log_TSVR,congruence,theta
A050_T2,A050,T2,24.73,3.2476576262936527,Common,-0.38214108
A050_T3,A050,T3,93.39,4.547435135336853,Common,-1.0932621
A050_T4,A050,T4,148.69,5.008566488927144,Common,-1.1369693
A051_T1,A051,T1,1.0,0.6931471805599453,Common,-0.1427674
A051_T2,A051,T2,17.16,2.8992213731731473,Common,-0.0180678
A051_T3,A051,T3,65.63,4.199154926574446,Common,-0.75081813
A051_T4,A051,T4,146.99,4.997144703913756,Common,-0.4435967
A052_T1,A052,T1,1.0,0.6931471805599453,Common,-0.34527895
A052_T2,A052,T2,31.76,3.4892082589848687,Common,-0.7431454
A052_T3,A052,T3,80.98,4.406475315076191,Common,-0.986809
A052_T4,A052,T4,153.27,5.038704314023848,Common,-0.28507993
A053_T1,A053,T1,1.0,0.6931471805599453,Common,-0.3031828
A053_T2,A053,T2,32.71,3.5177945292459696,Common,-1.2663192
A053_T3,A053,T3,78.28,4.372985890021733,Common,-1.2928076
A053_T4,A053,T4,148.9,5.009968405108552,Common,-1.3837078
A054_T1,A054,T1,1.0,0.6931471805599453,Common,0.055992164
A054_T2,A054,T2,16.9,2.884800712846709,Common,-0.2749754
A054_T3,A054,T3,72.83,4.3017651530710745,Common,-0.23104689
A054_T4,A054,T4,136.83,4.926021041706347,Common,0.0028328076
A055_T1,A055,T1,1.0,0.6931471805599453,Common,-0.37749407
A055_T2,A055,T2,23.24,3.1880041612011136,Common,-0.7459115
A055_T3,A055,T3,74.48,4.32386772050035,Common,-0.9071342
A055_T4,A055,T4,149.21,5.012034315009963,Common,-1.0399915
A056_T1,A056,T1,1.0,0.6931471805599453,Common,-0.63183635
A056_T2,A056,T2,33.61,3.544142657647253,Common,-1.0538106
A056_T3,A056,T3,71.46,4.283034685466931,Common,-0.83451813
A056_T4,A056,T4,147.84,5.002871903478422,Common,-1.1291757
A057_T1,A057,T1,1.0,0.6931471805599453,Common,-0.3781515
A057_T2,A057,T2,24.78,3.2495989975110415,Common,-0.49861082
A057_T3,A057,T3,73.83,4.315218874092267,Common,-0.8692454
A057_T4,A057,T4,145.06,4.984017496191964,Common,-1.5926012
A058_T1,A058,T1,1.0,0.6931471805599453,Common,-0.50856215
A058_T2,A058,T2,22.96,3.1763857732472487,Common,-0.8705854
A058_T3,A058,T3,66.28,4.208863015664693,Common,-0.49992105
A058_T4,A058,T4,143.48,4.973141089668675,Common,-1.0911849
A059_T1,A059,T1,1.0,0.6931471805599453,Common,-0.58194417
A059_T2,A059,T2,30.4,3.4468078929142076,Common,-0.45171306
A059_T3,A059,T3,79.78,4.391729410135267,Common,-0.76211786
A059_T4,A059,T4,151.93,5.029980300360032,Common,-0.7820105
A060_T1,A060,T1,1.0,0.6931471805599453,Common,-0.667275
A060_T2,A060,T2,24.87,3.2530839961979376,Common,-0.1943874
A060_T3,A060,T3,94.68,4.561009290202322,Common,-0.3353686
A060_T4,A060,T4,143.91,4.976112860057833,Common,-0.26642832
A061_T1,A061,T1,1.0,0.6931471805599453,Common,0.43646482
A061_T2,A061,T2,35.16,3.5879535355239756,Common,0.12845066
A061_T3,A061,T3,82.55,4.425445255041403,Common,-0.3274512
A061_T4,A061,T4,146.56,4.994234872728475,Common,-0.120336734
A062_T1,A062,T1,1.0,0.6931471805599453,Common,-0.15240881
A062_T2,A062,T2,44.69,3.8218794555751803,Common,-0.84355515
A062_T3,A062,T3,92.72,4.540311613639595,Common,-0.86031556
A062_T4,A062,T4,149.18,5.011834574671738,Common,-1.4483544
A063_T1,A063,T1,1.0,0.6931471805599453,Common,-1.4412994
A063_T2,A063,T2,21.98,3.1346242724206097,Common,-1.9174238
A063_T3,A063,T3,69.99,4.262539022051294,Common,-2.1332345
A063_T4,A063,T4,141.09,4.956460659649984,Common,-2.163518
A064_T1,A064,T1,1.0,0.6931471805599453,Common,-0.07821866
A064_T2,A064,T2,37.65,3.654546775033431,Common,-0.6491142
A064_T3,A064,T3,82.99,4.430697744137536,Common,-0.7719172
A064_T4,A064,T4,156.21,5.057582491203423,Common,-0.382498
A065_T1,A065,T1,1.0,0.6931471805599453,Common,-0.31965527
A065_T2,A065,T2,32.31,3.5058576522055884,Common,-1.4710925
A065_T3,A065,T3,106.41,4.676653287609955,Common,-2.158764
A065_T4,A065,T4,187.43,5.238726585134399,Common,-1.8860052
A066_T1,A066,T1,1.0,0.6931471805599453,Common,-0.59106106
A066_T2,A066,T2,23.35,3.192531849528599,Common,-0.4709755
A066_T3,A066,T3,73.79,4.314684186203576,Common,-0.6867184
A066_T4,A066,T4,164.93,5.111566012674697,Common,-1.4855847
A067_T1,A067,T1,1.0,0.6931471805599453,Common,-0.44934604
A067_T2,A067,T2,29.91,3.431079756144025,Common,-1.4495013
A067_T3,A067,T3,73.19,4.306629370201435,Common,-1.3997421
A067_T4,A067,T4,144.19,4.978043229495596,Common,-1.5877099
A068_T1,A068,T1,1.0,0.6931471805599453,Common,-0.009209357
A068_T2,A068,T2,30.49,3.4496700351129332,Common,0.17079535
A068_T3,A068,T3,82.98,4.430578675256047,Common,-0.15354642
A068_T4,A068,T4,155.59,5.053630924557352,Common,-0.38507792
A069_T1,A069,T1,1.0,0.6931471805599453,Common,-0.66592807
A069_T2,A069,T2,24.96,3.2565568918358894,Common,-1.353698
A069_T3,A069,T3,79.75,4.391357962102766,Common,-1.8940883
A069_T4,A069,T4,140.22,4.950318958088201,Common,-1.294989
A070_T1,A070,T1,1.0,0.6931471805599453,Common,-0.2944568
A070_T2,A070,T2,24.25,3.228826155721369,Common,-0.25809857
A070_T3,A070,T3,81.92,4.417876287567579,Common,-1.2852252
A070_T4,A070,T4,149.2,5.011967739330034,Common,-1.4394832
A071_T1,A071,T1,1.0,0.6931471805599453,Common,-0.10265418
A071_T2,A071,T2,30.92,3.463232772581608,Common,-0.7990089
A071_T3,A071,T3,79.96,4.3939552055391555,Common,-0.95877886
A071_T4,A071,T4,153.27,5.038704314023848,Common,-1.0993855
A072_T1,A072,T1,1.0,0.6931471805599453,Common,-0.038571082
A072_T2,A072,T2,33.76,3.548467300397191,Common,-0.11431464
A072_T3,A072,T3,83.54,4.437224795138644,Common,-0.73253006
A072_T4,A072,T4,154.89,5.04915063032459,Common,-0.8838689
A073_T1,A073,T1,1.0,0.6931471805599453,Common,-0.91594857
A073_T2,A073,T2,66.66,4.214495163352562,Common,-1.3183289
A073_T3,A073,T3,66.9,4.21803603456465,Common,-1.1100917
A073_T4,A073,T4,140.12,4.949610592258481,Common,-1.4069734
A074_T1,A074,T1,1.0,0.6931471805599453,Common,-0.21407244
A074_T2,A074,T2,29.33,3.41213732170049,Common,-0.7116513
A074_T3,A074,T3,73.02,4.30433532695801,Common,-1.0905019
A074_T4,A074,T4,147.21,4.998630186968824,Common,-0.96678317
A075_T1,A075,T1,1.0,0.6931471805599453,Common,-0.6506318
A075_T2,A075,T2,28.68,3.39047341829918,Common,-0.53351396
A075_T3,A075,T3,71.37,4.281791848878036,Common,-1.6622175
A075_T4,A075,T4,244.53,5.5034191393614815,Common,-1.023917
A076_T1,A076,T1,1.0,0.6931471805599453,Common,-0.96524686
A076_T2,A076,T2,27.3,3.342861804649192,Common,-0.9286484
A076_T3,A076,T3,74.88,4.3291531450668135,Common,-1.2137277
A076_T4,A076,T4,149.28,5.0125002207057685,Common,-1.6388084
A077_T1,A077,T1,1.0,0.6931471805599453,Common,0.01552061
A077_T2,A077,T2,53.88,4.00514898341763,Common,-0.7729823
A077_T3,A077,T3,78.36,4.373994462976618,Common,-0.64422625
A077_T4,A077,T4,149.75,5.015622835607295,Common,-0.57616574
A078_T1,A078,T1,1.0,0.6931471805599453,Common,-1.0375516
A078_T2,A078,T2,26.17,3.3021134234382563,Common,-0.8626594
