UID,test,composite_ID,calibration,TSVR_hours,Age,Age_c,mean_Age
A041,T1,A041_T1,0.2289407062837787,1.0,35.0,-9.57,44.57
A041,T2,A041_T2,2.0104489121293665,31.78,35.0,-9.57,44.57
A041,T3,A041_T3,0.5009500842274317,75.74,35.0,-9.57,44.57
A041,T4,A041_T4,-0.0126920991255052,141.84,35.0,-9.57,44.57
A042,T1,A042_T1,0.5588315027004311,1.0,38.0,-6.57,44.57
A042,T2,A042_T2,-0.1199459240475449,28.93,38.0,-6.57,44.57
A042,T3,A042_T3,-0.3083135490597204,72.17,38.0,-6.57,44.57
A042,T4,A042_T4,1.01988824696155,146.02,38.0,-6.57,44.57
A043,T1,A043_T1,1.0682669245308178,1.0,38.0,-6.57,44.57
A043,T2,A043_T2,1.2548430304338702,25.62,38.0,-6.57,44.57
A043,T3,A043_T3,0.4641913740339249,64.94,38.0,-6.57,44.57
A043,T4,A043_T4,0.5665146474160252,149.33,38.0,-6.57,44.57
A044,T1,A044_T1,-0.9102783751764528,1.0,38.0,-6.57,44.57
A044,T2,A044_T2,-0.3672146903473121,47.66,38.0,-6.57,44.57
A044,T3,A044_T3,0.1086947813832428,91.63,38.0,-6.57,44.57
A044,T4,A044_T4,-0.2472848568522072,155.27,38.0,-6.57,44.57
A045,T1,A045_T1,0.4077932545265129,1.0,37.0,-7.57,44.57
A045,T2,A045_T2,1.0244875285669877,24.66,37.0,-7.57,44.57
A045,T3,A045_T3,0.2299860108340127,72.23,37.0,-7.57,44.57
A045,T4,A045_T4,1.238604949801163,151.52,37.0,-7.57,44.57
A046,T1,A046_T1,0.7559131233985893,1.0,38.0,-6.57,44.57
A046,T2,A046_T2,0.5376196819711218,24.32,38.0,-6.57,44.57
A046,T3,A046_T3,-0.1978685446501467,73.05,38.0,-6.57,44.57
A046,T4,A046_T4,-0.932468823387467,147.94,38.0,-6.57,44.57
A047,T1,A047_T1,0.9242581707211228,1.0,36.0,-8.57,44.57
A047,T2,A047_T2,0.160216966771398,23.46,36.0,-8.57,44.57
A047,T3,A047_T3,-0.4139472193519178,76.85,36.0,-8.57,44.57
A047,T4,A047_T4,-0.7401338531604185,144.22,36.0,-8.57,44.57
A048,T1,A048_T1,-0.3583215500364149,1.0,38.0,-6.57,44.57
A048,T2,A048_T2,0.4507853222362559,23.91,38.0,-6.57,44.57
A048,T3,A048_T3,0.0385052141587894,81.15,38.0,-6.57,44.57
A048,T4,A048_T4,-0.0594356671347235,146.3,38.0,-6.57,44.57
A049,T1,A049_T1,-0.7205883122737056,1.0,35.0,-9.57,44.57
A049,T2,A049_T2,0.8537914353798579,27.12,35.0,-9.57,44.57
A049,T3,A049_T3,0.5071041785902677,111.38,35.0,-9.57,44.57
A049,T4,A049_T4,0.1537682857331954,168.86,35.0,-9.57,44.57
A050,T1,A050_T1,1.1244117313655746,1.0,41.0,-3.5700000000000003,44.57
A050,T2,A050_T2,1.1639404051994866,24.73,41.0,-3.5700000000000003,44.57
A050,T3,A050_T3,0.3885245589896838,93.39,41.0,-3.5700000000000003,44.57
A050,T4,A050_T4,0.7679938225977156,148.69,41.0,-3.5700000000000003,44.57
A051,T1,A051_T1,-0.4557197519622262,1.0,41.0,-3.5700000000000003,44.57
A051,T2,A051_T2,1.5791011277852771,17.16,41.0,-3.5700000000000003,44.57
A051,T3,A051_T3,0.5076508584459176,65.63,41.0,-3.5700000000000003,44.57
A051,T4,A051_T4,0.6413563496266054,146.99,41.0,-3.5700000000000003,44.57
A052,T1,A052_T1,-0.0835438632511342,1.0,43.0,-1.5700000000000003,44.57
A052,T2,A052_T2,-0.5482356577398478,31.76,43.0,-1.5700000000000003,44.57
A052,T3,A052_T3,-0.978734117509918,80.98,43.0,-1.5700000000000003,44.57
A052,T4,A052_T4,0.5835395650034292,153.27,43.0,-1.5700000000000003,44.57
A053,T1,A053_T1,-0.4180965795388685,1.0,44.0,-0.5700000000000003,44.57
A053,T2,A053_T2,-2.172459616074017,32.71,44.0,-0.5700000000000003,44.57
A053,T3,A053_T3,-1.422520390816015,78.28,44.0,-0.5700000000000003,44.57
A053,T4,A053_T4,-1.4310574884238978,148.9,44.0,-0.5700000000000003,44.57
A054,T1,A054_T1,1.0118212124680213,1.0,43.0,-1.5700000000000003,44.57
A054,T2,A054_T2,-0.2531767541870483,16.9,43.0,-1.5700000000000003,44.57
A054,T3,A054_T3,-0.4141267592044431,72.83,43.0,-1.5700000000000003,44.57
A054,T4,A054_T4,-0.076898573885676,136.83,43.0,-1.5700000000000003,44.57
A055,T1,A055_T1,0.6768845533808683,1.0,44.0,-0.5700000000000003,44.57
A055,T2,A055_T2,-1.6121194677123647,23.24,44.0,-0.5700000000000003,44.57
A055,T3,A055_T3,-0.3463091783808221,74.48,44.0,-0.5700000000000003,44.57
A055,T4,A055_T4,-0.7891747551370623,149.21,44.0,-0.5700000000000003,44.57
A056,T1,A056_T1,-0.8728015525067573,1.0,42.0,-2.5700000000000003,44.57
A056,T2,A056_T2,-1.2794167911554917,33.61,42.0,-2.5700000000000003,44.57
A056,T3,A056_T3,0.2680196684363179,71.46,42.0,-2.5700000000000003,44.57
A056,T4,A056_T4,0.6401139907301301,147.84,42.0,-2.5700000000000003,44.57
A057,T1,A057_T1,-0.143428243130111,1.0,40.0,-4.57,44.57
A057,T2,A057_T2,1.011848058278139,24.78,40.0,-4.57,44.57
A057,T3,A057_T3,0.793609878739593,73.83,40.0,-4.57,44.57
A057,T4,A057_T4,1.310063940034227,145.06,40.0,-4.57,44.57
A058,T1,A058_T1,0.0101553158196574,1.0,42.0,-2.5700000000000003,44.57
A058,T2,A058_T2,1.5032215866816625,22.96,42.0,-2.5700000000000003,44.57
A058,T3,A058_T3,-0.8053510250098723,66.28,42.0,-2.5700000000000003,44.57
A058,T4,A058_T4,0.3377227430301153,143.48,42.0,-2.5700000000000003,44.57
A059,T1,A059_T1,-0.7479512695607464,1.0,43.0,-1.5700000000000003,44.57
A059,T2,A059_T2,-0.9370711363464804,30.4,43.0,-1.5700000000000003,44.57
A059,T3,A059_T3,-2.2175106836345737,79.78,43.0,-1.5700000000000003,44.57
A059,T4,A059_T4,-0.2714575867155487,151.93,43.0,-1.5700000000000003,44.57
A060,T1,A060_T1,0.3650945133545552,1.0,48.0,3.4299999999999997,44.57
A060,T2,A060_T2,-0.6197274898425578,24.87,48.0,3.4299999999999997,44.57
A060,T3,A060_T3,1.0852105630949551,94.68,48.0,3.4299999999999997,44.57
A060,T4,A060_T4,0.4396046691043397,143.91,48.0,3.4299999999999997,44.57
A061,T1,A061_T1,-0.0726014106015484,1.0,47.0,2.4299999999999997,44.57
A061,T2,A061_T2,0.7154718655623521,35.16,47.0,2.4299999999999997,44.57
A061,T3,A061_T3,0.6661988836151741,82.55,47.0,2.4299999999999997,44.57
A061,T4,A061_T4,1.206798787623641,146.56,47.0,2.4299999999999997,44.57
A062,T1,A062_T1,-0.6054532722546289,1.0,48.0,3.4299999999999997,44.57
A062,T2,A062_T2,0.3359185359137962,44.69,48.0,3.4299999999999997,44.57
A062,T3,A062_T3,-0.6971480607838345,92.72,48.0,3.4299999999999997,44.57
A062,T4,A062_T4,0.636479880614445,149.18,48.0,3.4299999999999997,44.57
A063,T1,A063_T1,-2.2694593246289005,1.0,45.0,0.4299999999999997,44.57
A063,T2,A063_T2,-3.834381846167501,21.98,45.0,0.4299999999999997,44.57
A063,T3,A063_T3,-1.3620964928429309,69.99,45.0,0.4299999999999997,44.57
A063,T4,A063_T4,-0.4083996336675679,141.09,45.0,0.4299999999999997,44.57
A064,T1,A064_T1,0.2458453645394963,1.0,47.0,2.4299999999999997,44.57
A064,T2,A064_T2,-0.2694586281905501,37.65,47.0,2.4299999999999997,44.57
A064,T3,A064_T3,0.0671127952215428,82.99,47.0,2.4299999999999997,44.57
A064,T4,A064_T4,0.023901058046982,156.21,47.0,2.4299999999999997,44.57
A065,T1,A065_T1,2.011685124399882,1.0,47.0,2.4299999999999997,44.57
A065,T2,A065_T2,-0.3909846813113087,32.31,47.0,2.4299999999999997,44.57
A065,T3,A065_T3,3.150575507317323,106.41,47.0,2.4299999999999997,44.57
A065,T4,A065_T4,2.501825224602245,187.43,47.0,2.4299999999999997,44.57
A066,T1,A066_T1,-0.5898091720962972,1.0,47.0,2.4299999999999997,44.57
A066,T2,A066_T2,0.7368300075551246,23.35,47.0,2.4299999999999997,44.57
A066,T3,A066_T3,0.7766403967094219,73.79,47.0,2.4299999999999997,44.57
A066,T4,A066_T4,-0.2949230182059861,164.93,47.0,2.4299999999999997,44.57
A067,T1,A067_T1,-0.3631384630687159,1.0,48.0,3.4299999999999997,44.57
A067,T2,A067_T2,0.3226129250409202,29.91,48.0,3.4299999999999997,44.57
A067,T3,A067_T3,0.8226625672476426,73.19,48.0,3.4299999999999997,44.57
A067,T4,A067_T4,1.282432934460885,144.19,48.0,3.4299999999999997,44.57
A068,T1,A068_T1,0.4742616771584744,1.0,49.0,4.43,44.57
A068,T2,A068_T2,1.0508375586333016,30.49,49.0,4.43,44.57
A068,T3,A068_T3,0.3171271524497518,82.98,49.0,4.43,44.57
A068,T4,A068_T4,0.7654456652804683,155.59,49.0,4.43,44.57
A069,T1,A069_T1,0.5921532273597412,1.0,46.0,1.4299999999999997,44.57
A069,T2,A069_T2,1.0661526639370622,24.96,46.0,1.4299999999999997,44.57
A069,T3,A069_T3,0.4929627025603237,79.75,46.0,1.4299999999999997,44.57
A069,T4,A069_T4,0.8854942500485891,140.22,46.0,1.4299999999999997,44.57
A070,T1,A070_T1,-0.3150595114227973,1.0,52.0,7.43,44.57
A070,T2,A070_T2,0.3320777715963908,24.25,52.0,7.43,44.57
A070,T3,A070_T3,-0.3631453041584814,81.92,52.0,7.43,44.57
A070,T4,A070_T4,0.2669091614246992,149.2,52.0,7.43,44.57
A071,T1,A071_T1,0.1485349656957695,1.0,50.0,5.43,44.57
A071,T2,A071_T2,-1.3096196794307795,30.92,50.0,5.43,44.57
A071,T3,A071_T3,-0.8406720989686447,79.96,50.0,5.43,44.57
A071,T4,A071_T4,-0.2261830276970183,153.27,50.0,5.43,44.57
A072,T1,A072_T1,0.2579207055402199,1.0,50.0,5.43,44.57
A072,T2,A072_T2,0.9510345487283368,33.76,50.0,5.43,44.57
A072,T3,A072_T3,0.5602793688514218,83.54,50.0,5.43,44.57
A072,T4,A072_T4,0.1193454309030735,154.89,50.0,5.43,44.57
A073,T1,A073_T1,-1.1852665042492538,1.0,51.0,6.43,44.57
A073,T2,A073_T2,-0.1001858607469218,66.66,51.0,6.43,44.57
A073,T3,A073_T3,-0.4834271728390105,66.9,51.0,6.43,44.57
A073,T4,A073_T4,-1.748301387643724,140.12,51.0,6.43,44.57
A074,T1,A074_T1,0.0232697725229749,1.0,53.0,8.43,44.57
A074,T2,A074_T2,0.5337244045657031,29.33,53.0,8.43,44.57
A074,T3,A074_T3,0.4462348328209446,73.02,53.0,8.43,44.57
A074,T4,A074_T4,0.6113430053991945,147.21,53.0,8.43,44.57
A075,T1,A075_T1,-0.2422833748110246,1.0,53.0,8.43,44.57
A075,T2,A075_T2,-0.0637220439599514,28.68,53.0,8.43,44.57
A075,T3,A075_T3,1.5705134746493383,71.37,53.0,8.43,44.57
A075,T4,A075_T4,0.0903977757576882,244.53,53.0,8.43,44.57
A076,T1,A076_T1,-0.1688127156235882,1.0,54.0,9.43,44.57
A076,T2,A076_T2,0.1344866940540305,27.3,54.0,9.43,44.57
A076,T3,A076_T3,0.4553358195069592,74.88,54.0,9.43,44.57
A076,T4,A076_T4,1.792638792803897,149.28,54.0,9.43,44.57
A077,T1,A077_T1,-0.3372789760596821,1.0,52.0,7.43,44.57
A077,T2,A077_T2,0.4105768535026276,53.88,52.0,7.43,44.57
A077,T3,A077_T3,-0.9724733787934704,78.36,52.0,7.43,44.57
A077,T4,A077_T4,-0.0032280502099454,149.75,52.0,7.43,44.57
A078,T1,A078_T1,-0.78276064174706,1.0,50.0,5.43,44.57
A078,T2,A078_T2,-0.7294476049921486,26.17,50.0,5.43,44.57
A078,T3,A078_T3,0.2573848864336243,72.3,50.0,5.43,44.57
A078,T4,A078_T4,0.0277190333160608,140.08,50.0,5.43,44.57
A079,T1,A079_T1,-0.2612554312177284,1.0,50.0,5.43,44.57
A079,T2,A079_T2,1.3747361443215378,26.11,50.0,5.43,44.57
A079,T3,A079_T3,1.2584439278844628,74.0,50.0,5.43,44.57
A079,T4,A079_T4,0.7475400343448761,194.42,50.0,5.43,44.57
A080,T1,A080_T1,0.8666064968916687,1.0,56.0,11.43,44.57
A080,T2,A080_T2,0.1892364715416906,29.03,56.0,11.43,44.57
A080,T3,A080_T3,-0.5247219207769273,72.87,56.0,11.43,44.57
A080,T4,A080_T4,-0.6216601506196582,145.77,56.0,11.43,44.57
A081,T1,A081_T1,0.2771790908497432,1.0,55.0,10.43,44.57
A081,T2,A081_T2,0.58186285321784,31.39,55.0,10.43,44.57
A081,T3,A081_T3,-0.7374610577163788,80.13,55.0,10.43,44.57
A081,T4,A081_T4,0.0486784854435394,154.53,55.0,10.43,44.57
A082,T1,A082_T1,0.4526385750728861,1.0,58.0,13.43,44.57
A082,T2,A082_T2,-0.7900198536077144,27.97,58.0,13.43,44.57
A082,T3,A082_T3,-0.2631656861468455,75.71,58.0,13.43,44.57
A082,T4,A082_T4,-0.7403131835630635,170.25,58.0,13.43,44.57
A083,T1,A083_T1,-0.5458211853814092,1.0,58.0,13.43,44.57
A083,T2,A083_T2,-0.6029143712246692,25.15,58.0,13.43,44.57
A083,T3,A083_T3,0.2273729364771524,74.3,58.0,13.43,44.57
A083,T4,A083_T4,0.230672578339915,144.91,58.0,13.43,44.57
A084,T1,A084_T1,-2.319448678013727,1.0,59.0,14.43,44.57
A084,T2,A084_T2,-1.1527082036292906,27.25,59.0,14.43,44.57
A084,T3,A084_T3,-1.2689445031216542,91.97,59.0,14.43,44.57
A084,T4,A084_T4,-1.4598667464360948,162.51,59.0,14.43,44.57
A085,T1,A085_T1,0.1110414200082391,1.0,58.0,13.43,44.57
A085,T2,A085_T2,-0.3384128331744633,24.51,58.0,13.43,44.57
A085,T3,A085_T3,1.2528285762753,71.4,58.0,13.43,44.57
A085,T4,A085_T4,0.2295131597967827,170.65,58.0,13.43,44.57
A086,T1,A086_T1,0.3281290940622613,1.0,58.0,13.43,44.57
A086,T2,A086_T2,1.419627233636939,23.47,58.0,13.43,44.57
A086,T3,A086_T3,0.9881797407761432,145.29,58.0,13.43,44.57
A086,T4,A086_T4,0.8644707946316517,169.55,58.0,13.43,44.57
A087,T1,A087_T1,0.0129186290014353,1.0,59.0,14.43,44.57
A087,T2,A087_T2,-0.4153085796032216,31.07,59.0,14.43,44.57
A087,T3,A087_T3,0.4749429923904857,72.8,59.0,14.43,44.57
A087,T4,A087_T4,0.6281001951144995,144.2,59.0,14.43,44.57
A088,T1,A088_T1,-1.24833288917789,1.0,56.0,11.43,44.57
A088,T2,A088_T2,-1.6774393270563563,24.25,56.0,11.43,44.57
A088,T3,A088_T3,-0.6056121014610878,74.91,56.0,11.43,44.57
A088,T4,A088_T4,-0.4198793281063098,149.93,56.0,11.43,44.57
A089,T1,A089_T1,-0.4594871838921148,1.0,56.0,11.43,44.57
A089,T2,A089_T2,-0.4680894575771326,32.14,56.0,11.43,44.57
A089,T3,A089_T3,-0.6767609039608828,79.34,56.0,11.43,44.57
A089,T4,A089_T4,-0.5360296684127659,146.96,56.0,11.43,44.57
A090,T1,A090_T1,-2.637531370335712,1.0,61.0,16.43,44.57
A090,T2,A090_T2,-0.4989201687951188,23.54,61.0,16.43,44.57
A090,T3,A090_T3,0.6036624363154055,95.42,61.0,16.43,44.57
A090,T4,A090_T4,0.9446309332044004,144.07,61.0,16.43,44.57
A091,T1,A091_T1,0.1258927610272768,1.0,63.0,18.43,44.57
A091,T2,A091_T2,0.1623099676112991,22.2,63.0,18.43,44.57
A091,T3,A091_T3,0.7190610345695765,73.64,63.0,18.43,44.57
A091,T4,A091_T4,1.1679874630210758,142.61,63.0,18.43,44.57
A092,T1,A092_T1,0.934360696376246,1.0,60.0,15.43,44.57
A092,T2,A092_T2,0.9443467133095884,22.83,60.0,15.43,44.57
A092,T3,A092_T3,-0.1436208022011493,71.31,60.0,15.43,44.57
A092,T4,A092_T4,0.4677076115426488,146.16,60.0,15.43,44.57
A093,T1,A093_T1,0.7264601485838075,1.0,64.0,19.43,44.57
A093,T2,A093_T2,-0.6771119955344567,22.09,64.0,19.43,44.57
A093,T3,A093_T3,-2.171597874830002,70.22,64.0,19.43,44.57
A093,T4,A093_T4,-2.286758098398744,140.95,64.0,19.43,44.57
A094,T1,A094_T1,0.5388724867649658,1.0,60.0,15.43,44.57
A094,T2,A094_T2,-0.3106126397991332,22.98,60.0,15.43,44.57
A094,T3,A094_T3,0.7362081066798782,76.21,60.0,15.43,44.57
A094,T4,A094_T4,0.1130419051953341,149.99,60.0,15.43,44.57
A095,T1,A095_T1,-0.348583789081418,1.0,61.0,16.43,44.57
A095,T2,A095_T2,0.0756635919627166,29.71,61.0,16.43,44.57
A095,T3,A095_T3,0.8195011492381866,78.76,61.0,16.43,44.57
A095,T4,A095_T4,-0.1991807861629811,148.79,61.0,16.43,44.57
A096,T1,A096_T1,1.3664905173516504,1.0,60.0,15.43,44.57
A096,T2,A096_T2,-0.1119592010778052,24.49,60.0,15.43,44.57
A096,T3,A096_T3,1.4133352094400142,71.19,60.0,15.43,44.57
A096,T4,A096_T4,1.0726003575033611,143.66,60.0,15.43,44.57
A097,T1,A097_T1,-0.6089160745840848,1.0,64.0,19.43,44.57
A097,T2,A097_T2,-0.2224312689849781,24.37,64.0,19.43,44.57
A097,T3,A097_T3,-2.9120755648151806,70.83,64.0,19.43,44.57
A097,T4,A097_T4,-0.4471408665949998,144.85,64.0,19.43,44.57
A098,T1,A098_T1,0.1010415055157935,1.0,60.0,15.43,44.57
A098,T2,A098_T2,-0.1333312286417524,25.77,60.0,15.43,44.57
A098,T3,A098_T3,-0.1978007840561257,78.84,60.0,15.43,44.57
A098,T4,A098_T4,0.6959130474972957,146.29,60.0,15.43,44.57
