model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight,relative_likelihood,is_best
PowerLaw_Log,1074.5826178994575,1102.5228697292134,-530.2913089497288,6.0,False,5.601651291425696,0.013193556350985864,0.7348487074602047,0.06075987577884169,False
Quartic,1074.5937288639443,1110.516909787916,-528.2968644319722,8.0,False,5.6127622559124575,0.013120463005335087,0.7479691704655398,0.06042326126158386,False
PowerLaw_02,1074.596742954211,1098.545530236859,-531.2983714771055,5.0,False,5.615776346179246,0.01310070476743271,0.7610698752329724,0.06033226926150288,False
Recip+Log,1074.800989171339,1102.741241001095,-530.4004945856695,6.0,False,5.820022563307248,0.011828867228181685,0.7728987424611541,0.054475115296341275,False
Log+Recip,1074.800989171339,1102.741241001095,-530.4004945856695,6.0,False,5.820022563307248,0.011828867228181685,0.7847276096893357,0.054475115296341275,False
Log+LogLog,1074.8535152171123,1102.7937670468684,-530.4267576085563,6.0,False,5.872548609080468,0.011522249396848264,0.7962498590861827,0.05306305770945687,False
Recip+PowerLaw,1074.875872070229,1102.8161238999849,-530.4379360351145,6.0,False,5.89490546219713,0.011394165997358775,0.8076440250835415,0.052473199203131426,False
Recip+PowerLaw05,1074.875872070229,1102.8161238999849,-530.4379360351145,6.0,False,5.89490546219713,0.011394165997358775,0.8190381910809003,0.052473199203131426,False
PowerLaw_01,1074.9037631796846,1098.8525504623324,-531.4518815898423,5.0,False,5.922796571652725,0.01123637085953529,0.8302745619404355,0.05174651014996012,False
Lin+Quad+Log,1075.0413956489574,1106.9731120258214,-529.5206978244787,7.0,False,6.0604290409255555,0.010489132072529902,0.8407636940129654,0.04830527454465745,False
Quad+Log,1075.0413956489574,1106.9731120258214,-529.5206978244787,7.0,False,6.0604290409255555,0.010489132072529902,0.8512528260854952,0.04830527454465745,False
Exp+Recip,1075.1357597621554,1103.0760115919113,-530.5678798810777,6.0,False,6.154793154123581,0.010005726947615019,0.8612585530331103,0.046079063918855336,False
Recip+Lin,1075.1357597621568,1103.076011591913,-530.5678798810784,6.0,False,6.154793154124945,0.010005726947608193,0.8712642799807184,0.0460790639188239,False
Root_Multi,1075.2222256054488,1103.162477435205,-530.6111128027244,6.0,False,6.241258997416935,0.009582367608224828,0.8808466475889433,0.04412938028641772,False
Log,1075.235197979881,1099.1839852625287,-531.6175989899405,5.0,False,6.254231371849073,0.009520415710942864,0.8903670632998861,0.04384407513570797,False
Log10,1075.2351979798814,1099.1839852625292,-531.6175989899407,5.0,False,6.254231371849528,0.009520415710940701,0.8998874790108268,0.043844075135698005,False
Log2,1075.2351979798818,1099.1839852625296,-531.6175989899409,5.0,False,6.254231371849983,0.009520415710938536,0.9094078947217652,0.04384407513568803,False
CubeRoot+Log,1075.281054451316,1103.2213062810715,-530.6405272256579,6.0,False,6.3000878432842455,0.00930461281913293,0.9187125075408992,0.04285024477259237,False
SquareRoot+Log,1075.334995999763,1103.2752478295183,-530.6674979998813,6.0,False,6.354029391731046,0.009057014179939602,0.92776952172084,0.04170998644040487,False
Log+SquareRoot,1075.3349959997631,1103.275247829519,-530.6674979998816,6.0,False,6.354029391731274,0.009057014179938573,0.9368265359007784,0.04170998644040013,False
Quad+Log+SquareRoot,1075.420599497906,1111.343780421878,-528.710299748953,8.0,False,6.439632889874247,0.0086775372022521,0.9455040731030304,0.039962392887018486,False
SquareRoot+PowerLaw,1075.6718543888787,1103.6121062186346,-530.8359271944394,6.0,False,6.690887780846879,0.007653096295542502,0.953157169398573,0.03524456695907693,False
SquareRoot+Lin,1075.6967119038554,1103.6369637336113,-530.8483559519277,6.0,False,6.715745295823581,0.007558566478598858,0.960715735877172,0.03480923172556627,False
PowerLaw_Lin,1075.8409457650614,1103.7811975948173,-530.9204728825307,6.0,False,6.8599791570295565,0.007032657255445848,0.9677483931326176,0.03238727829469042,False
Exp+PowerLaw,1075.8409457650623,1103.7811975948182,-530.9204728825312,6.0,False,6.859979157030466,0.007032657255442649,0.9747810503880604,0.03238727829467569,False
Recip+Quad,1076.2900060256666,1108.2217224025303,-530.1450030128333,7.0,False,7.309039417634722,0.005618330142429924,0.9803993805304904,0.025873921515714448,False
Lin+Log+PowerLaw,1076.6906504279727,1108.6223668048367,-530.3453252139864,7.0,False,7.709683819940892,0.0045984178143154844,0.9849977983448058,0.02117695091029372,False
Sin+Log,1077.2131854774843,1105.1534373072402,-531.6065927387422,6.0,False,8.232218869452481,0.0035411260371773583,0.9885389243819832,0.016307837887852044,False
