model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight
Recip+Log,1074.800989171339,1102.741241001095,-530.4004945856695,6.0,False,5.820022563307248,0.011828867228181664,0.7728987424611541
Log+Recip,1074.800989171339,1102.741241001095,-530.4004945856695,6.0,False,5.820022563307248,0.011828867228181664,0.7847276096893357
Log+LogLog,1074.8535152171125,1102.7937670468684,-530.4267576085563,6.0,False,5.872548609080695,0.011522249396846934,0.7962498590861827
Recip+PowerLaw,1074.875872070229,1102.8161238999849,-530.4379360351145,6.0,False,5.89490546219713,0.011394165997358756,0.8076440250835415
Recip+PowerLaw05,1074.875872070229,1102.8161238999849,-530.4379360351145,6.0,False,5.89490546219713,0.011394165997358756,0.8190381910809003
PowerLaw_01,1074.9037631796846,1098.8525504623324,-531.4518815898423,5.0,False,5.922796571652725,0.01123637085953527,0.8302745619404355
Lin+Quad+Log,1075.0413956489574,1106.9731120258214,-529.5206978244787,7.0,False,6.0604290409255555,0.010489132072529883,0.8407636940129654
Quad+Log,1075.0413956489574,1106.9731120258214,-529.5206978244787,7.0,False,6.0604290409255555,0.010489132072529883,0.8512528260854952
Exp+Recip,1075.1357597621554,1103.0760115919113,-530.5678798810777,6.0,False,6.154793154123581,0.010005726947615002,0.8612585530331103
Recip+Lin,1075.1357597621568,1103.0760115919127,-530.5678798810784,6.0,False,6.154793154124945,0.010005726947608175,0.8712642799807184
Root_Multi,1075.2222256054488,1103.1624774352047,-530.6111128027244,6.0,False,6.241258997416935,0.00958236760822481,0.8808466475889433
Log,1075.235197979881,1099.1839852625287,-531.6175989899405,5.0,False,6.254231371849073,0.009520415710942849,0.8903670632998861
Log10,1075.2351979798814,1099.1839852625292,-531.6175989899407,5.0,False,6.254231371849528,0.009520415710940686,0.8998874790108268
Log2,1075.2351979798818,1099.1839852625296,-531.6175989899409,5.0,False,6.254231371849983,0.009520415710938519,0.9094078947217653
CubeRoot+Log,1075.2810544513159,1103.2213062810717,-530.6405272256579,6.0,False,6.300087843284018,0.009304612819133973,0.9187125075408993
SquareRoot+Log,1075.3349959997627,1103.2752478295185,-530.6674979998813,6.0,False,6.354029391730819,0.009057014179940617,0.9277695217208399
Log+SquareRoot,1075.3349959997631,1103.275247829519,-530.6674979998816,6.0,False,6.354029391731274,0.009057014179938557,0.9368265359007785
Quad+Log+SquareRoot,1075.420599497906,1111.343780421878,-528.710299748953,8.0,False,6.439632889874247,0.008677537202252086,0.9455040731030305
SquareRoot+PowerLaw,1075.6718543888787,1103.6121062186346,-530.8359271944394,6.0,False,6.690887780846879,0.007653096295542489,0.953157169398573
SquareRoot+Lin,1075.6967119038554,1103.6369637336113,-530.8483559519277,6.0,False,6.715745295823581,0.007558566478598845,0.9607157358771719
PowerLaw_Lin,1075.8409457650614,1103.7811975948173,-530.9204728825307,6.0,False,6.8599791570295565,0.007032657255445836,0.9677483931326177
Exp+PowerLaw,1075.8409457650623,1103.7811975948182,-530.9204728825312,6.0,False,6.859979157030466,0.007032657255442637,0.9747810503880604
Recip+Quad,1076.2900060256666,1108.2217224025305,-530.1450030128333,7.0,False,7.309039417634722,0.005618330142429915,0.9803993805304904
Lin+Log+PowerLaw,1076.6906504279727,1108.6223668048367,-530.3453252139864,7.0,False,7.709683819940892,0.004598417814315477,0.9849977983448058
Sin+Log,1077.2131854774843,1105.1534373072402,-531.6065927387422,6.0,False,8.232218869452481,0.0035411260371773523,0.9885389243819832
Exp+Log,1077.2750971024516,1105.2153489322075,-531.6375485512258,6.0,False,8.294130494419733,0.0034331868948774217,0.9919721112768606
Lin+Log,1077.2750971024516,1105.2153489322075,-531.6375485512258,6.0,False,8.294130494419733,0.0034331868948774217,0.995405298171738
Sin,1078.092457291801,1102.041244574449,-533.0462286459006,5.0,False,9.111490683769262,0.002281444646052282,0.9976867428177902
Ultimate,1078.130773040968,1122.0368830591558,-528.065386520484,10.0,False,9.149806432936202,0.002238153027435132,0.9999248958452254
Exp_fast,1086.6338726904087,1110.5826599730565,-537.3169363452043,5.0,False,17.65290608237683,3.187609764107099e-05,0.9999567719428665
Quadratic_pure,1086.6338726904087,1110.5826599730565,-537.3169363452043,5.0,False,17.65290608237683,3.187609764107099e-05,0.9999886480405076
Quadratic,1089.3842654829486,1117.3245173127045,-537.6921327414743,6.0,False,20.4032988749168,8.057956935301334e-06,0.9999967059974428
Tanh,1091.737597297617,1115.6863845802648,-539.8687986488085,5.0,False,22.75663068958511,2.4843079630742783e-06,0.999999190305406
Sinh,1094.5972028098477,1118.5459900924955,-541.2986014049238,5.0,False,25.61623620181581,5.946343375851655e-07,0.9999997849397435
Cubic_pure,1096.6317026340403,1120.580489916688,-542.3158513170201,5.0,False,27.650736026008417,2.1501262468101844e-07,0.9999999999523682
Arctanh,1114.5474002513274,1138.4961875339752,-551.2737001256637,5.0,False,45.56643364329557,2.7677040763159094e-11,0.9999999999800453
Cos,1115.7194672286405,1139.6682545112883,-551.8597336143202,5.0,False,46.73850062060865,1.54031144738277e-11,0.9999999999954484
Linear,1119.5440096434077,1143.4927969260555,-553.7720048217038,5.0,False,50.56304303537581,2.2757246295012832e-12,0.9999999999977242
Exponential_proxy,1119.5440096434077,1143.4927969260555,-553.7720048217038,5.0,False,50.56304303537581,2.2757246295012832e-12,0.9999999999999999
