composite_ID,theta_All,se_All
A068_T4,-0.62895495,0.03239922
A069_T1,-0.779753,0.03239922
A069_T2,-1.4553812,0.03239922
A069_T3,-1.9952551,0.03239922
A069_T4,-1.3238999,0.03239922
A070_T1,-0.39143047,0.03239922
A070_T2,-0.5367628,0.03239922
A070_T3,-1.1602048,0.03239922
A070_T4,-1.4078444,0.03239922
A071_T1,-0.14597252,0.03239922
A071_T2,-0.79447585,0.03239922
A071_T3,-1.1807591,0.03239922
A071_T4,-0.9274221,0.03239922
A072_T1,-0.07698649,0.03239922
A072_T2,-0.17906797,0.03239922
A072_T3,-0.63983804,0.03239922
A072_T4,-0.78499377,0.03239922
A073_T1,-0.9464443,0.03239922
A073_T2,-1.0748329,0.03239922
A073_T3,-1.0401857,0.03239922
A073_T4,-1.1978265,0.03239922
A074_T1,-0.2753581,0.03239922
A074_T2,-0.56440675,0.03239922
A074_T3,-0.77584785,0.03239922
A074_T4,-0.6229088,0.03239922
A075_T1,-0.62350225,0.03239922
A075_T2,-0.5367367,0.03239922
A075_T3,-1.659776,0.03239922
A075_T4,-1.0047041,0.03239922
A076_T1,-0.81635565,0.03239922
A076_T2,-1.0190922,0.03239922
A076_T3,-1.1428466,0.03239922
A076_T4,-1.7313646,0.03239922
A077_T1,-0.24665096,0.03239922
A077_T2,-0.6777829,0.03239922
A077_T3,-0.72803897,0.03239922
A077_T4,-0.5165177,0.03239922
A078_T1,-1.0498971,0.03239922
A078_T2,-1.0143214,0.03239922
A078_T3,-1.1214714,0.03239922
A078_T4,-1.6873485,0.03239922
A079_T1,-0.49855325,0.03239922
A079_T2,-0.46944922,0.03239922
A079_T3,-0.8536412,0.03239922
A079_T4,-0.9906872,0.03239922
A080_T1,-0.23843512,0.03239922
A080_T2,-0.3311896,0.03239922
A080_T3,-0.7038517,0.03239922
A080_T4,-0.98882383,0.03239922
A081_T1,-0.3435203,0.03239922
A081_T2,-0.6007961,0.03239922
A081_T3,-0.5386554,0.03239922
A081_T4,-0.7554152,0.03239922
A082_T1,-0.41337654,0.03239922
A082_T2,-0.4638854,0.03239922
A082_T3,-0.6287514,0.03239922
A082_T4,-1.046765,0.03239922
A083_T1,-0.08576379,0.03239922
A083_T2,-0.5397279,0.03239922
A083_T3,-0.5241375,0.03239922
A083_T4,-0.65276164,0.03239922
A084_T1,-1.6027489,0.03239922
A084_T2,-1.6199543,0.03239922
A084_T3,-1.2407274,0.03239922
A084_T4,-1.7568634,0.03239922
A085_T1,-0.28282008,0.03239922
A085_T2,-0.11497447,0.03239922
A085_T3,-0.17873314,0.03239922
A085_T4,-0.70443094,0.03239922
A086_T1,-0.20132072,0.03239922
A086_T2,-0.2530813,0.03239922
A086_T3,-0.8615502,0.03239922
A086_T4,-0.8833708,0.03239922
A087_T1,-0.020451887,0.03239922
A087_T2,-0.25518396,0.03239922
A087_T3,-0.45908406,0.03239922
A087_T4,-0.35256618,0.03239922
A088_T1,-0.30305225,0.03239922
A088_T2,-0.26626092,0.03239922
A088_T3,-0.47492886,0.03239922
A088_T4,-0.31291902,0.03239922
A089_T1,-0.18910767,0.03239922
A089_T2,-0.28618926,0.03239922
A089_T3,-0.6501386,0.03239922
A089_T4,-0.55882245,0.03239922
A090_T1,-1.6122016,0.03239922
A090_T2,-1.270214,0.03239922
A090_T3,-2.2576284,0.03239922
A090_T4,-2.1510363,0.03239922
A091_T1,-0.41315272,0.03239922
A091_T2,-0.7300191,0.03239922
A091_T3,-1.0173005,0.03239922
A091_T4,-0.5843677,0.03239922
A092_T1,-0.41257405,0.03239922
A092_T2,-0.54433435,0.03239922
A092_T3,-0.81644744,0.03239922
A092_T4,-1.3193033,0.03239922
A093_T1,-0.14142773,0.03239922
A093_T2,-1.8081375,0.03239922
A093_T3,-2.169132,0.03239922
A093_T4,-2.456655,0.03239922
A094_T1,-0.9670996,0.03239922
A094_T2,-0.9523416,0.03239922
A094_T3,-1.2079843,0.03239922
A094_T4,-1.1736983,0.03239922
A095_T1,-0.17896686,0.03239922
A095_T2,-0.8196811,0.03239922
A095_T3,-0.5895861,0.03239922
A095_T4,-1.0815564,0.03239922
A096_T1,-0.28072336,0.03239922
A096_T2,-0.81060374,0.03239922
A096_T3,-0.74574685,0.03239922
A096_T4,-0.53927916,0.03239922
A097_T1,-0.926214,0.03239922
