composite_ID,UID,test,TSVR_hours,ma_theta,ma_theta_se
A068_T3,A068,T3,82.98,-0.7609503826768249,0.04314127266843546
A068_T4,A068,T4,155.59,-0.7171041587779947,0.18995999172110795
A069_T1,A069,T1,1.0,-0.35952440264819746,0.054074393216403005
A069_T2,A069,T2,24.96,-0.5641234225144696,0.04725017428044844
A069_T3,A069,T3,79.75,-0.756591167360555,0.04442949965702438
A069_T4,A069,T4,140.22,-0.7392498925726428,0.12238179222402434
A070_T1,A070,T1,1.0,-0.35952440264819746,0.054074393216403005
A070_T2,A070,T2,24.25,-0.5599416536364876,0.048570213700351375
A070_T3,A070,T3,81.92,-0.7596010380579732,0.04366933788737437
A070_T4,A070,T4,149.2,-0.7262762485217622,0.16209666767737244
A071_T1,A071,T1,1.0,-0.35952440264819746,0.054074393216403005
A071_T2,A071,T2,30.92,-0.5970114368894877,0.035593412761403605
A071_T3,A071,T3,79.96,-0.7568970452272384,0.04437466682889042
A071_T4,A071,T4,153.27,-0.7203981370504233,0.17993474323212666
A072_T1,A072,T1,1.0,-0.35952440264819746,0.054074393216403005
A072_T2,A072,T2,33.76,-0.6114302558524175,0.030047216739718337
A072_T3,A072,T3,83.54,-0.7616313944037307,0.04282050681603526
A072_T4,A072,T4,154.89,-0.7180921300031773,0.18694879487918145
A073_T1,A073,T1,1.0,-0.35952440264819746,0.054074393216403005
A073_T2,A073,T2,66.66,-0.7312504275117993,0.04036573517645711
A073_T3,A073,T3,66.9,-0.7318272278340943,0.04056283996136917
A073_T4,A073,T4,140.12,-0.7393914269036175,0.1219419181831342
A074_T1,A074,T1,1.0,-0.35952440264819746,0.054074393216403005
A074_T2,A074,T2,29.33,-0.5886017070855029,0.03875250088811075
A074_T3,A074,T3,73.02,-0.7451141706851347,0.044117073077314106
A074_T4,A074,T4,147.21,-0.7291716700870632,0.15330176812812218
A075_T1,A075,T1,1.0,-0.35952440264819746,0.054074393216403005
A075_T2,A075,T2,28.68,-0.5850906280998585,0.04004186521189911
A075_T3,A075,T3,71.37,-0.7418006978658964,0.04344966699901614
A075_T4,A075,T4,244.53,-0.7471440253016317,0.2800740292343189
A076_T1,A076,T1,1.0,-0.35952440264819746,0.054074393216403005
A076_T2,A076,T2,27.3,-0.5774900721462687,0.04275937274282276
A076_T3,A076,T3,74.88,-0.7486125077537279,0.04459713677847245
A076_T4,A076,T4,149.28,-0.7261599799277272,0.1624495115464264
A077_T1,A077,T1,1.0,-0.35952440264819746,0.054074393216403005
A077_T2,A077,T2,53.88,-0.6944231167214359,0.025394820195201347
A077_T3,A077,T3,78.36,-0.7544872857092519,0.04469210218539621
A077_T4,A077,T4,149.75,-0.7254772678019249,0.16452106282359216
A078_T1,A078,T1,1.0,-0.35952440264819746,0.054074393216403005
A078_T2,A078,T2,26.17,-0.5711128082737873,0.044951255131149524
A078_T3,A078,T3,72.3,-0.7436926253992833,0.043853335938373796
A078_T4,A078,T4,140.08,-0.7394480097771429,0.12176600530286727
A079_T1,A079,T1,1.0,-0.35952440264819746,0.054074393216403005
A079_T2,A079,T2,26.11,-0.5707702023084833,0.04506653830486429
A079_T3,A079,T3,74.0,-0.7469886104749721,0.044406522600430036
A079_T4,A079,T4,194.42,-0.6837766804063125,0.3148468333134694
A080_T1,A080,T1,1.0,-0.35952440264819746,0.054074393216403005
A080_T2,A080,T2,29.03,-0.5869865871989756,0.03934806233613001
A080_T3,A080,T3,72.87,-0.7448211196502139,0.044065672156377314
A080_T4,A080,T4,145.77,-0.7312664312715882,0.14692362423200034
A081_T1,A081,T1,1.0,-0.35952440264819746,0.054074393216403005
A081_T2,A081,T2,31.39,-0.5994499869155598,0.034662635951244226
A081_T3,A081,T3,80.13,-0.7571423635480967,0.04432735034995416
A081_T4,A081,T4,154.53,-0.7186023310866771,0.18539537961609
A082_T1,A082,T1,1.0,-0.35952440264819746,0.054074393216403005
A082_T2,A082,T2,27.97,-0.5812054150843488,0.04144435374282576
A082_T3,A082,T3,75.71,-0.7500928490340629,0.04471600344934034
A082_T4,A082,T4,170.25,-0.6984738468806407,0.2487531291176144
A083_T1,A083,T1,1.0,-0.35952440264819746,0.054074393216403005
A083_T2,A083,T2,25.15,-0.565232239366127,0.04689305833880515
A083_T3,A083,T3,74.3,-0.7475485067971451,0.044478921471187816
A083_T4,A083,T4,144.91,-0.7325151901033022,0.14311251538915523
A084_T1,A084,T1,1.0,-0.35952440264819746,0.054074393216403005
A084_T2,A084,T2,27.25,-0.5772108673367398,0.042857104026938125
A084_T3,A084,T3,91.97,-0.769273832488774,0.034485764100418065
A084_T4,A084,T4,162.51,-0.7077271979785057,0.2188905326183165
A085_T1,A085,T1,1.0,-0.35952440264819746,0.054074393216403005
A085_T2,A085,T2,24.51,-0.5614800814071534,0.04808956654874951
A085_T3,A085,T3,71.4,-0.7418627099346468,0.0434637853841133
A085_T4,A085,T4,170.65,-0.6980416705672648,0.2502061636686247
A086_T1,A086,T1,1.0,-0.35952440264819746,0.054074393216403005
A086_T2,A086,T2,23.47,-0.5552762325225526,0.04999145087782594
A086_T3,A086,T3,145.29,-0.7319637104106557,0.14479652117852496
A086_T4,A086,T4,169.55,-0.6992421537365875,0.24618701981813618
A087_T1,A087,T1,1.0,-0.35952440264819746,0.054074393216403005
A087_T2,A087,T2,31.07,-0.5977920061243873,0.0352960571851595
A087_T3,A087,T3,72.8,-0.7446838035569207,0.04404104471845336
A087_T4,A087,T4,144.2,-0.7335440211084641,0.13996649235428374
A088_T1,A088,T1,1.0,-0.35952440264819746,0.054074393216403005
A088_T2,A088,T2,24.25,-0.5599416536364876,0.048570213700351375
A088_T3,A088,T3,74.91,-0.7486668807036947,0.04460246776501293
A088_T4,A088,T4,149.93,-0.7252159902711572,0.1653137496042639
A089_T1,A089,T1,1.0,-0.35952440264819746,0.054074393216403005
A089_T2,A089,T2,32.14,-0.6032977035261189,0.033184918883760135
A089_T3,A089,T3,79.34,-0.7559849289022686,0.04452505541546623
A089_T4,A089,T4,146.96,-0.7295355347569897,0.15219500677916017
A090_T1,A090,T1,1.0,-0.35952440264819746,0.054074393216403005
A090_T2,A090,T2,23.54,-0.5556980406346217,0.04986523855127884
A090_T3,A090,T3,95.42,-0.771032246732926,0.029204727740588445
A090_T4,A090,T4,144.07,-0.7337321445007003,0.13939057525797646
A091_T1,A091,T1,1.0,-0.35952440264819746,0.054074393216403005
A091_T2,A091,T2,22.2,-0.5475132783881266,0.0522307912156894
A091_T3,A091,T3,73.64,-0.7463081308488311,0.04430958120142102
A091_T4,A091,T4,142.61,-0.7358381798169787,0.13292734199822234
A092_T1,A092,T1,1.0,-0.35952440264819746,0.054074393216403005
A092_T2,A092,T2,22.83,-0.5513905827498459,0.051132301825014354
A092_T3,A092,T3,71.31,-0.741676477188536,0.043421212372896964
A092_T4,A092,T4,146.16,-0.7306994443921391,0.14865166100435148
A093_T1,A093,T1,1.0,-0.35952440264819746,0.054074393216403005
A093_T2,A093,T2,22.09,-0.5468308415513672,0.05241993797584738
A093_T3,A093,T3,70.22,-0.7393741501668477,0.042854152550298154
A093_T4,A093,T4,140.95,-0.7382134843916814,0.12559662079892844
A094_T1,A094,T1,1.0,-0.35952440264819746,0.054074393216403005
A094_T2,A094,T2,22.98,-0.5523060331015207,0.05086708915381428
A094_T3,A094,T3,76.21,-0.75096063486156,0.04475877417211101
A094_T4,A094,T4,149.99,-0.7251289232609893,0.1655778912740498
A095_T1,A095,T1,1.0,-0.35952440264819746,0.054074393216403005
A095_T2,A095,T2,29.71,-0.5906344336498752,0.03799738523455911
A095_T3,A095,T3,78.76,-0.7551068533756874,0.044634340213775554
A095_T4,A095,T4,148.79,-0.7268723617280733,0.16028733273491366
A096_T1,A096,T1,1.0,-0.35952440264819746,0.054074393216403005
A096_T2,A096,T2,24.49,-0.5613620330584298,0.04812665521302548
A096_T3,A096,T3,71.19,-0.7414272495839298,0.04336343300675557
A096_T4,A096,T4,143.66,-0.7343248724340746,0.13757457473080256
A097_T1,A097,T1,1.0,-0.35952440264819746,0.054074393216403005
A097_T2,A097,T2,24.37,-0.5606527218734486,0.04834878463397791
A097_T3,A097,T3,70.83,-0.7406732749416507,0.043183161293396555
A097_T4,A097,T4,144.85,-0.7326022167309506,0.14284662626499214
A098_T1,A098,T1,1.0,-0.35952440264819746,0.054074393216403005
A098_T2,A098,T2,25.77,-0.5688210179237159,0.045717424472215586
A098_T3,A098,T3,78.84,-0.7552293948217796,0.044621065578547954
A098_T4,A098,T4,146.29,-0.7305103764428402,0.14922759732680452
A099_T1,A099,T1,1.0,-0.35952440264819746,0.054074393216403005
A099_T2,A099,T2,28.75,-0.5854708301060063,0.03990321004674092
A099_T3,A099,T3,78.57,-0.7548139848719425,0.0446635652194341
A099_T4,A099,T4,143.51,-0.734541487958334,0.13691034342498426
A100_T1,A100,T1,1.0,-0.35952440264819746,0.054074393216403005
A100_T2,A100,T2,31.14,-0.5981555293975087,0.03515738009226119
A100_T3,A100,T3,75.34,-0.7494390815300449,0.04467036633484187
A100_T4,A100,T4,146.8,-0.7297683828809649,0.151486527878657
A101_T1,A101,T1,1.0,-0.35952440264819746,0.054074393216403005
A101_T2,A101,T2,29.12,-0.5874720866786612,0.03916946556583686
A101_T3,A101,T3,75.21,-0.749207033806823,0.04465151980825036
