model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight,renorm_weight
Log+PowerLaw05,1074.5826178994562,1102.522869729212,-530.2913089497281,6.0,False,5.601651291424332,0.0131935563509948,0.7216551511092189,0.01353489211320068
PowerLaw_Log,1074.5826178994575,1102.5228697292134,-530.2913089497288,6.0,False,5.601651291425696,0.0131935563509858,0.7348487074602047,0.013534892113191447
Quartic,1074.5937288639443,1110.516909787916,-528.2968644319722,8.0,False,5.6127622559124575,0.013120463005335,0.7479691704655398,0.013459907740422094
PowerLaw_02,1074.596742954211,1098.545530236859,-531.2983714771055,5.0,False,5.615776346179246,0.0131007047674326,0.7610698752329724,0.013439638329260957
Recip+Log,1074.800989171339,1102.741241001095,-530.4004945856695,6.0,False,5.820022563307248,0.0118288672281816,0.7728987424611541,0.012134896573412622
Log+Recip,1074.800989171339,1102.741241001095,-530.4004945856695,6.0,False,5.820022563307248,0.0118288672281816,0.7847276096893357,0.012134896573412622
Log+LogLog,1074.8535152171123,1102.7937670468684,-530.4267576085563,6.0,False,5.872548609080695,0.0115222493968469,0.7962498590861827,0.011820346109785291
Recip+PowerLaw,1074.875872070229,1102.8161238999849,-530.4379360351145,6.0,False,5.89490546219713,0.0113941659973587,0.8076440250835415,0.011688949013547925
Recip+PowerLaw05,1074.875872070229,1102.8161238999849,-530.4379360351145,6.0,False,5.89490546219713,0.0113941659973587,0.8190381910809003,0.011688949013547925
PowerLaw_01,1074.9037631796846,1098.8525504623324,-531.4518815898423,5.0,False,5.922796571652725,0.0112363708595352,0.8302745619404355,0.011527071494734155
Lin+Quad+Log,1075.0413956489574,1106.9731120258214,-529.5206978244787,7.0,False,6.060429040925556,0.0104891320725298,0.8407636940129654,0.010760500594830092
Quad+Log,1075.0413956489574,1106.9731120258214,-529.5206978244787,7.0,False,6.060429040925556,0.0104891320725298,0.8512528260854952,0.010760500594830092
Exp+Recip,1075.1357597621554,1103.0760115919113,-530.5678798810777,6.0,False,6.154793154123581,0.010005726947615,0.8612585530331103,0.01026458910299061
Recip+Lin,1075.1357597621568,1103.076011591913,-530.5678798810784,6.0,False,6.154793154124945,0.0100057269476081,0.8712642799807184,0.01026458910298353
Root_Multi,1075.2222256054488,1103.162477435205,-530.6111128027244,6.0,False,6.241258997416935,0.0095823676082248,0.8808466475889433,0.009830276865158676
Log,1075.235197979881,1099.1839852625287,-531.6175989899405,5.0,False,6.254231371849073,0.0095204157109428,0.8903670632998861,0.00976672218561568
Log10,1075.2351979798814,1099.1839852625292,-531.6175989899407,5.0,False,6.254231371849528,0.0095204157109406,0.8998874790108268,0.009766722185613422
Log2,1075.2351979798818,1099.1839852625296,-531.6175989899409,5.0,False,6.254231371849983,0.0095204157109385,0.9094078947217652,0.009766722185611266
CubeRoot+Log,1075.281054451316,1103.2213062810715,-530.6405272256579,6.0,False,6.300087843284018,0.0093046128191339,0.9187125075408992,0.009545336171060933
SquareRoot+Log,1075.334995999763,1103.2752478295183,-530.6674979998813,6.0,False,6.354029391730819,0.0090570141799406,0.92776952172084,0.009291331808650797
Log+SquareRoot,1075.3349959997631,1103.275247829519,-530.6674979998816,6.0,False,6.354029391731274,0.0090570141799385,0.9368265359007784,0.009291331808648644
