Name,Label,Function,Type,Regex
i_u_magazine_2_dresser_bed_bed_a,i_u_magazine_2_dresser_bed_bed_a,mean,vr,.*BED.*-U-.*-n2.*-ANS
i_u_picture_3_p1_dresser_bed_a,i_u_picture_3_p1_dresser_bed_a,mean,vr,.*BED.*-U-.*-n3.*-ANS
i_u_frypan_4_bookshelf_wardrobe_bed_a,i_u_frypan_4_bookshelf_wardrobe_bed_a,mean,vr,.*BED.*-U-.*-n4.*-ANS
i_u_phone_5_p4_p2_bed_a,i_u_phone_5_p4_p2_bed_a,mean,vr,.*BED.*-U-.*-n5.*-ANS
i_u_knife_6_p3_bookshelf_bed_a,i_u_knife_6_p3_bookshelf_bed_a,mean,vr,.*BED.*-U-.*-n6.*-ANS
i_u_letters_1_p2_fridge_kit_a,i_u_letters_1_p2_fridge_kit_a,mean,vr,.*KIT.*-U-.*-n1.*-ANS
i_u_cutlery_2_oven_p2_kit_a,i_u_cutlery_2_oven_p2_kit_a,mean,vr,.*KIT.*-U-.*-n2.*-ANS
i_u_toaster_3_p4_oven_kit_a,i_u_toaster_3_p4_oven_kit_a,mean,vr,.*KIT.*-U-.*-n3.*-ANS
i_u_oil_4_p1_p3_kit_a,i_u_oil_4_p1_p3_kit_a,mean,vr,.*KIT.*-U-.*-n4.*-ANS
i_u_keys_5_bench_pantry_kit_a,i_u_keys_5_bench_pantry_kit_a,mean,vr,.*KIT.*-U-.*-n5.*-ANS
i_u_tpaper_6_pantry_bench_kit_a,i_u_tpaper_6_pantry_bench_kit_a,mean,vr,.*KIT.*-U-.*-n6.*-ANS
i_u_drill_1_couch_bookcase_liv_a,i_u_drill_1_couch_bookcase_liv_a,mean,vr,.*LIV.*-U-.*-n1.*-ANS
i_u_mask_2_p4_p1_liv_a,i_u_mask_2_p4_p1_liv_a,mean,vr,.*LIV.*-U-.*-n2.*-ANS
i_u_lamp_3_p2_couch_liv_a,i_u_lamp_3_p2_couch_liv_a,mean,vr,.*LIV.*-U-.*-n3.*-ANS
i_u_handbag_4_tv_p2_liv_a,i_u_handbag_4_tv_p2_liv_a,mean,vr,.*LIV.*-U-.*-n4.*-ANS
i_u_laptop_5_chair_tv_liv_a,i_u_laptop_5_chair_tv_liv_a,mean,vr,.*LIV.*-U-.*-n5.*-ANS
i_u_newspaper_6_p3_chair_liv_a,i_u_newspaper_6_p3_chair_liv_a,mean,vr,.*LIV.*-U-.*-n6.*-ANS
i_d_duck_1_bath_shower_bat_a,i_d_duck_1_bath_shower_bat_a,mean,vr,.*BAT.*-D-.*-n1.*-ANS
i_d_remote_2_p2_bath_bat_a,i_d_remote_2_p2_bath_bat_a,mean,vr,.*BAT.*-D-.*-n2.*-ANS
i_d_tbrushes_3_p3_p4_bat_a,i_d_tbrushes_3_p3_p4_bat_a,mean,vr,.*BAT.*-D-.*-n3.*-ANS
i_d_book_4_toilet_p3_bat_a,i_d_book_4_toilet_p3_bat_a,mean,vr,.*BAT.*-D-.*-n4.*-ANS
i_d_hammer_5_sink_toilet_bat_a,i_d_hammer_5_sink_toilet_bat_a,mean,vr,.*BAT.*-D-.*-n5.*-ANS
i_d_glasses_6_p1_sink_bat_a,i_d_glasses_6_p1_sink_bat_a,mean,vr,.*BAT.*-D-.*-n6.*-ANS
