UID,test,composite_ID,TSVR_hours,z_theta_accuracy,z_theta_confidence,Calibration,Classification
A061,T3,A061_T3,82.55,0.2873271776962737,0.9535260613114478,0.6661988836151741,Overconfident
A061,T4,A061_T4,146.56,-0.3168386401961127,0.8899601474275283,1.206798787623641,Overconfident
A062,T1,A062_T1,1.0,1.6204818142585216,1.0150285420038927,-0.6054532722546289,Underconfident
A062,T2,A062_T2,44.69,0.1430425028522808,0.478961038766077,0.3359185359137962,Overconfident
A062,T3,A062_T3,92.72,-0.6415789046310041,-1.3387269654148386,-0.6971480607838345,Underconfident
A062,T4,A062_T4,149.18,-0.7659604211484455,-0.1294805405340005,0.636479880614445,Overconfident
A063,T1,A063_T1,1.0,0.906661670608897,-1.3627976540200035,-2.2694593246289005,Underconfident
A063,T2,A063_T2,21.98,0.7546882352992889,-3.0796936108682127,-3.834381846167501,Underconfident
A063,T3,A063_T3,69.99,0.1786761491785032,-1.1834203436644275,-1.3620964928429309,Underconfident
A063,T4,A063_T4,141.09,-0.6235082831032701,-1.031907916770838,-0.4083996336675679,Underconfident
A064,T1,A064_T1,1.0,0.8749286811526699,1.1207740456921662,0.2458453645394963,Overconfident
A064,T2,A064_T2,37.65,0.5886611174300894,0.3192024892395393,-0.2694586281905501,Underconfident
A064,T3,A064_T3,82.99,0.1802804332335124,0.2473932284550552,0.0671127952215428,Calibrated
A064,T4,A064_T4,156.21,-0.3595285346623346,-0.3356274766153526,0.023901058046982,Calibrated
A065,T1,A065_T1,1.0,-2.377899899667573,-0.3662147752676916,2.011685124399882,Overconfident
A065,T2,A065_T2,32.31,-1.0448077950562562,-1.435792476367565,-0.3909846813113087,Underconfident
A065,T3,A065_T3,106.41,-2.358857156833217,0.7917183504841059,3.150575507317323,Overconfident
A065,T4,A065_T4,187.43,-2.5229224367019976,-0.0210972120997524,2.501825224602245,Overconfident
A066,T1,A066_T1,1.0,0.4867959337693348,-0.1030132383269624,-0.5898091720962972,Underconfident
A066,T2,A066_T2,23.35,-0.4863142420866764,0.2505157654684481,0.7368300075551246,Overconfident
A066,T3,A066_T3,73.79,-0.9911288980345,-0.2144885013250782,0.7766403967094219,Overconfident
A066,T4,A066_T4,164.93,-1.3657405596559624,-1.6606635778619483,-0.2949230182059861,Underconfident
A067,T1,A067_T1,1.0,0.6954752553235585,0.3323367922548425,-0.3631384630687159,Underconfident
A067,T2,A067_T2,29.91,-1.396629627309237,-1.0740167022683167,0.3226129250409202,Overconfident
A067,T3,A067_T3,73.19,-1.569277240006302,-0.7466146727586593,0.8226625672476426,Overconfident
A067,T4,A067_T4,144.19,-1.252075100031227,0.0303578344296578,1.282432934460885,Overconfident
A068,T1,A068_T1,1.0,1.3746231959582351,1.8488848731167096,0.4742616771584744,Overconfident
A068,T2,A068_T2,30.49,0.1663598230722928,1.2171973817055943,1.0508375586333016,Overconfident
A068,T3,A068_T3,82.98,0.4375786803235585,0.7547058327733104,0.3171271524497518,Overconfident
A068,T4,A068_T4,155.59,-0.4203872288912937,0.3450584363891746,0.7654456652804683,Overconfident
A069,T1,A069_T1,1.0,-0.8400112595603694,-0.2478580322006281,0.5921532273597412,Overconfident
A069,T2,A069_T2,24.96,-1.6026934332252178,-0.5365407692881556,1.0661526639370622,Overconfident
A069,T3,A069_T3,79.75,-0.7618682807031463,-0.2689055781428225,0.4929627025603237,Overconfident
A069,T4,A069_T4,140.22,-1.8190723097661476,-0.9335780597175584,0.8854942500485891,Overconfident
A070,T1,A070_T1,1.0,0.6256291953773039,0.3105696839545065,-0.3150595114227973,Underconfident
A070,T2,A070_T2,24.25,0.0381489242444777,0.3702266958408685,0.3320777715963908,Overconfident
A070,T3,A070_T3,81.92,-0.4671047297277567,-0.8302500338862381,-0.3631453041584814,Underconfident
A070,T4,A070_T4,149.2,-1.1156370144749588,-0.8487278530502596,0.2669091614246992,Overconfident
A071,T1,A071_T1,1.0,1.1588739821588454,1.307408947854615,0.1485349656957695,Overconfident
A071,T2,A071_T2,30.92,0.4178066770172461,-0.8918130024135336,-1.3096196794307795,Underconfident
A071,T3,A071_T3,79.96,-0.9196108949496188,-1.7602829939182636,-0.8406720989686447,Underconfident
A071,T4,A071_T4,153.27,0.1483442016951993,-0.0778388260018189,-0.2261830276970183,Underconfident
A072,T1,A072_T1,1.0,1.012761717563483,1.270682423103703,0.2579207055402199,Overconfident
A072,T2,A072_T2,33.76,0.3899725647651228,1.3410071134934596,0.9510345487283368,Overconfident
A072,T3,A072_T3,83.54,-0.9454397898452224,-0.3851604209938004,0.5602793688514218,Overconfident
A072,T4,A072_T4,154.89,-0.1535120170114652,-0.0341665861083916,0.1193454309030735,Overconfident
A073,T1,A073_T1,1.0,0.920475024120418,-0.2647914801288358,-1.1852665042492538,Underconfident
A073,T2,A073_T2,66.66,-0.5222500396641933,-0.6224359004111151,-0.1001858607469218,Underconfident
A073,T3,A073_T3,66.9,-0.0265285569268522,-0.5099557297658628,-0.4834271728390105,Underconfident
A073,T4,A073_T4,140.12,1.027320973541694,-0.7209804141020301,-1.748301387643724,Underconfident
A074,T1,A074_T1,1.0,1.200219116585956,1.223488889108931,0.0232697725229749,Calibrated
A074,T2,A074_T2,29.33,-0.179961803438144,0.3537626011275591,0.5337244045657031,Overconfident
A074,T3,A074_T3,73.02,-0.9097155500505334,-0.4634807172295888,0.4462348328209446,Overconfident
A074,T4,A074_T4,147.21,-1.2171817841225343,-0.60583877872334,0.6113430053991945,Overconfident
A075,T1,A075_T1,1.0,0.5042729307898278,0.2619895559788032,-0.2422833748110246,Underconfident
A075,T2,A075_T2,28.68,0.5200239696932436,0.4563019257332921,-0.0637220439599514,Calibrated
A075,T3,A075_T3,71.37,-1.6439688640715862,-0.0734553894222477,1.5705134746493383,Overconfident
A075,T4,A075_T4,244.53,-0.6400582754661351,-0.5496604997084469,0.0903977757576882,Calibrated
A076,T1,A076_T1,1.0,-0.4243079811553115,-0.5931206967788998,-0.1688127156235882,Underconfident
A076,T2,A076_T2,27.3,-0.8200148064867665,-0.6855281124327359,0.1344866940540305,Overconfident
A076,T3,A076_T3,74.88,-1.2826440396890548,-0.8273082201820956,0.4553358195069592,Overconfident
A076,T4,A076_T4,149.28,-2.6722253880024702,-0.8795865951985734,1.792638792803897,Overconfident
A077,T1,A077_T1,1.0,1.3255399047437764,0.9882609286840942,-0.3372789760596821,Underconfident
A077,T2,A077_T2,53.88,-0.1730518162919608,0.2375250372106668,0.4105768535026276,Overconfident
A077,T3,A077_T3,78.36,0.2634617839412383,-0.709011594852232,-0.9724733787934704,Underconfident
A077,T4,A077_T4,149.75,0.6183134338146555,0.6150853836047101,-0.0032280502099454,Calibrated
A078,T1,A078_T1,1.0,0.0518294352311377,-0.7309312065159222,-0.78276064174706,Underconfident
A078,T2,A078_T2,26.17,0.0710501022816261,-0.6583975027105224,-0.7294476049921486,Underconfident
A078,T3,A078_T3,72.3,-1.1228564198414923,-0.8654715334078682,0.2573848864336243,Overconfident
