UID,test,composite_ID,TSVR_hours,z_theta_accuracy,z_theta_confidence,Calibration
A028,T2,A028_T2,22.82,-0.2124410661247883,0.7643104682279127,0.4724937800204574
A028,T3,A028_T3,72.26,-0.1109790721276567,0.324340763109622,0.2096957328374795
A028,T4,A028_T4,138.91,-0.815653565728154,-0.4482225163190634,0.1377500778218948
A029,T1,A029_T1,1.0,1.796097973221766,1.828801847915476,0.1138336188859593
A029,T2,A029_T2,28.43,0.3537996373008401,0.7285700455372408,0.2049527584599735
A029,T3,A029_T3,93.26,1.3518095741517069,0.8951426017047107,-0.1528292816457431
A029,T4,A029_T4,143.14,0.8073366845834855,-0.1068159916919651,-0.4091366380078018
A030,T1,A030_T1,1.0,0.3470643963959833,0.1568332477510731,-0.0754066715498307
A030,T2,A030_T2,32.95,1.2692036275623348,0.7232014321415577,-0.2015904711835686
A030,T3,A030_T3,71.93,-0.1428643183568339,0.0624118532043899,0.0939616995854114
A030,T4,A030_T4,150.46,0.3451153338542833,-0.2089106671010105,-0.2557955397469575
A031,T1,A031_T1,1.0,2.383024051099418,2.072710749451091,-0.0242503413168106
A031,T2,A031_T2,32.41,0.0131981302708643,0.7789664277356936,0.3802030999081335
A031,T3,A031_T3,71.56,-0.0515868014066274,-0.2125700076262137,-0.0825811676708222
A031,T4,A031_T4,143.85,-0.6150547641871168,-1.585319791985093,-0.5142578096888034
A032,T1,A032_T1,1.0,0.8480359485975465,0.6701732624150641,-0.0420470460645613
A032,T2,A032_T2,57.18,-0.1362803808324854,0.3575120372997009,0.2372972751386388
A032,T3,A032_T3,80.16,0.6905854114222335,-0.0390960786410503,-0.3240657265316169
A032,T4,A032_T4,144.51,1.638624660560344,-0.4138393805015767,-0.9280559465141184
A033,T1,A033_T1,1.0,0.4528806713869024,0.7349716246082337,0.1644098815312965
A033,T2,A033_T2,29.16,0.5337746005753456,-0.0755315447204789,-0.2729357166317274
A033,T3,A033_T3,72.6,1.016447320878364,0.9424663175482554,0.0185867669234567
A033,T4,A033_T4,168.33,-0.4395340398072934,-0.0428443813891358,0.1726934932403844
A034,T1,A034_T1,1.0,2.1501389852816977,1.627278437699291,-0.1422391492908645
A034,T2,A034_T2,26.08,0.6896176439410955,1.7115548565338832,0.543917445869363
