composite_ID,theta_source,theta_destination,se_source,se_destination
A089_1,1.1389959,1.5082467,0.5,0.5
A089_2,1.0854765,0.47562695,0.5,0.5
A089_3,0.1096256,0.17587805,0.5,0.5
A089_4,-0.07298435,1.1707637,0.5,0.5
A090_1,-0.13273755,-0.312373,0.5,0.5
A090_2,0.018733937,-0.061647512,0.5,0.5
A090_3,-0.8946171,-0.5720476,0.5,0.5
A090_4,-0.8806435,0.13971248,0.5,0.5
A091_1,0.7184439,0.9795998,0.5,0.5
A091_2,-0.12915733,0.06685807,0.5,0.5
A091_3,-1.08462,-0.89255774,0.5,0.5
A091_4,-0.9829909,-0.07596965,0.5,0.5
A092_1,0.111291625,-0.23166957,0.5,0.5
A092_2,-0.8559327,-0.69330376,0.5,0.5
A092_3,-0.9984027,-0.9481826,0.5,0.5
A092_4,-0.7805013,-0.8879755,0.5,0.5
A093_1,0.14141104,0.88862497,0.5,0.5
A093_2,1.419709,-0.92129517,0.5,0.5
A093_3,-0.29306543,-0.72918755,0.5,0.5
A093_4,0.24513331,-0.9081448,0.5,0.5
A094_1,-0.8867754,-1.6466404,0.5,0.5
A094_2,0.016020637,-0.15119222,0.5,0.5
A094_3,-1.063689,-0.9242259,0.5,0.5
A094_4,-1.0863725,-0.9648984,0.5,0.5
A095_1,1.2913746,1.3643255,0.5,0.5
A095_2,0.22240189,-1.0748749,0.5,0.5
A095_3,-0.065032065,-0.64863694,0.5,0.5
A095_4,-0.2537716,-1.2720163,0.5,0.5
A096_1,-0.34864032,-0.25634238,0.5,0.5
A096_2,0.07261784,-0.4315951,0.5,0.5
A096_3,-1.7583967,-0.77460325,0.5,0.5
A096_4,-1.6250517,0.34063703,0.5,0.5
A097_1,0.33575732,-0.46857113,0.5,0.5
A097_2,-0.3186384,-0.0010014646,0.5,0.5
A097_3,0.70814824,-0.4898428,0.5,0.5
A097_4,-1.1569712,-0.5199486,0.5,0.5
A098_1,0.65085256,-0.030838465,0.5,0.5
A098_2,-0.052534766,1.0409025,0.5,0.5
A098_3,1.5982602,0.28669637,0.5,0.5
A098_4,-0.897659,-0.78232086,0.5,0.5
A099_1,0.32463416,1.2973406,0.5,0.5
A099_2,0.9679909,-0.6628526,0.5,0.5
A099_3,0.22578053,0.030887347,0.5,0.5
A099_4,1.5011876,1.246263,0.5,0.5
A100_1,0.29106325,-0.87108815,0.5,0.5
A100_2,1.765633,1.1829009,0.5,0.5
A100_3,0.042482417,0.30303836,0.5,0.5
A100_4,0.076925665,-1.0696338,0.5,0.5
A101_1,-0.46022868,0.8285791,0.5,0.5
A101_2,-0.83694685,-0.6126528,0.5,0.5
A101_3,-1.2875204,-0.8006932,0.5,0.5
A101_4,-0.7894045,0.11722783,0.5,0.5
A102_1,-0.32257593,0.053731274,0.5,0.5
A102_2,0.9718402,0.4204631,0.5,0.5
A102_3,-0.6108117,-0.07851724,0.5,0.5
A102_4,-0.10694511,-1.0674996,0.5,0.5
A103_1,0.76894027,1.3896039,0.5,0.5
A103_2,-0.7938343,-0.39403135,0.5,0.5
A103_3,-1.0002152,1.0030328,0.5,0.5
A103_4,-0.9437569,-0.78722334,0.5,0.5
A104_1,1.3679023,-0.012794465,0.5,0.5
A104_2,0.9882625,0.07025564,0.5,0.5
A104_3,-0.47909507,0.96573603,0.5,0.5
A104_4,-1.31112,-1.5526493,0.5,0.5
A105_1,0.34450012,1.0892614,0.5,0.5
A105_2,0.7076637,1.1191673,0.5,0.5
A105_3,-1.1318758,-0.18136573,0.5,0.5
A105_4,-0.1410696,0.5341267,0.5,0.5
A106_1,0.8248895,1.3741684,0.5,0.5
A106_2,-0.36700493,0.54990196,0.5,0.5
A106_3,-0.32000408,0.47669202,0.5,0.5
A106_4,0.51996505,0.32179102,0.5,0.5
A107_1,-0.7441056,-0.42106685,0.5,0.5
A107_2,-1.6472313,-1.1636287,0.5,0.5
A107_3,-0.87584704,-1.1666491,0.5,0.5
A107_4,-0.95459175,-1.5836855,0.5,0.5
A108_1,-0.8886611,-0.15127367,0.5,0.5
A108_2,-0.13556795,-1.1911994,0.5,0.5
A108_3,-0.08436014,1.1170034,0.5,0.5
A108_4,-1.3012402,-1.2119448,0.5,0.5
A109_1,-0.33428168,-0.798052,0.5,0.5
A109_2,-0.9536665,-0.50868475,0.5,0.5
A109_3,0.34435305,-0.69492316,0.5,0.5
A109_4,-1.3728429,-0.66748077,0.5,0.5
