UID,Days,LocationType,theta
A080,0.0416666666666666,source,0.13513204
A080,1.2095833333333337,source,0.34741575
A080,3.0362500000000003,source,0.13813207
A080,6.07375,source,-0.5028607
A081,0.0416666666666666,source,0.29152164
A081,1.3079166666666666,source,-0.3328697
A081,3.33875,source,0.6178092
A081,6.43875,source,-0.052564196
A082,0.0416666666666666,source,0.115559615
A082,1.1654166666666663,source,0.8179186
A082,3.154583333333333,source,0.78679985
A082,7.09375,source,-0.55610883
A083,0.0416666666666666,source,1.8847612
A083,1.0479166666666666,source,0.47450107
A083,3.095833333333333,source,-0.012420634
A083,6.037916666666667,source,-0.00067001284
A084,0.0416666666666666,source,0.5596189
A084,1.1354166666666667,source,0.039227832
A084,3.832083333333333,source,-0.010087565
A084,6.771249999999999,source,-0.5624141
A085,0.0416666666666666,source,-0.1252114
A085,1.02125,source,1.5127361
A085,2.975,source,-0.033243746
A085,7.110416666666667,source,-0.43204036
A086,0.0416666666666666,source,0.91376305
A086,0.9779166666666668,source,0.1346468
A086,6.05375,source,-1.1936218
A086,7.064583333333334,source,-0.822028
A087,0.0416666666666666,source,-0.22287825
A087,1.2945833333333334,source,0.7967639
A087,3.033333333333333,source,-0.019071504
A087,6.008333333333333,source,0.7529033
A088,0.0416666666666666,source,1.7774689
A088,1.0104166666666667,source,1.7887604
A088,3.12125,source,1.260735
A088,6.247083333333333,source,1.5812349
A089,0.0416666666666666,source,1.1389959
A089,1.3391666666666666,source,1.0854765
A089,3.3058333333333336,source,0.1096256
A089,6.123333333333334,source,-0.07298435
A090,0.0416666666666666,source,-0.13273755
A090,0.9808333333333332,source,0.018733937
A090,3.9758333333333336,source,-0.8946171
A090,6.002916666666667,source,-0.8806435
A091,0.0416666666666666,source,0.7184439
A091,0.925,source,-0.12915733
A091,3.0683333333333334,source,-1.08462
A091,5.942083333333334,source,-0.9829909
A092,0.0416666666666666,source,0.111291625
A092,0.95125,source,-0.8559327
A092,2.97125,source,-0.9984027
A092,6.09,source,-0.7805013
A093,0.0416666666666666,source,0.14141104
A093,0.9204166666666668,source,1.419709
A093,2.9258333333333333,source,-0.29306543
A093,5.872916666666666,source,0.24513331
A094,0.0416666666666666,source,-0.8867754
A094,0.9575,source,0.016020637
A094,3.1754166666666666,source,-1.063689
A094,6.249583333333334,source,-1.0863725
A095,0.0416666666666666,source,1.2913746
A095,1.2379166666666668,source,0.22240189
A095,3.2816666666666667,source,-0.065032065
A095,6.199583333333333,source,-0.2537716
A096,0.0416666666666666,source,-0.34864032
A096,1.0204166666666663,source,0.07261784
A096,2.96625,source,-1.7583967
A096,5.985833333333333,source,-1.6250517
A097,0.0416666666666666,source,0.33575732
A097,1.0154166666666666,source,-0.3186384
A097,2.95125,source,0.70814824
A097,6.035416666666666,source,-1.1569712
A098,0.0416666666666666,source,0.65085256
A098,1.07375,source,-0.052534766
A098,3.285,source,1.5982602
A098,6.095416666666666,source,-0.897659
A099,0.0416666666666666,source,0.32463416
A099,1.1979166666666667,source,0.9679909
A099,3.27375,source,0.22578053
A099,5.979583333333333,source,1.5011876
A100,0.0416666666666666,source,0.29106325
A100,1.2975,source,1.765633
A100,3.1391666666666667,source,0.042482417
A100,6.116666666666667,source,0.076925665
A101,0.0416666666666666,source,-0.46022868
A101,1.2133333333333334,source,-0.83694685
A101,3.13375,source,-1.2875204
A101,6.259166666666666,source,-0.7894045
A102,0.0416666666666666,source,-0.32257593
A102,1.21375,source,0.9718402
A102,3.13625,source,-0.6108117
A102,6.267083333333333,source,-0.10694511
A103,0.0416666666666666,source,0.76894027
A103,1.1358333333333337,source,-0.7938343
A103,3.3433333333333333,source,-1.0002152
A103,6.238333333333333,source,-0.9437569
A104,0.0416666666666666,source,1.3679023
A104,0.9416666666666668,source,0.9882625
A104,3.0258333333333334,source,-0.47909507
A104,6.074166666666667,source,-1.31112
A105,0.0416666666666666,source,0.34450012
A105,0.94875,source,0.7076637
A105,2.8941666666666666,source,-1.1318758
A105,6.091666666666666,source,-0.1410696
A106,0.0416666666666666,source,0.8248895
A106,0.9433333333333334,source,-0.36700493
A106,2.7533333333333334,source,-0.32000408
A106,6.130416666666666,source,0.51996505
A107,0.0416666666666666,source,-0.7441056
A107,1.0925,source,-1.6472313
A107,2.9770833333333333,source,-0.87584704
A107,6.08125,source,-0.95459175
A108,0.0416666666666666,source,-0.8886611
A108,1.1504166666666666,source,-0.13556795
A108,2.873333333333333,source,-0.08436014
A108,6.338333333333334,source,-1.3012402
A109,0.0416666666666666,source,-0.33428168
A109,1.0270833333333331,source,-0.9536665
A109,2.9654166666666666,source,0.34435305
A109,6.244583333333334,source,-1.3728429
A010,0.0416666666666666,destination,2.3516784
A010,0.9125,destination,1.1957428
A010,3.37,destination,-1.4274018
A010,6.054583333333333,destination,-0.24777766
A011,0.0416666666666666,destination,1.0160496
A011,1.02375,destination,0.04277535
A011,3.0229166666666667,destination,-0.29197747
A011,6.202083333333333,destination,-0.77769005
A012,0.0416666666666666,destination,0.626727
A012,1.0666666666666669,destination,-1.3327019
A012,6.930416666666667,destination,-0.06667291
A012,6.952916666666667,destination,-1.3417982
A013,0.0416666666666666,destination,0.2334942
